6.1.1	Prajapati was this (universe).
34.12.4	He does not become initiated for twelve years with a woman.
34.12.5	Twelve impure things are in a man.
34.12.6-11	Hair, skin, blood, flesh, bones, marrow, spleen, tears, mucus, sweat, and urine are the twelve impure things in a man. These are the twelve impure substances in a man. When one becomes initiated, one becomes twelve. One removes them. One becomes twelve when initiated. There are twelve Upasads.
34.12.12	Twelve are produced.
34.12.13	They become thirty-six.
34.12.14	The Brihatī has thirty-six syllables.
34.12.15	Cattle are related to the Brihatī.
34.12.16	Herein he obtains cattle in the Brihatī,
34.12.17	and having obtained cattle in the Brihati, he secures them.
34.12.18	Then the four syllables that go out are the Catuṣpadas Anuṣṭup.
34.13.4-11	He succeeded. Therefore one should offer sacrifice for twelve days. For one alone succeeded, namely Prajapati. He who, knowing this, offers sacrifice for twelve days succeeds in the share of Prajapati. The three deities, namely Rocana, initiated themselves. They offered sacrifice. They succeeded. Therefore three should offer sacrifice for twleve days.
34.13.12	For they succeeded in these worlds alone.
34.13.13	Those who know this, and perform the twelve-day sacrifice, succeed in the prosperity of these worlds.
34.13.14	Six deities were initiated by that (rite).
34.13.15	They performed the sacrifice by that (rite),
34.13.16	and they succeeded.
34.13.17	Therefore one should perform the twelve-days sacrifice.
34.13.18	The six seasons indeed prospered.
34.13.19	Those who know this, and perform the twelve-day sacrifice, prosper like the seasons.
34.13.20	The twelve deities initiated themselves with that (sacrifice).
34.13.21	They performed the sacrifice with that (sacrifice),
34.13.22	and they prospered.
34.13.23	They prospered in the bright fortnights.
34.13.24	They did not call out to the dark fortnights.
34.13.25	Therefore, they should perform the sacrifice for twelve days.
34.13.26	For they succeeded in twelve months.
34.13.27	Those who know this and perform the sacrifice for twenty-four days succeed in half of the months.
34.13.28	One should initiate on the thirteenth day during the Upavasatha.
34.13.29	For they know him.
34.13.30	And they do not know him.
34.13.31	For they do know the thirteenth month.
34.13.32	They do not know.
34.17.1	Just as a chariot, going to each wheel, goes to the sacrifice, going to each form, goes to the Hotr.
34.17.2	The Hotr should be performed before the Pracārin.
34.17.3	This is what Vasishtha Satyahvya said.
34.17.4	When he says, "Do not let the Soma be spilled," he says, "Let us proceed, tomorrow I will establish the Soma."
34.17.5	The Soma of him who knows this does not spill.
34.17.6	He indeed drinks Soma by churning it with flour while seated on a stool.
34.17.7	"I indeed know the sacrifice from all sides."
34.17.8	"He who knows this will not harm me."
34.17.9	Soma, drunk or yet to be drunk, does not harm him who, knowing this, drinks Soma.
34.17.10	They used to ask him, "Why do you drink Soma after churning it with flour while seated?"
34.17.11	He replied, "I am establishing the sacrifice in the deities.
34.17.12	He who knows thus, and he who knows thus, offers the oblation for the sake of the Yajna, he establishes the Yajna in the deities.
34.17.13	One should offer the oblation for Yajna-distress for the sake of having a womb.
34.17.14	There are thirty-three parts of the Yajña.
34.17.15	There are one hundred and thirty-one Stoma Bhagas, three Savanas, and the Yajna is the fourth.
34.17.16	By the Stoma-parts he connects the Stoma-part, by the Savanas the Savanas, by the sacrifice the sacrifice.
34.17.17	All the limbs of his sacrifice are employed, all are attained, all are bound.
34.17.18	In the impulse of the divine Savitar, to Brihaspati be praise.
34.17.19	Whatever Savitar bestowed on the gods, thereby they prospered.
34.17.20	They praise him who is bestowed by Savitar.
34.17.21	They prosper.
34.17.22	The Stotras of him who knows thus, the sacrifice prospers, the sacrificer prospers, his offspring prospers, his cattle prosper, his Brahman prospers, for him who knows thus and for him who knows this, the Brahman prospers.
34.18.1	He who knows the extended and contracted parts of the Stoma Bhaga, he would be the Brahma of the Soma-sacrifice.
34.18.2	When the Bahispavamana is being chanted, he should say:
34.18.3	"The praise of the Stuta, the praise of the Urja, the praise of Dev Savitar, the praise of Brihaspati."
34.18.4	These are the extended and contracted forms of the Stoma Bhas.
34.18.5	He who knows this would be the Brahma at the Soma-sacrifice.
34.18.6	He should examine the direction in which Soma is being pressed.
34.18.7	"He should say, "I am afflicting so-and-so, the son of so-and-such, with grief."
34.18.8	He should tell one of the priests.
34.18.9	He afflicts them with grief.
34.18.10	He who is ignorant of the extended and retracted Stoma Bhagas, and becomes the Brahman, is afflicted by all kinds of energy.
34.18.11	When the Bahispavamāna is being chanted,
34.18.12	Having praised Savitar, the god, at the impulse of Savitar, the one generated by Brihaspati,
34.18.13	One should recite the Brāhmaṇas above and above.
34.18.14	One makes the hater inferior.
34.18.15	"Brahman, Soma has generated."
34.18.16	He says this, "The sacrifice has generated."
34.18.17	Where it would have fallen, one should pour water.
34.18.18	"The god Savitar, who was worshipped in the past, is now not to be praised by men at dawn."
34.18.19	"He who bestows the best treasures on humans, may he bestow wealth on us here."
34.18.20	One should recite this.
34.18.21	"Water is indeed all the deities."
34.18.22	"One establishes the sacrifice in the deities."
34.18.23	Where the Brahman sees that more is being given to someone else, that Soma becomes inferior and inferior.
34.18.24	If the Brahman sees that something more is being given away to someone else,
34.18.25	he should say to the sacrificer, "I am taking away the strength and energy of so-and-so, son of so-and so."
34.18.26	He takes away his strength and energy.
35.16.1	The Soma-cup which is placed in the Drona-vessel, the breath of him whose cup is being placed in the Dronakasha, does not enter.
35.16.2	For the Soma is the breath.
35.16.3	They say, one should pour down the milk.
35.16.4	But they also say, the milk is as if hidden.
35.16.5	One should pour down water over gold.
35.16.6	One should offer gold.
35.16.7	Water is nectar.
35.16.8	Gold is life.
35.16.9	He places life in himself from nectar.
35.16.10	Four boons are to be given to the Brahman, the Udgātṛ, the Hotṛ, and the Adhvaryu.
35.16.11	These indeed are the Indras of the sacrifice.
35.16.12	He pleases them.
35.16.13	That itself is the atonement there.
35.16.14	When the Soma is being poured into the cup, the Prāṇa follows the cup and pours into it.
35.16.15	For Soma is Prāṇa.
35.16.16	If the Adhvaryu were to take the last cup, he should pour the Soma into it.
35.16.17	Soma is taken for expiation.
35.16.18	He makes expiation for him.
35.16.19	He attains the whole span of life.
35.16.20	That is the atonement there.
35.16.21	If a stone is broken or an animal is injured,
35.16.22	Animals are stones.
35.16.23	They should chant with the Brahma-sāman for Dyutāna Maruta.
35.16.24	Animals are Dyutāna Marut.
35.16.25	He unites him with his own Sāman.
35.16.26	One becomes possessed of animals.
35.16.27	That is the atonement there.
35.16.28	He should offer the leftovers in the Uparava cups with the formula, "To Prajapati svāhā."
35.16.29	Soma belongs to Prajapati.
35.16.30	He makes him attain stability.
35.16.31	That itself is the atonement there.
35.16.32	If Soma is burnt, the Adhvaryu should offer the Grahas, the Udgātṛ should offer the Stotras, and the Hotṛ should offer the Sastras.
35.16.33	Then they should proceed with the sacrifice as before.
35.16.34	Five boons are to be given.
35.16.35	The sacrifice is performed by five.
35.16.36	One attains the sacrifice.
35.16.37	Having gone to Avabhrtha, one should again be initiated before the twelfth day.
35.16.38	If one goes beyond the twelfth day, one would be lost.
35.16.39	There one should give the same Dakshina as was to be given earlier.
35.16.40	That itself is the atonement there.
35.17.1	He who, having installed the fire, undertakes the vow, he directs all his desires into the fire.
35.17.2	If he were to depart without performing the sacrifice, the desires would not follow him, being displeased, and he would be lustreless and powerless.
35.17.3	He should offer while departing.
35.17.4	To you, O Angiras, all the worlds, the well-established ones, separately.
35.17.5	"O Agni, for the desire of the one who is here."
35.17.6	He indeed places desires in him.
35.17.7	The desires are pleased with him and follow him.
35.17.8	He becomes lustrous and vigorous.
35.17.9	This is the continuity of the sacrifice, when one having set up the fire, undertakes the vow.
35.17.10	If he were to go away without having performed the sacrifice, it would be a break in his continuity.
35.17.11	Having taken up the Praṇīta vessel, one should recite the Upavasatha verse.
35.17.12	Prajapati is indeed like the mind.
35.17.13	The sacrifice is related to Prajapati.
35.17.14	One indeed extends the sacrifice.
35.17.15	One should recite the verse "Bhūr."
35.17.16	Prajapati indeed is Bhūr.
35.17.17	One indeed attains prosperity.
35.17.18	If the fire of one whose fire has been extinguished goes out, one is deprived of life and strength.
35.17.19	If he were to be separated from the fire by the length of a bamboo, he should collect it.
35.17.20	This one is yours, that one is mine. Enter into the third light.
35.17.21	Enter into your body, be beautiful, dear to the gods, in the highest birthplace.
35.17.22	He collects it with Brahman itself.
35.17.23	That itself is the atonement there.
35.17.24	If the cow should go beyond, he should follow her and stay there.
35.17.25	That itself is the atonement.
35.17.26	If the calves of cows whose milk has been set aside for the oblation drink, the milk of those plants enters them.
35.17.27	One should offer a barley gruel to Vayu.
35.17.28	Vayu is the bestower of milk.
35.17.29	One approaches him with his own share.
35.17.30	He gives him milk.
35.17.31	Then he should lead the calves away for the next oblation.
35.17.32	That itself is the atonement.
35.18.1	Half of this sacrifice is lost if the milk offered in the evening is spoiled.
35.18.2	One should offer cooked rice to Indra and observe fast.
35.18.3	Plants are milk.
35.18.4	One observes fast with milk.
35.18.5	Whatever is to be done in the morning, they should do it at night.
35.18.6	The other cake should be Indra's.
35.18.7	Milk is the plants.
35.18.8	He makes him give milk to him with milk.
35.18.9	Or he should turn the calves away from the northern oblation.
35.18.10	That itself is the atonement there.
35.18.11	He indeed, by means of the oblation, pleases both the gods, those who come to the house of the sacrificer in the evening and morning, and those who are afflicted by the oblation milked in the evening and in the morning.
35.18.12	One should offer a rice-cake on five potsherds.
35.18.13	One should first worship Agni, the deity of the gods.
35.18.14	He indeed pleases the gods with Agni as the leader.
35.18.15	The other deities follow Agni.
