1.1.1	Agni is the lowest of the gods, Vishnu is the highest, and between them are all the other gods.
7.9.3	They say, if the Pavitra of one who has installed the fire is lost, what is the expiation there? He should offer an oblation of eight potfuls to Agni Pavitravant. The Yajya and Anu-yajya verses are: "Thy Pavitra is spread out, O Brahmanaspati, the Pavitra is spread, the place of heaven." One should offer an oblution to the Vahaniye Agni with the formula, "To Agni Pavitravantu svāhā." This is the expiation.
7.9.4	They say, if a man who has the sacred fires should lose some gold, what is the atonement? He should offer a cake on eight potsherds to Agni Hiranyavān. The verses to be recited are: "The golden-haired one, the spreading of the dust, the Suparnas have come to your offering with the arrows." He should offer a libation to the wind-god with the formula, "To Agni Hiranyavāt svāhā." This is the atonement.
7.9.5	They say, if one who has the sacred fires were to offer the Agnihotra before bathing in the morning, what would be the atonement? One should offer a cake on eight potsherds to Agni and Varuna. The verses to be recited are: "O Agni, you know Varuna. You are our protector from Agni and Varuna." One should offer the oblation into the Ahavaniya fire with the verse: "Svāhā to Agni and Varuda." This is the atonement.
7.9.6	They say, if one who has the sacred fires eats food from a house where a child has been born, what is the atonement? He should offer a cake on eight potsherds to Agni Tantumata. The Yajya and Anu-yajya verses are: "He who weaves the thread, the shining one, follows the rays, the Soma-like ones, he weaves the threads." One should offer a libation to Agni Tantumate with the formula, "Svāhā." This is the atonement.
7.9.7	They say that when a householder who has the sacred fires hears the news of the death of a person, what is the atonement? He should offer an oblation of eight potfuls to Agni Surabhimata. The verses to be recited are: "Agni, the Hotar, has sat down, the most worthy, he has made the right rite. Today, O gods, may we offer oblations to the Agni Surabhimatas." He should offer oblations to Agni Surabhimața with the verse "Svāhā." This is the atonement.
7.9.8	They say, if a man who has the sacred fires, or his wife, or his son or daughter, should beget a cow, what expiation is there? He should offer a cake on thirteen potsherds to Agni Marutvat. The Yajya and Anu-yajya verses are: "The Maruts are his, for when he is destroyed, the last ones are like cattle." He should offer a libation to the Vahani Agni, saying, "To Agni Marutvat, svāhā." This is the expiation.
7.9.9	They say, "Should one without a wife offer the Agnihotra or not?"
7.9.10	They say, "One should offer."
7.9.11	If one does not offer, one becomes a person without light.
7.9.12	What is a person without light? He is neither a god, nor a manes, nor a human being."
7.9.13	Therefore, even one without a wife should offer the Agnihotra.
7.9.14	This is the hymn of praise to the sacrifice.
7.9.15	One who is without a wife or Soma should offer the Sautrāmaṇī sacrifice for the sake of repaying his mother and father, as stated in the text. This is the Vedic statement.
7.9.16	Therefore one should offer the Soma sacrifice.
7.10.1	They say, "How does one without a wife offer the Agnihotra?"
7.10.2	If the wife dies after the husband has settled down, or if she is lost, how does one offer the Agnihotra? One offers the Agnihotra.
7.10.3	They say that sons, grandsons, and great-grandsons are in this world and the other world. In this world, heaven is the heaven. He ascends to the heavenly world. He sustains the continuity of the other world. If he does not desire the wife of the one who has this (wife), then they perform the installation for the one without a wife.
7.10.4	How does one offer Agnihotra without a wife? Faith is the wife, truth is the sacrificer. Faith and truth are the supreme pair. By the pair of faith and truth, one conquers the heavenly worlds.
7.11.1	They say that one should fast on the days of the New and Full Moon sacrifices. The gods do not eat the oblation of one who is not fasting. Therefore one fasts, thinking, "May the gods eat my oblation."
7.11.2	One should fast on the earlier Full Moon day, says Pingala. One should fast on the later Full Moon day, say the Koustukas. The earlier Full Moon day is Anumati, the later is Raka.
7.11.3	The new moon which is in the east is called Sinivāli and the new moon which is towards the west is called Kuhu.
7.11.4	The new moon which is about to set or rise is called Tithi.
7.11.5	One should observe the fast on the full moon day before the new moon day, not knowing whether the new moon day will be before or after. When one approaches the moon and performs the sacrifice, they buy Soma with that. One should observe the subsequent fasts. The Soma is sacrificed in the subsequent days. The Soma is the deity of the Soma. The moon is the divine Soma. Therefore, one should observe the subsequent fasting.
7.12.1	They say that if the fire is not taken out and the sun rises or sets or is extinguished before the Homa, what atonement should be done?
7.12.2	Having placed gold in front, he should take it out in the evening. Gold is luminous and bright. He sees that very same luminous and bright light. Having covered silver, he should take out in the morning. This is the form of night. Before the shadows meet, he should take the Āhavanīya. Death is darkness and shadow. By that very light, he crosses death, darkness and shadow. That is the expiation there.
7.12.3	They say, if a man or a chariot or a dog should cross between the Garhapatya and the Ahavaniya, what is the atonement? They say, one should not think of it. For it is for his own good. But if one does think of it, one should carry a stream of water from the Garhapaty without interruption, saying, "Weaving the thread, I follow the light of the dust." That is the atonement there.
7.12.4	They say, how did he who was performing the Agnihotra rites offer the Anvāhārya-pācana? Did he offer it or not?
7.12.5	They say, "One should offer." Indeed, he who establishes the fires establishes the vital airs within himself. Of these, the Anvāhāryapacana is the one that provides food. In it he offers this oblation to Agni, the eater of food, the lord of food, with the formula, "Svāhā."
7.12.6	One who knows this becomes the lord of food, the lord of nourishment, and attains nourishment through offspring.
7.12.7	One who is about to offer between the Garhapatya and the Ahavaniya should move around with this (mantra). Indeed, the fires know him moving around thus: 'He will offer to us.' Indeed, when he moves around with this, the Garhapaty and the Ahavaniyas remove his sin. He, having removed the sin, goes upwards to the heavenly world. This is what is said in the Brāhmaṇa.
7.12.8	They say, how should one who is going to the fire-places attend upon them, or having gone away, return? They say, "Every day." They say, "One should attend upon them silently." They say, those who desire the best attend silently. They say, "These (fire-places) are afraid of the loss of faith and the flooding of the sacrificer every day. One should attend upon them, saying, 'May you be safe, may I be safe.' He indeed becomes safe for him.
7.13.1	Hariścandra, the son of a king, was a descendant of Ikṣvāku. He had a hundred wives, but he did not have a son. Parvata and Nārada were staying in his house. He asked Nārada:
7.13.2	"What do those who know and those who do not know desire for a son? What does one obtain by having a son? Tell me that, O Nārada."
7.13.3	He was asked one question and answered with ten.
7.13.4	"When a son is born, the father places his debt in him and goes to immortality. If the father sees the face of his living son,
7.13.5	"As many enjoyments as there are on earth, as many as there are in the fire, as many as are in the water, the animals, more than that is the father's in the son.
7.13.6	The fathers, always, have gone to their son, to the great darkness. The Self has been born from the Self, and he has crossed over the Irāvatī.
7.13.7	What is the impurity? What is the garment? What are the whiskers? What is the austerity? You desire the son, O Brahmins. He is the world, the one who speaks and is spoken to.
