1.1.1.1	For you, O Agni, for the well-being.
4.1.2.1	"With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I take thee." He takes it with the impulse of Savitr, with deities.
4.1.2.2	Prajapati knew the plants as the horse-hair.
4.1.2.3	The horse is Prajapati's.
4.1.2.4	When one gives a horse-hair as the sacrificial grass, it is for the non-injury of the plants.
4.1.2.5	"Thou art the seat of the cows," (with these words) he bestows wealth on the sacrificer.
4.1.2.6	"The protection is repelled," (with these) for the removal of the Rakshas.
4.1.2.7	"The mind has gone to the sacrificial grass," (with these).
4.1.2.8	Mind is knowledge.
4.1.2.9	(He says this) because he wants to know.
4.1.2.10	"Made by Manu, established by Svāhā," (with these),
4.1.2.11	for Manu indeed made it, established by Svāhà.
4.1.2.12	The poets are led by her in front.
4.1.2.13	Brahmanas are poets.
4.1.2.14	Rishis are poets.
4.1.2.15	He makes it agreeable to the gods, for he says, "The grass has been spread here for the gods to be agreeable."
4.1.2.16	"You are the gift of the gods."
4.1.2.17	Whatever there is here, that is the gift of the Gods.
4.1.2.18	Just as one does a deed after having told it to one's own good, so he gives the sacrificial grass after having told it (to the gods).
4.1.2.19	Whatever he tells (the gods) he gives all that.
4.1.2.20	Whatever he does not give all that, that exceeds the sacrifice.
4.1.2.21	Whatever exceeds the sacrifice, with that he nourishes his enemy.
4.1.2.22	He tells (the gods about) one stalk.
4.1.2.23	He gives all that for the sacrifice not to exceed.
4.1.2.24	"This is the praise of Vishnu."
4.1.2.25	Vishnu's praise was cut off.
4.1.2.26	It entered the earth.
4.1.2.27	If one does not release it first, one would incur misfortune.
4.1.2.28	"He gives it with the words, 'With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I give the sacrificial grass, the abode of the gods.' He gives it indeed with the impulse of Savitr, with deities."
4.1.2.29	"May I be successful, O lower one, O upper one, O one in the middle." Thus for the non-injury of the plants.
4.1.2.30	"May I not be harmed by you."
4.1.2.31	As long as the Adhvaryu offers the sacrificial grass without knowing this, his own self is injured.
4.1.2.32	He whose own self is not injured, he who knows this.
4.1.2.33	"Therefore thou shalt grow up as a hundred-fold sacrificial grass," he says; he thus establishes the earth in the plants.
4.1.2.34	"May we grow up as a thousand-fold," he says; thus he prays for a blessing.
4.1.2.35	"Thou art the cord of Aditi," he says.
4.1.2.36	This is Aditi.
4.1.2.37	He makes it her cord.
4.1.2.38	"Thou are the armour of Indra," he says.
4.1.2.39	Indraani, the wife of Indra, first among the gods, bound herself for prosperity.
4.1.2.40	With prosperity, for prosperity.
4.1.2.41	He prospers who knows thus.
4.1.2.42	One binds the sacrificial grass.
4.1.2.43	Sacrificial grass is offspring; for the continuity of offspring, for the non-interruption of offspring.
4.1.2.44	Therefore offspring are continuous.
4.1.2.45	Pusan should bind your knot."
4.1.2.46	Pūṣan is indeed nourishment.
4.1.2.47	He bestows nourishment on the sacrificer.
4.1.2.48	"May it be for you." For the non-injury of the sacrificer. "
4.1.2.49	The waters have anointed you, the seven sages have anointed you.
4.1.2.50	The grass, the banner of the dawn, has been spread out by the rays of the sun."
4.1.2.51	The Asvins are indeed the physicians of the gods.
4.1.2.52	They heal him.
4.1.2.53	"With Indra's arms I raise thee," thus he raises him with Indra's arms.
4.1.2.54	"I carry thee with Brihaspati's head," thus he carries him with Brihaspati.
4.1.2.55	Brihaspati is Brahman.
4.1.2.56	He carries him with Brahman.
4.1.2.57	"The sky is broad," thus he places him on the sky.
4.1.2.58	"I place thee on Aditi's back," thus he places it on Aditi.
4.1.2.59	Aditi is this (earth).
4.1.2.60	He sits on it.
4.1.2.61	He recites the formula, "You are the sacrificial grass leading to the gods."
4.1.2.62	Much of it falls down here and there when it is brought in the previous day.
4.1.2.63	He gives it to the deities without spilling, for the sake of non-injury to the sacrificer.
4.1.3.1	On the previous day they prepare the kindling wood and sacrificial grass.
4.1.3.2	One prepares for the sacrifice.
4.1.3.3-9	Prajapati created the creatures. His two cauldrons were broken. He put them back together with these two cauldrons. Because these are cauldrons, he puts back together the cauldrons of Prajapati. "Purify yourselves for the divine rite." He purifies them for the gods. "You are the sieve of the Vasus." This is the share of the Vasus.
4.1.3.10	He does it for them alone.
4.1.3.11	He puts on the filter.
4.1.3.12	He mixes the milk of plants and animals.
4.1.3.13	He restrains speech for the stability of the sacrifice.
4.1.3.14	He sits holding (the pot).
4.1.3.15	They (the cows) seem to be holding (the pot) while they are milking.
4.1.3.16	You are heaven, you are earth.
4.1.3.17	He indeed makes it flow through these two.
4.1.3.18	The heat of the sun.
4.1.3.19-27	The heat of the sky is the heat of the sky, for the sake of holding the sky. Which one is the one that is washed? It is the one that has all life. It is the all-pervading one. It is called the all-creator. This one indeed has all life. The sky is all-pervasi This one is the all-creator He bestows these worlds in the proper order.
4.1.3.28	He who knows thus milks these worlds as they were in the beginning.
4.1.3.29	He recites three Yajus verses.
4.1.3.30	These are the three worlds.
4.1.3.31	He places the essence in these worlds.
4.1.3.32	Therefore the creatures of these worlds live.
4.1.3.33	He recits, "The oblation is small, the oblation is a drop," for non-falling.
4.1.3.34	"Indra to the gods, the oblation, has been milked much." He recites this three times.
4.1.3.35	For the gods are three times as many.
4.1.3.36	One should not milk into a wooden vessel.
4.1.3.37	The wooden vessel is Agni-possessed.
4.1.3.38	One should offer with exhausted oblation.
4.1.3.39	This is what the Dātrīyas say:
4.1.3.40	The oblation is with the Purorāśa as the face.
4.1.3.41	Or, it is not that the oblation of the cake is not to be offered. It is only that there is no milk to be milked.
4.1.3.42	A Śūdra should not milk.
4.1.3.43	He is born from what is not true.
4.1.3.44	He would be untrue.
4.1.3.45	What is true is that which passes through the strainer.
4.1.3.46	A Śudra should not milk the Agnihotra.
4.1.3.47	That is not purified.
4.1.3.48	"Ye are united with the streams, most sweet with truth,
4.1.3.49	Drinking the milk with milk, slowly, for the sake of wealth." Thus he sends it back for being cooked.
4.1.3.50	For the gods indeed desire cooking.
4.1.3.51	"To Indra thee, thy portion, with Soma I press." Thus he makes it Soma indeed.
4.1.3.52	He who knowing thus drinks the Sañnayya, his Soma-drinking is indeed uninterrupted.
4.1.3.53	"Thou art the Adastim (the unfallen) for Vishnu."
4.1.3.54	Vishnu is the sacrifice.
4.1.3.55	He makes it unfallen for the sacrifice.
4.1.3.56	"Protect the offering for Vishnu."
4.1.3.57	"Protect that portion of thine which is this." Thus he says to Vishnu.
4.1.3.58	"Protect this offering of thine."
4.1.3.59	One should not put it in a clay vessel.
4.1.3.60	The oblation would be dedicated to the Pitrs.
4.1.3.61	One should offer with a wooden vessel.
4.1.3.62	A wooden vessel has fire.
4.1.3.63	Fire indeed protects the offering.
4.1.3.64	It should be made with water.
4.1.3.65	Water indeed destroys demons.
4.1.3.66	Demons do not cross water. For the destruction of demons.
4.1.4.1	One who offers without faith, the gods and men do not have faith in his offering.
4.1.4.2	One offers water.
4.1.4.3-12	Water is indeed faith. Having obtained faith, one performs the sacrifice. Water is the sacrifice. Having understood the sacrifice, one proceeds. Water is a beloved abode of the gods. Having taken the beloved abode of the deities, one proceeds. Water is truth. Having obtained truth, one performs the sacrifices. Water is destructive of demons, for the destruction of demons. Water is Indra's thunderbolt.
4.1.4.13	He strikes the thunderbolt at his brother for the sake of covering.
4.1.4.14	Water is faith.
4.1.4.15	The gods have faith, and men have faith, they give to the one who knows this, and the one who knows thus, he makes the waters breathe.
4.1.4.16	The divine waters are the foremost, he makes the sacrifice go.
4.1.4.17-21	"With the impulse of the divine Savitr, with the arms of the Asvins, with the hands of Pusan, I take thee." He takes it with the impulse of Savitr, with deities. "The sky is firm." With the firm (sky). "The Raksas is repelled." For the repelling of the Raksas. "Thou art the Dhura, thou art the Dhura." The name of this Agni is Dhura.
