#Text:Śatapathabrāhmaṇa
#Edition:Weber
#Notes:Sentence splits: 3, 4.1-4 (O. Hellwig), 7 (S. Sellmer), 8 (K. Amano), 9 (O. Hellwig); text and sentence splits from DCS: 10. Following the conventions used for other texts, we assign a separate line id to each sentence.
#Todo:Insert 4.5ff. From the DCS. ŚBM: 5, 14: sentence splits needed. 6.1.1-6.7.1: sentence splits needed. 6.7.2ff. can be taken from the DCS.


3.1.1.1.1	devayajanaṃ joṣayante
9.2.1.8.2	prāṇo vai nṛṣan
9.2.1.8.3	manuṣyā naraḥ
9.2.1.8.4	tad yo 'yam manuṣyeṣu prāṇo 'gnis tam etat prīṇāti
9.2.1.8.5	apsuṣade veḍ iti
9.2.1.8.6	yo 'psv agnis tam etat prīṇāti
9.2.1.8.7	bahirṣade veḍ iti
9.2.1.8.8	ya oṣadhiṣv agnis tam etat prīṇāti
9.2.1.8.9	vanasade veḍ iti
9.2.1.8.10	yo vanaspatiṣv agnis tam etat prīṇāti
9.2.1.8.11	svarvide veḍ iti
9.2.1.8.12	ayam agniḥ svarvit
9.2.1.8.13	imam evaitad agnim prīṇāti
9.2.1.9.1	yad v evāha nṛṣade veḍ apsuṣade veḍ iti
9.2.1.9.2	asyaivaitāny agner nāmāni
9.2.1.9.3	tāny etat prīṇāti
9.2.1.9.4	tāni haviṣā devatāṃ karoti
9.2.1.9.5	yasyai vai devatāyai havir gṛhyate sā devatā na sā yasyai na gṛhyate
9.2.1.9.6	atho etān evaitad agnīn asminn agnau nāmagrāhaṃ dadhāti
9.2.1.10.1	pañcaitā āhutīr juhoti
9.2.1.10.2	pañcacitiko 'gniḥ
9.2.1.10.3	pañcartava saṃvatsaraḥ
9.2.1.10.4	saṃvatsaro 'gniḥ
9.2.1.10.5	yāvān agnir yāvaty asya mātrā tāvataivainam etad annena prīṇāti
9.2.1.11.1	athainaṃ samukṣati dadhnā madhunā ghṛtena
9.2.1.11.2	jāyata eṣa etad yac cīyate
9.2.1.11.3	sa eṣa sarvasmā annāya jāyate
9.2.1.11.4	sarvam vetad annaṃ yad dadhi madhu ghṛtaṃ
9.2.1.11.5	sarveṇaivainam etad annena prīṇāti
9.2.1.11.6	sarvataḥ samukṣati
9.2.1.11.7	sarvata evainam etat sarveṇānnena prīṇāti
9.2.1.12.1	yad v evainaṃ samukṣati
9.2.1.12.2	atraiṣa sarvo 'gniḥ saṃskṛtaḥ
9.2.1.12.3	tasmin devā etad rūpam uttamam adadhuḥ
9.2.1.12.4	tathaivāsminn ayam etad rūpam uttamaṃ dadhāti
9.2.1.12.5	annaṃ vai rūpam
9.2.1.12.6	etad u paramam annaṃ yad dadhi madhu ghṛtaṃ
9.2.1.12.7	tad yad eva paramaṃ rūpam tad asminn etad uttamaṃ dadhāti
9.2.1.12.8	sarvataḥ samukṣaty api bāhyena pariśritaḥ
9.2.1.12.9	sarvata evāsminn etad rūpam uttamaṃ dadhāti
9.2.1.12.10	darbhaiḥ
9.2.1.12.11	te hi śuddhā medhyāḥ
9.2.1.12.12	agrair
9.2.1.12.13	agraṃ hi devānām
9.2.1.13.1	yad v evainaṃ samukṣati
9.2.1.13.2	etad vai yatraitam prāṇā ṛṣayo 'gre 'gniṃ samaskurvaṃs tad asminn ado 'mum purastād bhāgam akurvatādaḥ sajūrabdīyam
9.2.1.13.3	athāsminn etaṃ saṃcita upariṣṭād bhāgam akurvata
9.2.1.13.4	tad yat samukṣati ya evāsmiṃs te prāṇā ṛṣayaḥ sacita upariṣṭād bhāgam akurvata tān evaitat prīṇāti
9.2.1.13.5	dadhnā madhunā ghṛtena
9.2.1.13.6	tasyokto bandhuḥ
9.2.1.14.1	ye devā devānām yajñiyā yajñiyānām iti
9.2.1.14.2	devā hy ete devānāṃ yajñiyā u yajñiyānāṃ
9.2.1.14.3	saṃvatsarīṇam upa bhāgam āsata iti
9.2.1.14.4	saṃvatsarīṇaṃ hy eta etam bhāgam upāsate
9.2.1.14.5	ahutādo haviṣo yajñe asminn iti
9.2.1.14.6	ahutādo hi prāṇāḥ
9.2.1.14.7	svayam pibantu madhuno ghṛtasyeti
9.2.1.14.8	svayam asya pibantu madhunaś ca ghṛtasya cety etat
9.2.1.15.1	ye devā deveṣv adhi devatvam āyann iti
9.2.1.15.2	devā hy ete deveṣv adhi devatvam āyan
9.2.1.15.3	ye brahmaṇaḥ puraetāro asyeti
9.2.1.15.4	ayam agnir brahma tasyaite puraetāraḥ
9.2.1.15.5	yebhyo na ṛte pavate dhāma kiṃ caneti
9.2.1.15.6	na hi prāṇebhya ṛte pavate dhāma kiṃ cana
9.2.1.15.7	na te divo na pṛthivyā adhi snuṣv iti
9.2.1.15.8	naiva te divi na pṛthivyāṃ yad eva prāṇabhṛt tasmiṃs ta ity etat
9.2.1.16.1	dvābhyāṃ samukṣati
9.2.1.16.2	dvipād yajamānaḥ
9.2.1.16.3	yajamāno 'gniḥ
9.2.1.16.4	yāvān agnir yāvaty asya mātrā tāvataivainam etat samukṣati
9.2.1.17.1	atha pratyavarohati prāṇadā apānadā iti
9.2.1.17.2	sarve haite prāṇā yo 'yam agniś citaḥ
9.2.1.17.3	sa yad etām atrātmanaḥ paridāṃ na vadetātra haivāsyaiṣa prāṇān vṛñjīta
9.2.1.17.4	atha yad etām atrātmanaḥ paridāṃ vadate tatho hāsyaiṣa prāṇān na vṛṅkte
9.2.1.17.5	prāṇadā apānadā vyānadā varcodā varivodā iti
9.2.1.17.6	etaddā me 'sīti evaitad āha
9.2.1.17.7	anyāṃs te asmat tapantu hetayaḥ
9.2.1.17.8	pāvako asmabhyaṃ śivo bhaveti
9.2.1.17.9	yathaiva yajus tathā bandhuḥ
9.2.1.18.1	pratyetya pravargyopasadbhyām pracarati
9.2.1.18.2	pravargyopasadbhyām pracaryāthāsmai vrataṃ vārdhavrataṃ vā prayacchati
9.2.1.18.3	atha pravargyopasadbhyām
9.2.1.18.4	atha pravargyam utsādayatyāptvā taṃ kāmaṃ yasmai kāmāyainam pravṛṇakti
9.2.1.19.1	taṃ vai pariṣyanda utsādayet
9.2.1.19.2	tapto vā eṣa śuśucāno bhavati
9.2.1.19.3	taṃ yad asyām utsādayed imām asya śug ṛcched
9.2.1.19.4	yad apsūtsādayed apo 'sya śug ṛcched
9.2.1.19.5	atha yat pariṣyanda utsādayati tatho ha naivāpo hinasti nemām
9.2.1.19.6	yad ahāpsu na prāsyati tenāpo na hinasti
9.2.1.19.7	atha yat samantam āpaḥ pariyanti
9.2.1.19.8	śāntir vā āpaḥ
9.2.1.19.9	teno imāṃ na hinasti
9.2.1.19.10	tasmāt pariṣyanda utsādayet
9.2.1.20.1	agnau tv evotsādayet
9.2.1.20.2	ime vai lokā eṣo 'gniḥ
9.2.1.20.3	āpaḥ pariśritaḥ
9.2.1.20.4	taṃ yad agnā utsādayati tad evainam pariṣyanda utsādayati
9.2.1.21.1	yad v evāgnā utsādayati
9.2.1.21.2	ime vai lokā eṣo 'gniḥ
9.2.1.21.3	agnir vāyur ādityas tad ete pravargyāḥ
9.2.1.21.4	sa yad anyatrāgner utsādayed etāṃs tad devān bahirdhaibhyo lokebhyo dadhyāt
9.2.1.21.5	atha yad agnā utsādayaty etān evaitad devān eṣu lokeṣu dadhāti
9.2.1.22.1	yad v evāgnā utsādayati
9.2.1.22.2	śira etad yajñasya yat pravargyaḥ
9.2.1.22.3	ātmāyam agniś citaḥ
9.2.1.22.4	sa yad anyatrāgner utsādayed bahirdhāsmāc chiro dadhyāt
9.2.1.22.5	atha yad agnā utsādayaty ātmānam evāsyaitat saṃskṛtya śiraḥ pratidadhāti
9.2.1.23.1	svayamātṛṇayā saṃspṛṣṭam prathamam pravargyam utsādayati
9.2.1.23.2	prāṇaḥ svayamātṛṇā
9.2.1.23.3	śiraḥ pravargyaḥ
9.2.1.23.4	ātmāyam agniś citaḥ
9.2.1.23.5	śiraś ca tad ātmānaṃ ca prāṇena saṃtanoti saṃdadhāti
9.2.1.23.6	utsādya pravargyaṃ yathā tasyotsādanam
9.2.2.1.1	pratyetyāgnim prahariṣyann āhutīś ca juhoti samidhaś cādadhāti
9.2.2.1.2	etad vā enaṃ devā eṣyantam purastād annenāprīṇann āhutibhiś ca samidbhiś ca
9.2.2.1.3	tathaivainam ayam etad eṣyantam purastād annena prīṇāty āhutibhiś ca samidbhiś ca
9.2.2.1.4	sa vai pañcagṛhītaṃ gṛhṇīte
9.2.2.1.5	tasyokto bandhuḥ
9.2.2.2.1	atha ṣoḍaśagṛhītaṃ gṛhṇīte
9.2.2.2.2	ṣoḍaśakalaḥ prajāpatiḥ
9.2.2.2.3	prajāpatir agniḥ
9.2.2.2.4	ātmasammitenaivainam etad annena prīṇāti
9.2.2.2.5	yad u vā ātmasammitam annaṃ tad avati tan na hinasti
9.2.2.2.6	yad bhūyo hinasti tad
9.2.2.2.7	yat kanīyo na tad avati
9.2.2.2.8	samānyāṃ sruci gṛhṇīte
9.2.2.2.9	samāno hi sa yam etat prīṇāti
9.2.2.2.10	vaiśvakarmaṇābhyāṃ juhoti
9.2.2.2.11	viśvakarmāyam agniḥ
9.2.2.2.12	tam evaitat prīṇāti
9.2.2.2.13	tisra āhutīr juhoti
9.2.2.2.14	trivṛd agniḥ
9.2.2.2.15	yāvān agnir yāvaty asya mātrā tāvataivainam etad annena prīṇāti
9.2.2.3.1	atha samidha ādadhāti
9.2.2.3.2	yathā tarpayitvā pariveviṣyāt tādṛk tad
9.2.2.3.3	audumbaryo bhavanti
9.2.2.3.4	ūrg vai rasa udumbaraḥ
9.2.2.3.5	ūrjaivainam etad rasena prīṇāti
9.2.2.3.6	ārdrā bhavanti
9.2.2.3.7	etad vai vanaspatīnām anārtaṃ jīvaṃ yad ārdram
9.2.2.3.8	tad yad eva vanaspatīnām anārtaṃ jīvaṃ tenainam etat prīṇāti
9.2.2.3.9	ghṛte nyuttā bhavanti
9.2.2.3.10	āgneyaṃ vai ghṛtam
9.2.2.3.11	svenaivainam etad bhāgena svena rasena prīṇāti
9.2.2.3.12	sarvāṃ rātriṃ vasanti
9.2.2.3.13	tatra hi tā rasena sampadyante
9.2.2.3.14	tisraḥ samidha ādadhāti
9.2.2.3.15	trivṛd agniḥ
9.2.2.3.16	yāvān agnir yāvaty asya mātrā tāvataivainam etad annena prīṇāti
9.2.2.4.1	yad v evaitā āhutīr juhoti
9.2.2.4.2	etadvā enaṃ devā eṣyantaṃ purastād annena samaskurvann etābhir āhutibhiḥ
9.2.2.4.3	tathaivainam ayam etad eṣyantam purastād annena saṃskaroty etābhir āhutibhiḥ
9.2.2.5.1	sa vai pañcagṛhītaṃ gṛhṇīte
9.2.2.5.2	pañcadhāvihito vā ayaṃ śīrṣan prāṇo mano vāk prāṇaś cakṣuḥ śrotram
9.2.2.5.3	etam evāsminn etat pañcadhāvihitaṃ śīrṣan prāṇaṃ dadhāti
9.2.2.5.4	agnis tigmena śociṣeti tigmavatyā
9.2.2.5.5	śira evāsyaitayā saṃśyati tigmatāyai
9.2.2.6.1	atha ṣoḍaśagṛhītaṃ gṛhṇīte
9.2.2.6.2	aṣṭau prāṇā aṣṭāv aṅgāny etām abhisampadaṃ
9.2.2.6.3	samānyāṃ sruci gṛhṇīte
9.2.2.6.4	samāne hy evātmann aṅgāni ca prāṇāś ca bhavanti
9.2.2.6.5	nānā juhoty
9.2.2.6.6	aṅgebhyaś ca tat prāṇebhyaś ca vidhṛtiṃ karoti
9.2.2.6.7	vaiśvakarmaṇābhyāṃ juhoti
9.2.2.6.8	viśvakarmāyam agniḥ
9.2.2.6.9	tam evaitat saṃskaroti
9.2.2.6.10	tisra āhutīr juhoti
9.2.2.6.11	trivṛd agniḥ
9.2.2.6.12	yāvān agnir yāvaty asya mātrā tāvataivainam etad annena saṃskaroti
9.2.2.6.13	saptadaśabhir ṛgbhiḥ
9.2.2.6.14	saptadaśaḥ prajāpatiḥ
9.2.2.6.15	prajāpatir agniḥ
9.2.2.6.16	yāvān āgni yāvaty asya mātrā tāvataivainam etat saṃskaroty
9.2.2.6.17	ekaviṃśatigṛhītena
9.2.2.6.18	dvādaśa māsāḥ pañca rtavas traya ime lokā asāv āditya ekaviṃśaḥ
9.2.2.6.19	etām abhisampadam
9.2.2.7.1	yad v evaitāḥ samidha ādadhāti
9.2.2.7.2	etad vā enaṃ devāḥ sarvaṃ kṛtsnaṃ saṃskṛtyāthainam etenānnenāprīṇann etābhiḥ samidbhiḥ
9.2.2.7.3	tathaivainam ayam etat sarvaṃ kṛtsnaṃ saṃskṛtyāthainam etenānnena prīṇāty etābhiḥ samidbhiḥ
9.2.2.7.4	audumbaryo bhavanti ārdrāḥ
9.2.2.7.5	ghṛte nyuttā sarvāṃ rātriṃ vasanti
9.2.2.7.6	tasyokto bandhuḥ
9.2.2.7.7	ud enam uttarāṃ nayendra
9.2.2.7.8	imam pratarāṃ naya yasya kurmo gṛhe havir iti
9.2.2.7.9	yathā yajus tathā bandhuḥ
9.2.2.7.10	tisraḥ samidha ādadhāti
9.2.2.7.11	trivṛd agniḥ
9.2.2.7.12	yāvān agnir yāvaty asya mātrā tāvataivainam etad annena prīṇāti
9.2.2.7.13	tisra āhutīr juhoti
9.2.2.7.14	tat ṣaṭ
9.2.2.7.15	tasyokto bandhuḥ
9.2.3.1.1	athātaḥ sampreṣyati udyacchedhmam
9.2.3.1.2	upayacchopayamanīḥ
9.2.3.1.3	agnaye prahriyamāṇāya anubrūhi
9.2.3.1.4	agnīd ekasphyayānūdehi
9.2.3.1.5	brahmann apratirathaṃ japeti
9.2.3.2.1	etad vai devān upapraiṣyataḥ etaṃ yajñaṃ taṃsyamānān dakṣiṇato 'surā rakṣāṃsi nāṣṭrā ajighāṃsan na yakṣyadhve
9.2.3.2.2	na yajñaṃ taṃsyadhva iti
9.2.3.3.1	te devā indram abruvan tvaṃ vai naḥ śreṣṭho baliṣṭho vīryavattamo 'si
9.2.3.3.2	tvam imāni rakṣāṃsi pratiyatasveti
9.2.3.3.3	tasya vai me brahma dvitīyam astv iti
9.2.3.3.4	tatheti tasmai vai bṛhaspatiṃ dvitīyam akurvan
9.2.3.3.5	brahma vai bṛhaspatiḥ
9.2.3.3.6	ta indreṇa caiva bṛhaspatinā ca dakṣiṇato 'surān rakṣāṃsi nāṣṭrā apahatyābhaye nāṣṭra etaṃ yajñam atanvata
9.2.3.4.1	tad vā etat kriyate yad devā akurvan
9.2.3.4.2	idaṃ nu tāni rakṣāṃsi devair evāpahatāni
9.2.3.4.3	yat tv etat karoti yad devā akurvaṃs tat karavāṇīti
9.2.3.4.4	atho indreṇa caivaitad bṛhaspatinā ca dakṣiṇato 'surān rakṣāṃsi nāṣṭrā apahatyābhaye 'nāṣṭra etaṃ yajñaṃ tanute
9.2.3.5.1	sa yaḥ sa indraḥ eṣa so 'pratirathaḥ
9.2.3.5.2	atha yaḥ sa bṛhaspatir eṣa sa brahmā
9.2.3.5.3	tad yad brahmāpratirathaṃ japatīndreṇa caivaitad bṛhaspatinā ca dakṣiṇato 'surān rakṣāṃsi nāṣṭrā apahatyābhaye 'nāṣṭra etaṃ yajñaṃ tanute
9.2.3.5.4	tasmād brahmāpratirathaṃ japati
9.2.3.6.1	āśuḥ śiśāno vṛṣabho na bhīma iti
9.2.3.6.2	aindryo 'bhirūpā dvādaśa bhavanti
9.2.3.6.3	dvādaśa māsāḥ saṃvatsaraḥ
9.2.3.6.4	saṃvatsaro 'gniḥ
9.2.3.6.5	yāvān agnir yāvaty asya mātrā tāvataivaitad dakṣiṇato 'surān rakṣāṃsi nāṣṭrā apahanti
9.2.3.6.6	triṣṭubbhir
9.2.3.6.7	vajro vai triṣṭup
9.2.3.6.8	vajreṇaivaitad dakṣiṇato 'surān rakṣāṃsi nāṣṭrā apahanti
9.2.3.6.9	tā dvāviṃśatir gāyatryaḥ sampadyante
9.2.3.6.10	tad āgneyyo bhavanti
9.2.3.6.11	agnikarma hi
9.2.3.7.1	athainam udyacchaty ud u tvā viśve devā agne bharantu cittibhir iti
9.2.3.7.2	tasyokto bandhuḥ
9.2.3.8.1	athābhiprayanti pañca diśo daivīr yajñam avantu devīr iti
9.2.3.8.2	devāś cāsurāścobhaye prājāpatyā dikṣv aspardhanta
9.2.3.8.3	te devā asurāṇāṃ diśo vṛñjata
9.2.3.8.4	tathaivaitad yajamāno dviṣato bhrātṛvyasya diśo vṛṅkte
9.2.3.8.5	daivīr iti
9.2.3.8.6	tad enā daivīḥ kurute
9.2.3.8.7	yajñam avantu devīr iti
9.2.3.8.8	yajñam imam avantu devīr ity etad
9.2.3.8.9	apāmatiṃ durmatim bādhamānā iti
9.2.3.8.10	aśanāyā vā amatiḥ
9.2.3.8.11	aśanāyām apabādhamānā ity etad
9.2.3.8.12	rāyaspoṣe yajñapatim ābhajantīr iti
9.2.3.8.13	rayyāṃ ca poṣe ca yajñapatim ābhajantīr ity etad
9.2.3.8.14	rāyaspoṣe adhi yajño asthād iti
9.2.3.8.15	rayyāṃ ca poṣe cādhi yajño 'sthād ity etat
9.2.3.9.1	samiddhe agnāv adhi māmahāna iti
9.2.3.9.2	yajamāno vai māmahānaḥ
9.2.3.9.3	ukthapatra ity
9.2.3.9.4	ukthāni hy etasya patrāṇi
9.2.3.9.5	īḍya iti
9.2.3.9.6	yajñiyaṃ ity etat
9.2.3.9.7	gṛbhīta iti
9.2.3.9.8	dhārita ity etat
9.2.3.9.9	taptaṃ gharmam parigṛhyāyajanteti
9.2.3.9.10	taptaṃ hy etaṃ gharmam parigṛhyāyajanta
9.2.3.9.11	ūrjā yad yajñam ayajanta devā iti
9.2.3.9.12	ūrjā hy etaṃ yajñam ayajanta devāḥ
9.2.3.10.1	daivyāya dhartre joṣṭra iti
9.2.3.10.2	daivo hy eṣa dhartā joṣayitṛtamo
9.2.3.10.3	devaśrīḥ śrīmanāḥ śatapayā iti
9.2.3.10.4	devaśrīr hy eṣa śrīmanāḥ śatapayāḥ
9.2.3.10.5	parigṛhya devā yajñam āyann iti
9.2.3.10.6	parigṛhya hy etaṃ devā yajñam āyan
9.2.3.10.7	devā devebhyo adhvaryanto asthur iti
9.2.3.10.8	adhvaro vai yajñaḥ
9.2.3.10.9	devā devebhyo yajñiyanto 'sthur ity etat
9.2.3.11.1	vītaṃ haviḥ śamitaṃ śamitā yajadhyā iti
9.2.3.11.2	iṣṭaṃ sviṣṭam ity etat
9.2.3.11.3	turīyo yajño yatra havyam etīti
9.2.3.11.4	adhvaryuḥ purastād yajūṃṣi japati
9.2.3.11.5	hotā paścād ṛco 'nvāha
9.2.3.11.6	brahmā dakṣiṇato 'pratirathaṃ japati
9.2.3.11.7	eṣa eva turīyo yajñaḥ
9.2.3.11.8	tato vākā āśiṣo no juṣantām iti
9.2.3.11.9	tato no vākāś cāśiṣaś ca juṣantām ity etat
9.2.3.12.1	sūryaraśmir harikeśaḥ purastāt savitā jyotir udayāṃ ajasram iti
9.2.3.12.2	asau vā āditya eṣo 'gniḥ
9.2.3.12.3	sa eṣa sūryaraśmir harikeśaḥ purastāt savitaitaj jyotir udyacchaty ajasram
9.2.3.12.4	tasya pūṣā prasave yāti vidvān iti
9.2.3.12.5	paśavo vai pūṣā
9.2.3.12.6	ta etasya prasave prerate
9.2.3.12.7	sampaśyan viśvā bhuvanāni gopā iti
9.2.3.12.8	eṣa vā idaṃ sarvaṃ sampaśyati
9.2.3.12.9	eṣa u evāsya sarvasya bhuvanasya goptā
9.2.3.13.1	tad yā amuṣmād ādityād arvājyaḥ pañca diśaḥ tā etad devā asurāṇām avṛñjata
9.2.3.13.2	atho tā evaitat samārohan
9.2.3.13.3	tā u evaitad yajamāno dviṣato bhrātṛvyasya vṛṅkte
9.2.3.13.4	atho tā evaitat samārohati
9.2.3.13.5	atho etad vā etābhir devā ātaḥ samprāpnuvan
9.2.3.13.6	tathaivābhir ayam etad ātaḥ samprāpnoti
9.2.3.14.1	athāśmānam pṛśnim upadadhāti
9.2.3.14.2	asau vā ādityo 'śmā pṛśniḥ
9.2.3.14.3	amum evaitad ādityam upadadhāti
9.2.3.14.4	pṛśnir bhavati
9.2.3.14.5	raśmibhir hi maṇḍalam pṛśni
9.2.3.14.6	tam antareṇāhavanīyaṃ ca gārhapatyaṃ copadadhāti
9.2.3.14.7	ayaṃ vai loko gārhapatyaḥ
9.2.3.14.8	dyaur āhavanīyaḥ
9.2.3.14.9	etaṃ tad imau lokāv antareṇa dadhāti
9.2.3.14.10	tasmād eṣa imau lokāv antareṇa tapati
9.2.3.15.1	āgnīdhravelāyām
9.2.3.15.2	antarikṣaṃ vā āgnīdhram
9.2.3.15.3	etaṃ tad antarikṣe dadhāti
9.2.3.15.4	tasmād eṣo 'ntarikṣāyatanaḥ
9.2.3.15.5	vyadhve
9.2.3.15.6	vyadhve hy eṣa itaḥ
9.2.3.16.1	sa eṣa prāṇaḥ
9.2.3.16.2	prāṇam evaitad ātman dhatte
9.2.3.16.3	tad etad āyur
9.2.3.16.4	āyur evaitad ātman dhatte
9.2.3.16.5	tad etad annam
9.2.3.16.6	āyur hy etad
9.2.3.16.7	annam u vā āyur
9.2.3.16.8	aśmā bhavati
9.2.3.16.9	sthiro vā aśmā
9.2.3.16.10	sthiraṃ tad āyuḥ kurute
9.2.3.16.11	pṛśnir bhavati
9.2.3.16.12	pṛśnīva hy annam
9.2.3.17.1	sa upadadhāti vimāna eṣa divo madhya āsta iti
9.2.3.17.2	vimāno hy eṣa divo madhya āsta
9.2.3.17.3	āpaprivān rodasī antarikṣam iti
9.2.3.17.4	udyan vā eṣa imān lokān āpūrayati
9.2.3.17.5	sa viśvācīr abhicaṣṭe ghṛtācīr iti
9.2.3.17.6	srucaś caitad vedīś cāha
9.2.3.17.7	antarā pūrvam aparaṃ ca ketum iti
9.2.3.17.8	antaremaṃ ca lokam amuṃ cety etad
9.2.3.17.9	atho yac cedam etarhi cīyate yac cādaḥ pūrvam acīyateti
9.2.3.18.1	ukṣā samudro aruṇaḥ suparṇa iti
9.2.3.18.2	ukṣā hy eṣa samudro 'ruṇaḥ suparṇaḥ
9.2.3.18.3	pūrvasya yonim pitur āviveśeti
9.2.3.18.4	pūrvasya hy eṣa etaṃ yonim pitur āviśati
9.2.3.18.5	madhye divo nihitaḥ pṛśnir aśmeti
9.2.3.18.6	madhye hy eṣa divo nihitaḥ pṛśnir aśmā
9.2.3.18.7	vicakrame rajasas pāty antāv iti
9.2.3.18.8	vikramamāṇo vā eṣa eṣāṃ lokānām antān yāti
9.2.3.19.1	dvābhyām upadadhāti
9.2.3.19.2	dvipād yajamānaḥ
9.2.3.19.3	yajamāno 'gniḥ
9.2.3.19.4	yāvān agnir yāvaty asya mātrā tāvataivainam etad upadadhāti
9.2.3.19.5	triṣṭubbhyām
9.2.3.19.6	traiṣṭubho hy eṣaḥ
9.2.3.19.7	na sādayati
9.2.3.19.8	asan no hy eṣaḥ
9.2.3.19.9	na sūdadohasādhivadati
9.2.3.19.10	prāṇo vai sūdadohāḥ
9.2.3.19.11	prāṇa eṣaḥ
9.2.3.19.12	kim prāṇe prāṇaṃ dadhyām iti
9.2.3.19.13	taṃ nidhāya yathā na naśyet
9.2.3.20.1	athopāyantīndraṃ viśvā avīvṛdhann iti
9.2.3.20.2	tasyokto bandhuḥ
9.2.3.20.3	devahūr yajña ā ca vakṣat
9.2.3.20.4	sumnahūr yajña ā ca vakṣad iti
9.2.3.20.5	devahūś caiva yajñaḥ sumnahūś ca
9.2.3.20.6	yakṣad agnir devo devāṃ ā ca vakṣad iti
9.2.3.20.7	yakṣac caivāgnir devo devān ā ca vahatv ity etat
9.2.3.21.1	vājasya mā prasava udgrābheṇodagrabhīt
9.2.3.21.2	adhā sapatnān indro me nigrābheṇādharā akar iti
9.2.3.21.3	yathaiva yajus tathā bandhuḥ
9.2.3.22.1	udgrābhaṃ ca nigrābhaṃ ca brahma devā avīvṛdhan
9.2.3.22.2	adhā sapatnān indrāgnī me viṣūcīnān vyasyatām iti
9.2.3.22.3	yathaiva yajus tathā bandhuḥ
9.2.3.23.1	tad yā amuṣmād ādityād ūrdhvāś catasro diśaḥ tā etad devā asurāṇām avṛñjata
9.2.3.23.2	atho tā evaitat samārohan
9.2.3.23.3	tā u evaitad yajamāno dviṣato bhrātṛvyasya vṛṅkte
9.2.3.23.4	atho tā evaitat samārohati
9.2.3.23.5	atho etadvā etābhir devā ātaḥ samprāpnuvan
9.2.3.23.6	tathaivābhir ayam etad ātaḥ samprāpnoti
9.2.3.24.1	athāgnim ārohanti
9.2.3.24.2	kramadhvam agninā nākam iti
9.2.3.24.3	svargo vai loko nākaḥ
9.2.3.24.4	kramadhvam anenāgninaitaṃ svargaṃ lokam ity etad
9.2.3.24.5	ukhyaṃ hasteṣu bibhrata iti
9.2.3.24.6	ukhyaṃ hy eta etaṃ hasteṣu bibhrati
9.2.3.24.7	divaspṛṣṭhaṃ svar gatvā miśrā devebhir ādhvam iti
9.2.3.24.8	divaspṛṣṭhaṃ svargaṃ lokaṃ gatvā miśrā devebhir ādhvam ity etat
9.2.3.25.1	prācīmanu pradiśam prehi vidvān iti
9.2.3.25.2	prācī vai dig agneḥ
9.2.3.25.3	svām anu pradiśam prehi vidvān ity etat
9.2.3.25.4	agner agne puro agnir bhaveheti
9.2.3.25.5	asya tvam agner agne puro 'gnir bhavehety etad
9.2.3.25.6	viśvā āśā dīdyāno vibhāhīti
9.2.3.25.7	sarvā āśā dīpyamāno vibhāhīty etat
9.2.3.25.8	ūrjaṃ no dhehi dvipade catuṣpada iti
9.2.3.25.9	āśiṣam āśāste
9.2.3.26.1	pṛthivyā aham ud antarikṣam āruham
9.2.3.26.2	antarikṣād divam āruham iti
9.2.3.26.3	gārhapatyād dhy āgnīdhrīyam āgacchanti
9.2.3.26.4	āgnīdhrīyād āhavanīyaṃ
9.2.3.26.5	divo nākasya pṛṣṭhāt svarjyotir agām aham iti
9.2.3.26.6	divo nākasya pṛṣṭhāt svargaṃ lokam agām aham ity etat
9.2.3.27.1	svar yanto nāpekṣanta ā dyāṃ rohanti rodasī iti
9.2.3.27.2	na haiva te 'pekṣante ye svargaṃ lokaṃ yanti
9.2.3.27.3	yajñaṃ ye viśvatodhāraṃ suvidvāṃso vitenira iti
9.2.3.27.4	eṣa eva yajño viśvatodhāraḥ
9.2.3.27.5	eta u eva suvidvāṃso ya etaṃ vitanvate
9.2.3.28.1	agne prehi prathamo devayatām iti
9.2.3.28.2	imam etad agnim āha tvam eṣām prehi prathamo devayatām iti
9.2.3.28.3	cakṣur devānām uta martyānām iti
9.2.3.28.4	ubhayeṣāṃ haitad devamanuṣyāṇāṃ cakṣuḥ
9.2.3.28.5	iyakṣamāṇā bhṛgubhiḥ sajoṣā iti
9.2.3.28.6	yajamānā bhṛgubhiḥ sajoṣā ity etat
9.2.3.28.7	svar yantu yajamānāḥ svastīti
9.2.3.28.8	svargaṃ lokaṃ yantu yajamānāḥ svastīty etat
9.2.3.29.1	tad yā amuṣmiṃ loke pañca diśas tā etad devā asurāṇām avṛñjata
9.2.3.29.2	atho tā evaitat samārohan
9.2.3.29.3	tā u evaitad yajamāno dviṣato bhrātṛvyasya vṛṅkte
9.2.3.29.4	atho tā evaitat samārohati
9.2.3.29.5	atho etad vā etābhir devā ātaḥ samprāpnuvan
9.2.3.29.6	tathaivābhir ayam etad ātaḥ samprāpnoti
9.2.3.30.1	athainam abhijuhoti
9.2.3.30.2	etad vā enaṃ devā īyivāṃsam upariṣṭād annenāprīṇann etayāhutyā
9.2.3.30.3	tathaivainam ayam etad īyivāṃsam upariṣṭād annena prīṇāty etayāhutyā
9.2.3.30.4	kṛṣṇāyai śuklavatsāyai payasā
9.2.3.30.5	rātrir vai kṛṣṇā śuklavatsā
9.2.3.30.6	tasyā asāv ādityo vatsaḥ
