1.1.1	Now we shall explain the Agnihotra.
14.3.5	Those who would fight should offer these oblations connected with the sacrifice. First, he should offer oblations with iron, then with silver, and finally with copper.
14.3.6	"The beginning of this is "Agni is the most powerful," and the end is "Nihnvana." This has been explained."
14.3.7	In the morning, they perform the Nihnvana ritual with the right arm stretched out, and in the afternoon with the left arm stretched out.
14.3.8	Agni-d, do thou proclaim the wives of the gods. O Subrahmanya, do thou invite the Subrahmanya. Thus he gives the order.
14.3.9	Sitting down to the rear of the Garhapatya, the Agnidhra proclaims the wives of the Gods, saying, "To the army of Indra."
14.3.10	Subrahmanya invites the Subrahmanya.
14.3.11	The sacrificer recites the formula, "Thou art the good Brahmanaspati" as before.
14.3.12	These rites are performed in the evening.
14.3.13	Thus the rites of Pravargya and Upasad are to be performed for three nights in the evening and morning.
14.3.14	The formulas which are to be recited in the morning should be recited in the evening and the formulas which are to recited in the evening should be recited in morning.
14.3.15	It has been said that there are three Upasads for the Sahna and twelve for the Aahina.
14.3.16	On the middle day, having fixed the peg in the three courses with the Prāgvaṃśa in front of the Pracaryā, and having cut it down, he measures the Vedi with a spade or an axe, except the bending down as in the Darsa.
14.4.1	The post which is in the west of the Veda is the middle one. From that, in the east, there are thirty-six posts. The eastern post is the one.
14.4.2	From the western post, there are fifteen posts in the south and fifteen in the north. Those two are the hips. From the eastern post, there are twelve posts in the south, and twelve in the north. They are the shoulders.
14.4.3	Having made the entire (ground) to be measured by the Akshnas, he measures the Veda in the direction of the Sakti, turning to the right, with the verse, "I measure thee, O Veda, with the Veda, with the verse," "I measure thee who art full of milk."
14.4.4	He makes the Prāg-graha in the middle.
14.4.5	"This is for him, with the Veda" and "I measure the Veda" are the two verses for touching and sweeping.
14.4.6	The eastern end of the Uttaravedi is the western end of the southern altar. The eastern end of this is the western end. The eastern end is the western end, and the western end is the eastern end. The eastern and western ends of the Uttaravedī are the eastern and western ends. The eastern end being the western end, the western end being the eastern end, the eastern end being the eastern and the western end being western, the eastern and western end of the Uttaravēdi are the eastern and the eastern end of the southern alter.
14.4.7	From the sixth step to the south, the seventh step is the place for the Uparava.
14.4.8	From that the Stambayajus is taken.
14.4.9	From the northern shoulder, twelve steps to the west, the place of the heap, he sits down with folded hands, saying, "Salutations to the sky."
14.4.10	The Stambayajus is explained in the folded hands.
14.4.11	That is the heap.
14.4.12	The sacrificial ground is to the north of that shoulder and twelve steps.
14.4.13	The men come here and make this sacrificial ground.
14.4.14	The digging is explained.
14.4.15	The young woman with four locks of hair, well-formed, resembling ghee, in the middle of the world,
14.4.16	On her are the two Suparnas settled, for them is the share of the gods. Having recited the Veda, he makes the northern altar covered by the northern altar, smaller in front, with ten steps.
14.4.17	Having covered it with branches of the Udumbara tree or with branches of the Śatāhvā tree, one should perform the Apārāṇika rites in the evening and the Prātaḥsāman rites in the morning.
14.4.18	One should give half of the Vrata or the entire Vrata.
14.4.19	Similarly, having combined the Apārāņika rites, one should perform Upasad if the Pravargya is performed earlier.
14.4.20	The Agniprāṇayana rite at the Pashubandha has been explained.
14.5.1	This is the same as the Sāumika Āhavanīya.
14.5.2	On the northern part of the altar with the Agni-mantra, he encloses the northern enclosure. The animals are not moved about until the covering of the altar.
14.5.3	The Pratiprasthātṛ removes the calves of the Payasyā and the Maitrāvaruṇa cows for the evening milking, and the calf of the Gharmādhughā for the Dadhikrāvan.
14.5.4	The wood for the Sutyā and the sacrificial grass for the altar are collected.
14.5.5-6	Having sprinkled the wood, the altar and the sacrificial grass three times each, he spreads the altar towards the east and the sacrificial grass towards the west. Having placed the wooden sword, the wooden ladle, the wooden spoon, the wooden tongs, the wooden ladle for clarified butter, the wooden ladle with a long handle, the wooden ladle used for pouring clarified butter, the two wooden ladles, the wooden ladle called "the one with a mouth", the wooden ladle called the "one with a mouth", and the wooden ladle called the "one with a nose", he places them in the middle of the altar. Having placed the wooden sword and the wooden ladle in the middle of the altar, he places the wooden spoon and the wooden tongs on the right side of the altar. He places the wooden ladle for pouring clarified butter and the wooden ladle with the long handle on the left side of the altar.
14.5.7	Thus they perform the rites for the future.
14.5.8	Of these two, the southern one is the younger, with the fruit-bearing tree removed, and the northern one.
14.5.9	He loosens the binding of the dice, which have become entangled, and again binds them securely.
14.5.10	He sprinkles the oblation-holder with "O Vishnu, may you be purified."
14.5.11	Having melted the clarified butter in the mouth of the cauldron and having taken four spoonfuls in the ladle, he offers with the Savitrī verse, "One yokes the mind..." on the northern altar.
14.5.12	Taking a portion of the third foot of the Devashruta verse, he anoints the southern axle of the southern Havirdhana cart with that ghee, with his right hand stretched out, turning clockwise three times.
14.5.13	Similarly, the northern one.
14.5.14	He anoints the foot with ghee.
14.5.15	The Adhvaryu, having made the Havirdhana-carriers move forward, instructs them to recite.
14.5.16	Having understood the three times recitation of the verse "We yoke you with the ancient Brahman," they should make the Havirdhana carriers move forward towards the east.
14.5.17	If there is the sound of the wheels, he mutters "May there be good speech."
14.5.18	When he steps on the altar in the Havirdhana shed, then having placed gold within the altar on the northern side of the southern Havirdhana shed and having spread it, he offers with the verse, "Vishnu has stepped forth."
14.5.19	In this way, the Pratiprasthātṛ offers the cow facing towards the north and having a calf.
14.5.20	The Veda, in the second half of the third section, removes the fear of the unborn. The Brahman or the Adhvaryu removes the dust or clods outside the altar with his foot.
14.6.1	Having placed it on the Havirdhana cart standing beyond the Ahavaniya fire in three stages, he recites, "May you enjoy here."
14.6.2	The distance between these two is as much as is required.
14.6.3	"They support the two at the neck, saying, "Thou art the Vishnu-weapon; Vishnu supports thee."
14.6.4	"He strikes the southern sacrificial post with the verse, "O Vishnu, of the heaven," and the northern one silently.
14.6.5	"With the verse, "Who is the protector of Vishnu?" he strikes the northern one.
14.6.6	"Thou art the firm of Vishnu." With the Spandyā (a kind of grass) they bind them together, saying, "Thou art the firmly of Vishnu." They make a knot.
14.6.7	Having bound them together, they throw up the upper ends of the grass, and hold them above.
14.6.8	Having measured out a span towards the east of the southern Havirdhāna, he places three posts with their tops towards the east and their ears towards the north.
14.6.9	The Pratiprasthātṛ does the same with the northern Havirdhāna.
14.6.10	They place six more posts in the same way.
14.6.11	Two bamboo poles are placed towards the east.
14.6.12-15	"Thou art the royal banner of Vishnu," thus he binds the royal banner in front. So also on all sides. "Thou art the back of Vishnu," thus having placed the middle roof, nine cubits in length and three cubits in width, towards the east or north, he says, "Thou art the garment of Vishnu," and then the roofs on all sides. Then he says, "O thou who art worshipped by the Givers," and covers it on all sides.
14.6.16	Having placed the two door-posts on the ground, they should make the door on the eastern side first and then on the western side.
