1.1.1	We shall explain the Darśa-Pūrṇamāsa sacrifices.
13.5.2	The Adhvaryu, having touched the Hotr's and Maitrāvaruṇa's cups, carries the Vasatīvarī waters to the upper Ātman. "The waters have united with the waters, the plants with the plants, those who follow the vow with those who follow the vows."
13.5.3	Having brought the Hotr's goblet, he fills it from the Maitrāvaruṇa's goblet. From the Maitrāvaruṇas goblet he fills the Hotr' s goblet. From the Hotr' goblet he fills the Maitrāvaruņa's goblet.
13.5.4	Then he anoints them with the Pracaraṇyā verse, "May Varuna, Indra, Brihaspati, Tvashtri, Vishnu, desiring progeny, bestow wealth on the sacrificer." Thus they are anointed according to their respective verses.
13.5.5	The Hotṛ asks the Adhvaryu, "O Adhvaryu! Do you know the Apas?"
13.5.6	He replies, "We know them."
13.5.7	Then he offers the oblation for the performance of the sacrifice with the verse, "O Agni, in the battles, thou art the mortal one." If it is an Agniṣṭoma.
13.5.8	If it is an Ukthya, having offered, he smears the paste on the boundary.
13.5.9	If it be a Sodashin, having offered and smeared the paste on the boundaries, he touches the Dronakalaśa or the Raratī.
13.5.10	He does not offer, does not sprinkle, does not touch water at the Vājapeya and Atiratra sacrifices. This is the mantra that one recites while approaching.
13.5.11	He places the Pracarani ladle on the handle of the southern Havirdhana cart.
13.5.12	One should touch water with the one whom one hates.
13.6.1	One makes the water flow through the southern door of the Havirdhana cart, or through the eastern door. The sacrificer approaches through the eastern door.
13.6.2	Under the northern Havirdhāna-shed, he places the Vasatīvarī vessels, the Maitrāvaruṇa's goblet.
13.6.3	Having placed the Puroḍāśa of the Hotr under the southern Havirdhāna shed, he proceeds to take up curds.
13.6.4	With a pot made of Udumbara wood, having four corners, he takes curd, saying, "You are taken with the Upayāma-graha. I take you, O Prajapati, the luminous one, for the luminous one."
13.6.5	He takes it away, saying, "O Indra, the mind of the enemies."
13.6.6	He offers it, saying, "For your breath." With the remaining portion of the Anuvāka.
13.6.7	He should take the Soma-graha for one desiring Brahmic glory. He should take the curd-graha for the one desiring cattle.
13.6.8	The procedure for the ghee-graha is the same.
13.6.9	One who is about to take the Soma- graha places the king on the skin of an animal killed by a blow, as much as is sufficient for one graha.
13.6.10	Having filled the Hotr's vessel with the Vasatīvarī waters, he makes the sacrificer recite the Nigrābha formula, beginning with "Nigrābha, O divine-knower" and ending with "May the groups not be thirsty for me."
13.6.11	Having sprinkled with the Vasatîvarî waters, he recites the Abhiṣoṣya formula, beginning with “May your mind grow, well-born."
13.6.12	Wherever he sprinkles, he sprinkles with this very (verse).
13.6.13	Then he sprinkles him with a ladle.
13.7.1	The gods made three kindling-sticks for the youthful one, the wise, the immortal, and they placed them in the mortal world. Two of them went to the mortal world.
13.7.2	Wherever he may sprinkle, he should sprinkle with the ladle.
13.7.3	This is the sprinkling-mantra for this (Agni).
13.7.4	If the first drop of the sprinkling falls down, he should recite this mantra over it: "Do not fall down, along with progeny, along with prosperity."
13.7.5	"They should be recited at every sprinkling" is one view. "He who is the first of all" is another view.
13.7.6	"The drops have fallen" should be recited for the drops.
13.7.7	"They should be recited every time" is one view, "He who is at the end of all" is the other view.
13.7.8	Here the sacrificer makes the navel of the ten-stringed filter.
13.7.9	Then, with a hand holding gold, he pours the flowing water through the strainer into the vessel for holding curds, saying, "One should take it with the wind-offering (verse)." This is another (verse).
13.7.10	Then he places it on the ground, saying, "This is your birthplace."
13.7.11	Then, facing east, he offers it with a hand holding a gold coin, saying, "The verses for the offering of curds have been explained.
13.7.12	Or, he is not entitled to the Soma rites, because of the modification of the taking of curd.
13.7.13	There, the taking of the meaning is the sprinkling, because of the connection with the other (Soma rites). And the Soma-making is the sprinkling-mantra.
13.7.14	Herein, this is the extreme limit:
13.8.1	He takes all the Somas with a hand holding gold, and offers them.
13.8.2	He offers all the Soma-offerings facing east.
13.8.3	Having offered, he eats the remainder in the assembly.
13.8.4	The Marjālīya washes the vessel.
13.8.5	From now on, the members of the assembly eat the Soma offerings, and the Agnīdhra eats the oblations.
13.8.6	The Marjalīya washes the vessels of the leftovers.
13.8.7	Then he takes the Ādābhya.
13.8.8	The king of the Soma-juice, having been pressed, is taken out in three streams with these formulas: "May the Vasus take thee out with the Gayatri metre."
13.8.9	Having poured out the curds or milk of the Nigra-cows into a vessel, he takes out the streams with these formulas : "May the Manadas take thee out, O bright one, with the bright (stream).
13.8.10	Some say, he shakes it three times; some say, five times; some say seven times.
13.8.11	Then he takes it in a vessel of curds, with the three verses, "I take thee with thy own essence, Agni, may he protect us at the morning pressing."
13.8.12	The fierce ones have gone away from him.
13.8.13	Soma offers, Soma is the leader of Soma.
13.8.14	Then he sprinkles the rays on the rays, O shining god Soma, with the Gayatri metre. With these mantras, he sprinkles each one.
13.8.15	One says that one should sprinkle after the Soma has been drunk. Another says that one should separately sprinkle each one at that time.
13.8.16	He gives twelve cows as Dakṣiṇā, and the house of the sacrificer.
13.8.17	Then he takes up the Anśu.
13.8.18	He pours the king on the skin of an Adhiṣavaṇa animal, as much as he thinks is sufficient for one libation.
13.9.1	Then he pours it down once without repeating, letting the stream flow through the strainer, and takes it once in the Adābhya vessel.
13.9.2	It is understood that he takes it reciting the Vamadevya hymn mentally.
13.9.3	Some say that one should take the Vamadevyal hymn with the verse "What wonderful thing has come to us?"
13.9.4	It is understood that the breath should be taken as inhalation, exhalation, and suspension.
13.9.5	Taking a hundred-weight of gold, he offers it with the verse, "May our life come back from the yonder world."
13.9.6	Having covered the cup with gold, he touches it with the verse "Indra and Agni may bestow radiance on me."
13.9.7	Then he offers it once without repeating, with the verse, "If he is wealthy, he may give."
13.9.8	If he is unable to offer or take the gift when the gift is given, he should offer it.
13.9.9	Having offered, he eats the remainder in the assembly as before.
13.9.10	He gives twelve cows as Dakṣiṇā, and also the house of the Kriti-adherents.
13.9.11	Then he takes up the stone for the Upāṃśusavana, reciting the formula "By the impulse of the divine Savitr..." and ending with "for the sake of rain."
13.9.12	Having taken it, he restrains his speech until the Āgrayana (offering).
13.9.13	Then he measures it with a palm holding gold, towards the north, with these mantras: "For Indra, the slayer of Vritra..."
13.9.14	There, the same rule applies as in the case of buying, except for the collection.
13.9.15	Then he takes it in a low voice.
13.9.16	On the skin of the Adhiṣavaṇ he puts down the king, as much as he thinks is sufficient for one cup.
13.10.1	He recites the verse "O Soma, you are the protector of the earth" while reciting the Apāyyā mantra.
13.10.2	He recitess the verse "O Dhishana, you are the one who is to be pressed" while reciting the mantra on the Adhiṣaṇaphala.
13.10.3	The stone is above and the portions are below.
13.10.4	Then, sprinkling the Hotr's goblet clockwise, he approaches the Nigraha (cup) with the verse, "May the directions, east, west, north, and south, may the directions, east and west, north and south, may they run towards you, O Amba, may they be restrained."
13.10.5	He takes up six Ansi-cups, which are wet and joined together.
13.10.6	While lifting up the stone for pressing, they say, "Do not be afraid, do not be frightened."
13.10.7-8	Where he sees grass or roots, he sprinkles it with the formula, "We sprinkle thee, the faultless one, sent by Indra. May Vayu be thy share. May Mitra be thy share. May Varuna be thy share. The Soma-king has been struck by me." One should sprinkle with this formula only thereafter.
13.10.9	Having poured eight times, he again goes to the Nigrābha.
13.10.10	Twice from the beginning or from the end, he goes to the Nigrâbha four times.
13.10.11	Having collected three times with the Udakana, it is known as Udakana.
13.10.12	Having placed the Pratiprasthâtri's Upâmsupâtra with two (portions) of the unmixed portions, he takes it up towards the north.
13.10.13	The Adhvaryu, having taken the king in his folded hands, carries the Upamshupātra, reciting, "O Vācaspati, do thou flow forth, O strong one."
13.10.14	Two other sieves are prepared in the same way.
13.10.15	One may sieve the Soma eleven times, the second twelve times, and the third twelve times.
13.11.1	The Pratiprasthātṛ pours the Soma into the vessel with two other Anśus.
13.11.2	Having taken the cup, the Adhvaryu rises, saying, "Thou art consecrated; make the wishes sweet."
13.11.3	He carries it towards the north of the Hotr, saying, "Do thou follow the heaven."
13.11.4	"May Tvashtri be thy mind," they stand facing each other at the junction of the northern enclosing stick.
13.11.5	Standing erect, he offers the oblation facing south, continuously, with "Svāhā to thee, O Sun, the well-born."
13.11.6	Having offered, he smears the paste on the boundary.
13.11.7	If one desires, "May the rain be abundant," one should smear it with the hand facing downwards.
