1.1.1	When one is about to offer a sacrifice with the New-Moon or Full-Moon oblation,
26.2.3	"Ojasthē" is said to be of those who are to be worshipped.
26.2.4	These are said to be the ones of the whirlwinds.
26.2.5	"Sūryavarchasthē" is of those who are visible.
26.2.6	These are of the ones who are pleased.
26.2.7	"Shakvarī sthē" is said of the ones who have the form of a cow.
26.2.8-12	If the Soma-pressing is to be concluded on the same day, then this is the rule: If it should increase beyond the prescribed limit, then on that very day one should offer an oblation to Agni with eight potfuls of cooked rice. On the next day, one should offer to Sarasvati. One should know that there are ten each in the Hotr's vessel and the Udgātṛ's vessel. Seven each in the Hotrs vessel and the Udagatrs vessel.
26.2.13	Now the others are nine and nine.
26.2.14	These are the ones beginning with Prāsarpaṇa, ending with Apasusumanta.
26.2.15	Now this is the Pratichinastoma, the Keśavapaniya Atiratra, which is sixteenfold.
26.2.16-17	His Agniṣṭoma sacrifices have the same number of Stotras as the original Agniṣṭoma, the Bahispavamāna has twenty-one Stotras, the Ajyas have seventeen Stotras, the Madhyandina Pavamāna has fifteen Stotras, the Prsthas have fifteen Stotras, and the Ārbhava Pavamāna has three Stotras. The Yajñāyajñiya has three Stotras.
26.2.18	He has six consecrations, six preparatory rites, the Prasuta rite on the thirteenth day, and the Udavasani rite on the fourteenth day.
26.2.19	Then, in the remaining part of that very fortnight, he consecrates himself for the two-day Vyuṣṭi rite.
26.2.20	He is consecrated for one night of the bright fortnight and two nights of the dark fortnight.
26.2.21	There are twelve preparatory rites for them.
26.2.22	Then he observes the Upavasa.
26.2.23	Then on the day of the Upavasatha, when the New Moon is in the east, the first day is the previous day and the second day is the subsequent day.
26.2.24	The Vyuṣṭi sacrifice of two days comes to an end.
26.2.25	Then one should enter the northern hall.
26.2.26	Then having churned out the fires and having moved away, one initiates for the Agniṣṭoma to be performed on the next day.
26.2.27	There are three consecrations, three Upasads, and the Soma is pressed on the seventh day.
26.2.28	This Udayaniya Agniṣṭoma comes to an end with a thousand Dakṣiṇās.
26.2.29	Then in this very remaining fortnight, he performs the Devikā-Havis and the Sautrāmaṇī of Traidhātavīya, for the stability of the Kṣatriya.
26.2.30	The Rajasuya sacrifice is completed in seventeen and a half months.
26.2.31	Now the Keshavapaniya of Saliki.
26.2.32	They are sixteen and a half.
26.3.1	Now the Anjasavas.
26.3.2	The first half-month is well known.
26.3.3	The Caturmāsyas are performed in five days, the Santani in two days, the Indraturiya in the eighth day, the Devīka-Havis in the ninth day, the Uttara in the tenth day, the Ekādaśa, Dvādaśa and Trayodaśa in the eleventh, twelfth and thirteenth days, the Vaivasvata in the fourteenth day, the Vaishvānara in the fifteenth day, the Varuna in the sixteenth day, the Yavamaya Caru in the seventeenth day, the Prāṇāgni in the eighteenth day, the Prāyaṇīya in the nineteenth day, the Āgrayaṇa in the twentieth day, the Āgrayana in the twenty-first day, the Āgrya in the twenty-second day, the Āgrīya in the twenty-third day, the Āgneya in the twentyfourth day, the Āgneya in the twentyfifth day, the Āgnādhriya in the twenty-sixth day, the Āghārya in the twenty-seventh day, the Ādhārya in the twentyeighth day, the Ādārya in the thirtieth day, the Ādha-rādhi in the thirty-first day, and the Ādhāri in the thirty-second day. Thus the month is completed.
26.3.4	The Havis of the Ratni-s is offered in twelve days, the Maitra-Bārhaspatya in thirteen days, the Santani in two days, the Abhisecaniya Ukthya in half a month. Thus two months.
26.3.5	The Saptadasa is offered in half a month, the Dasapeya in half a moon, the Diksita and the Diksitavratin in three months.
26.3.6	The Prati-stoma sacrifice with the Keshava-paniya Atiratra in half a month, the Vyushti sacrifice in two days, and the four months.
26.3.7	The Ksatra-dhrti sacrifice in half a month.
26.3.8	They are half of five.
26.3.9	Now about Shalikya.
26.3.10	The Agniṣṭoma sacrifice is purified in seven days. The remaining days of the fortnight are completed in this way. The Ratnin offerings are made in the twelfth day. The Maitrāvaruṇa and Bṛhaspati offerings are made in two days. This is the month.
26.3.11	The Abhiṣeka and Ukthya sacrifices are performed in half a month. The Saptadaśa and Daśapeya sacrifices are performed for two months.
26.3.12	The Prati-stoma sacrifice with the Keshava-paniya Atiratra in half a month, the Vyushti sacrifice in two nights and the Rajasuya in three months.
26.3.13	The Ksatra-dhrti sacrifice in half a month.
26.3.14	They are half of the fourth.
26.3.15	Now the Patantuka.
26.3.16	Twelve days of consecration and twelve days of approaching.
26.3.17	The Rajasuya is deficient by seven days.
26.3.18	He performs the Rajasuya-sacrifices in accordance with the space available.
26.3.19	Then he performs the Devaki-sacrifices.
26.3.20	Then he offers the Tridahtviya-sacrifice.
26.3.21	Then he makes the Sautrāmaṇī-sacrifice.
26.3.22	The Rajasuya is concluded.
26.4.1	Now they describe the Iṣṭikalpa, the one with fifteen Samidhenī verses and the one with seventeen Samidhenīverses.
26.4.2	There, the sacrifice and the offering are accomplished. Baudhayana's is the view.
26.4.3	As in the case of Saliki.
26.4.4	One should recite three verses.
26.4.5	Having recited the first verse thrice, one should recite the next three verses, and then the last verse thrice.
26.4.6	They are fifteen.
26.4.7	One should repeat fifteen times.
26.4.8	These eleven Samidhenis are named Samamnamas.
26.4.9	He recites the first three times, the last three times.
26.4.10	They are fifteen.
26.4.11	One should recite seventeen, one should recite twenty-one, one should recite fourty-two, one should recite thirty, one should recite sixty-two, one shoud recite forty, one should recite eighty-four. These are the Dhayyas (verses).
26.4.12	All the verses are in the Gāyatrī metre.
26.4.13	One should recite all the metres, one should recite an unlimited number of verses. Thus these verses become Dhāyās.
26.4.14	These are not all Gāyatrī verses.
26.4.15	The Puronuvākyā is in the Gāyatra metre, the Yājyā is in the Tristubh metre.
26.4.16	The Puronovākyā is before the Lakṣma, the Yāgyā is above the Lakṣma.
26.4.17	The Mūrdhanvatī is the introductory formula. One should offer the Upāṁśuyāja between the Niyutvatī and the Yajati.
26.4.18	This is applicable only to the Darśa-Pūrṇamāsa sacrifices and not to others.
26.5.1	Now these are the optional sacrifices which should be performed without any residue.
26.5.2	One should observe the diet of milk for a year or twelve days or as long as one desires.
26.5.3	If one were to offer to those who have the same yokes, then all of them should be offered. Just as when one has not properly taken up the fire-tending, one takes up a little and then again takes up more.
26.5.4	How is atonement accomplished here?
26.5.5	Some say it is accomplished.
26.5.6	But some say it is not accomplished.
26.5.7	Or one of them may be the designated part, and the other the undesignated part.
26.5.8	Both of them are indeed the undesignated parts.
26.5.9	It does not succeed at all.
26.5.10	The taking of Dhṛṣṭi is the ritual.
26.5.11	One should take Dhṛṣṭī from the Garhapatya.
26.5.12	With that, one should place the skull of Vaiśvānara on the Āhavanīya.
26.5.13	Having circumambulated the Garhapatya, having baked the Marut-cakes of flour, having mixed them together, having made two balls, having taken the ball of Marut in front, one should sprinkle the ball of Vaisvânara on the Âhavanîya.
26.5.14	Having circumambulated, having taken the skin of Marut at the Garhapaty, one should take this skin.
26.5.15	Having performed the Agnihotra rite, one should perform the Agnihotra rite.
26.5.16	Having cooked this (oblation), one should cook that (oblation).
26.5.17	Or one should do both in both places.
26.5.18	Having cooked the oblation, one should release the southern end of the enclosing sticks, or the southern enclosing stick, from the front.
26.5.19	From here onwards it is accomplished.
26.5.20	These two are the ones who are smeared with this (sin), he who eats the food of those who hate each other.
26.5.21	It is said that the other is the other.
26.5.22	If the kingdoms would be shaken by the enemies, or if they would be united.
26.5.23	The kings are the enemies.
26.5.24	One's own people, the kingdoms, the clans.
26.5.25	He who is depressed, as if he were a sinner himself.
