1.1.1	Now, therefore, the authority.
26.2.16	He places the Garhapatya and Ahavaniya fires to the north of the wooden frame, and to the south of them the wooden frame with the ashes.
26.2.17	Having placed the king's seat to the east of the Ahavaniya fire, he places it to the south, facing east. He places the black antelope skin on the king's couch. He places the head-dress on it and covers it with the great hero.
26.2.18	Or another may be the arrangement of the boundary. The Adhvaryu should complete the time.
26.2.19	When it is said, "Anointing," he anoints the great hero with ghee.
26.2.20	Having placed the silver-hundred-man, he covers the earth with the Khara, saying, "Touching the earth."
26.3.1	He sends forth, saying, "Sing Shukra."
26.3.2	The wife sprinkles the head.
26.3.3	When it is said, “Settle down,” he burns the Muñja grass and makes it in the directions with the Khara.
26.3.4	"Among them, the great hero, the one with ghee, you are the light."
26.3.5	He recites "Unassailable" while holding the Pradesa in his hand.
26.3.6	Some do it in each direction.
26.3.7	He places his right hand outstretched towards the south, reciting "For all of me."
26.3.8	He places the Pradesa towards the north, reciting "Mano's horse."
26.3.9	Having sprinkled the ground with ashes and covered it with pieces of charcoal, he covers it with thirteen (bricks) from east to west, with the formula, "To the Maruts with Svāhā."
26.3.10	More on the right side with the formula.
26.3.11	He places it with the measure of a hundred gold coins, with the formula "Touching the heaven."
26.4.1	He sends forth with the verse, "Sing to the moon."
26.4.2	With three strokes of the whisk, he makes the offering with the formula, "Honey, honey."
26.4.3	He gives one to the Pratiprasthātṛ and another to the Agnīdhra. The Dhūnavas move around thrice each time, in the manner of the Pitṛs and the Devas.
26.4.4	The Uttara is for those who are pleased.
26.4.5	When the light is obtained, having placed a hundred gold coins, he sprinkles the great hero with ghee, with each syllable of the mantra, using a ladle.
26.4.6	He silently places the two portions of the oblation, made of village-ground rice.
26.4.7	The rites related to ghee are performed after the oblation is placed.
26.4.8	Or the rites related to medicine are performed, because of the word "purification".
26.4.9	When the words "I praise the heaven and earth" are uttered, he places the enclosing sticks, then the two ladles, having dismissed the Rāuhiṇa (priest), from the Āhavaniya fire towards the south and north.
26.4.10	When the words "May it be auspicious" are uttered, the Hotṛ says "The Gharma is pleasing", and sends forth the Udgātṛ with the words "Sing the two forms of the Gharma".
26.4.11	Having circumambulated, they stand up, reciting, "If the embryo of the gods is not formed..."
26.4.12	He offers the oblation to the head of the wife.
26.4.13	He makes her recite, "Obeisance to Tvashtra," looking at the great hero.
26.4.14	In the evening, he offers the oblation with the mantra sequence, "Day with Ketu" to the right-hand Rauhina, and "Night" to the left-hand Rauhina.
26.5.1	Taking the rope with the words, "For the god thee," he calls the cow by name three times loudly, moving towards the Garhapatya with the words, "Come hither."
26.5.2	He sends her away with the words, "Go to Aditi." Having released the cow with the noose and tied her to the post, he releases the calf with the words, “Pūṣan is here.”
26.5.3	He leads the calf with the
26.5.4	words, “For the heat, for the glow."
26.5.5	"Pour out for the Asvins!" one should pour out for Pīnavas.
26.5.6	"For Indra, svāhā!" one should recite over the drops.
26.5.7	"Which is your teat?" one should recite over a teat.
26.5.8	The Pratiprasthātṛ should do the same to the Mayūkha silently.
26.5.9	"Milk for the cow!" one should instruct.
26.5.10	"Rise, O Brahmanaspati!" one should rise when addressed.
26.5.11	When the Upagrahas are being offered, one goes to the sky.
26.5.12	He takes the Pariśāsas with the respective mantras, "You are the Gayatri metre."
26.5.13	He sends forth the Vasishtha-shaped ones with the verse, "Sing with the Vasishtha ones."
26.5.14	With them he encloses the Mahāvīra, saying, "I enclose you with heaven and earth."
26.5.15	Taking up the Muñja grass, he sprinkles it with the formula, "I take up with the Upamanyu." "I cover with the Antarikṣa."
26.5.16	Having sprinkled with the formula, he pours down the milk of the cow when it has become calm. "With Indra and Agni."
26.5.17	When it is said, "May Brahmanaspati go forth,"
26.6.1	He murmurs the names of the winds, "For thee, O ocean," while going to the Āhavanīya.
26.6.2	"Svāhā to the heated (oblations)," he sprinkles with the Upayamaniya ladle.
26.6.3	Having recited "Svāhā, the heated (oblation) to the father," and having crossed (the fire), having announced (the offering), he says, "Offer to the heated (offering)."
26.6.4	At the Vasat-utterance, he offers, reciting, "To all directions."
26.6.5	He shakes (the fire) three times, reciting, "In heaven, in the sky."
26.6.6	At the Anuvṣat-utterance he offers, reciting "Svāhā Agni."
26.6.7	The Brahman recites, "The heated (oblation), O Asvins."
26.6.8	The sacrificer says, "Do not fall down."
26.6.9	He recites the verse, "Obeisance to the one who is pouring down," while pouring down.
26.6.10	He recites, "Obeisant to Dharma," while coming out towards the northeast.
26.6.11	He makes a hole in the sand, reciting, "May we be without enmity."
26.6.12	He offers with the pieces of Vikankata wood, reciting, "Homage to Pūṣan, the one with arrows," after anointing and anointing in the hot sand.
26.6.13	Having offered, he places the first (cake) on the fire.
26.6.14	The fourth (cake) he places on the grass, looking towards the north, towards the south.
26.6.15	The seventh (cake) smeared with all the pastes, looking towards the south, he gives to the Pratiprasthātṛ.
26.6.16	He places it outside the hall towards the north.
26.6.17	"Svāhā to the light!" He pours the Upayāma-water on the hot (cake).
26.6.18	He offers to Rohini.
26.6.19	He also strikes the fire-sticks.
26.6.20	Having offered to Agnihotra, they eat the oblation like horses, saying, "Honey is offered."
26.6.21	Having washed the ladle in the ashes of the oblation, he places it here. When the fire-sticks are being arranged for the striking, he recites the following verse:
26.6.22	Some say, "When the fire-sticks were being arranged"
26.6.23	When the Blessed One is called "the one who has the best of cows," some people give a cow with milk to drink.
26.6.24	One makes everything on the couch.
26.6.25	"Awesome" means the great hero.
26.6.26	In the sprinkling of the single-time collection, the couch of the wooden post, the wooden frame, the black antelope skin, and the forehead-touching is sprinkled.
26.6.27	There is repetition because of the principal time.
26.7.1	They sit close by, the sprinkling of the Pravargya is completed.
26.7.2	Having placed the Parigha-vessel inside, having taken it out by the right side, and having thrown away the chaff,
26.7.3	Having lighted three fires in the Ahavaniya fire, the Agnidhra priest holds them in reverse order of the Satrurudriya verses.
26.7.4	He offers with a four-fold ladle, reciting each verse beginning with "Ya te gharm divya shuk" (RV 10.189.1).
26.7.5	Having placed the third (fire-brand) on the ground, he should proceed.
26.7.6	Having withdrawn the wife in front, one should proceed with the formula, "For the Ksatra is yours."
26.7.7	One should proceed with the Samaveda, as in the Avabhrtha.
26.7.8	The regions.
26.7.9	And the concluding verse.
26.7.10	They go to the region of the Utsada.
26.7.11	Without fire, on the northern altar.
26.7.12	Having sent forth thrice, one should say, "It has been churned."
26.7.13	Or in the order of the mantras.
26.7.14-22	He places the ladle touching the navel, with four corners. The other two are facing east. The resting place is silent. The two ends are on both sides. The two sacrificial posts are outside, drawn out. The wooden sword is to the north. The seat is to the south. The black antelope skin is to the north.
26.7.23	and the boundaries.
26.7.24	Having placed the rope-halter and the Veda-halter, he should place it behind.
26.7.25	Behind the pinvana and on both sides of the staff.
26.7.26	The pillar-halter behind.
26.7.27	And in the Rauhinaka vessel.
26.7.28	And in Dhṛṣṭi.
26.7.29	Another in the middle.
26.7.30	The donkey in the north.
26.7.31	The country of Mārgālīya outside the Veda, the donkey's excrement.
26.7.32	He fills it with milk mixed with water, saying, "This is the heat of that."
26.7.33	He gives the remaining part mixed with the vow to the initiated one.
26.7.34	If it is given only, then it is given only.
26.7.35	Here or there is sprinkling.
26.7.36	He sends (the sacrificer) to sing the Sāman in the Vārṣāhara-Iṣṭi-Hotrīya.
26.7.37	They sprinkle themselves in the Chaitralya, with their wives, saying, "May we be friends."
26.7.38	"We go forth" (he says), going out to the north-east corner.
26.7.39	Having come without looking back, he takes the kindling-wood and puts it on the Āhavanīya with the formula, "Thou art kindling-wood."
