1.1.1	Now, we shall explain the Darsha-Pūrnamāsa sacrifices.
19.11.6	Having first drawn a line from the north to the south, having fixed a peg in the middle of the northern altar-space, having drawn a circular line all around, having the size of a chariot-wheel, having brought a green Darbha-stalk with its roots, having fixed it in the middle of fire, having taken five spoonfuls of clarified butter, having offered five oblations on the Darbha-stalk, having taken it up and sprinkled it, having drawn the northern altar-line ending with sprinkling, having drawn nine circular lines inside the line, having strewn sand, having covered it with Darbha-grass, having filled the outer line with curd mixed with honey and sugar, one dwells.
19.11.7	Having offered the morning Agnihotra, may Prajapati settle thee. With that deity, may it be firm like Angiras. Having touched the northern altar with this verse, he takes Agni in himself with the two verses, "I take Agni first in myself. Agni is our father." Having taken Agni in himself, he touches the self-kindled fire with the verse, "O Agni, those are thy kindling woods." He scatters sand with the verse, "O Agni, thy ashes are here." The ashes are a sign."
19.11.8	When he scatters them, he thinks mentally, "Whatever is black in the moon, may that be here."
19.11.9	"May your bodies be united with the ones you love." Having mixed the sand and gravel, he surrounds them with an unlimited number of pebbles, thinking, "May you grow and be united." He arranges the pebbles.
19.11.10	The lines do not attract.
19.11.11	In the interior he places the half of the thigh, the water-pot, with the formula, "The ocean has placed thee, the bestower of offspring, the bestower or wealth, for me, for strength."
19.12.1	In the ninth line, on the exterior, he places fifteen days of the bright fortnight, with the formulas, "Recognition, recognition."
19.12.2-4	In the intervals of these days, he lays down fifteen Muhurtas, with the verse, "Citra is the banner." Then in the interval, he lays down the fifteen nights of the bright fortnight, with the verse "Darsha is seen." In the intervals of these nights, he lays down five Muhurtas, with the verse, "The giver, the bestower."
19.12.5	Then he lays down the fifteen days of the later half of the fortnight in the middle, with the verses, "The praised and the unpraised."
19.12.6	In the intervals of these days he lays down fifteen Muhurtas, with the verses "Savitar, the creator..."
19.12.7	Then he lays down the nights of the later half, with the verses,"The sung and the sung-over."
19.12.8	In the intervals of these nights, he places fifteen Muhurtas, saying, "The overseer and the approving one."
19.12.9	Then in the middle, he places twelve nights of the bright fortnight, saying, "Purifying the purifier."
19.12.10	Then in between, he places twelve dark fortnight nights, saying, "Powerful, more powerful."
19.12.11	Then he lays down the fifteen names of months in the middle, beginning with 'Aruna, Arunaraja'.
19.12.12	Then he lays down the sand, beginning with 'Ejatka, Jovanka'.
19.12.13	Then he places the fifteen Muhurtas in the middle, starting with 'Idanina, Tadanina'.
19.12.14	Then in the middle, he places the six names of the sacrificial rites and the three names of the four seasons: Agniṣṭoma, Ukthya, Agni, and Rtu.
19.12.15	Then in the navel, he places the four names of the year: Prajapati, Samvatsara, Mahān, and Ka.
19.12.16	He places the four bricks of his own accord in the directions, saying, "Earth, Agni and Earth and me."
19.12.17	He places the Lokamprana bricks saying, "May I fill the world."
19.12.18	Having brought the soil from the sacrificial pit, he arranges it on the altar with the verse addressed to Vaisvānara, "The earth is the back."
19.12.19	That becomes the altar.
19.12.20	He recites the ascending verse, he recites the descending verse.
19.12.21	He worships with the Upasthāna (rite), "You worship yourself, you know yourself, you are what you are."
19.12.22	He makes it a thousandfold.
19.12.23	Having made the cow, the sacrificer worships with the rites of Samhāra and Viharā, "You are the year, you are the year."
19.12.24	On the northernmost brick, he offers cow's milk with an Arka leaf.
19.12.25	You are Agni, O Rudra. This is the form of the Satarudriya. The Arkaparna is placed on the anthill.
19.12.26	Sitting behind the fire facing east, the Hotṛ recites the Anusamsas with the Anuvāka beginning with "Bhūr Bhuvaḥ Svar".
19.13.1	The rites beginning with Agniprāṇayana and ending with Pāśuka are common to all except the Ati-Mukti.
19.13.2	Having offered the Ati-mukti oblations, he offers four spoonfuls.
19.13.3	"O Agni, you are Rudra" is the form of the Satarudriya, the second four spoonfuls. "
19.13.4	"O Agni and Vishnu" is the form from the stream of Soma, the second four-spoonfuls.
19.13.5	"Lord of food" is the food offering, the second four spoonful.
19.13.6	"Seven are your Agni, seven tongues" is the Vishvapri.
19.13.7	The other four are taken up with the formula, "I offer thee to the Vasus with the Veda, to the Rudras with the Veda, the Adityas with splendour, to all the gods with the sacrifice, to the Maruts with the Veda. Svāhā."
19.13.8	At the pouring of the oblations, the sacrificer is anointed with the formula, “The queen, the Virajini.”
19.13.9	Then he offers twenty-one oblations with the formula, "To Asvin, svāhā! To Vasu, svāhā!" in accordance with the text.
19.13.10	He performs the animal sacrifice beginning with the collection of grass, which is common up to the offering of the oblation.
19.13.11	After the oblation has been offered, he gives the sacrificial animal and the cow as Dakṣiṇā.
19.13.12	If he is unable to give so much, he should give as much as he can afford. He should feed Brahmins with porridge or rice.
19.13.13	By this, his desire is fulfilled.
19.13.14	He should give a cow with a calf, gold and a garment.
19.13.15	He takes the Soma-cup for Mṛtyu in the Uduṃbara vessel, having performed the rites before the Manota rite.
19.13.16	The two Grahas, called Vipashchin and Pavamana, are taken up.
19.13.17	The Graha called Marutvat is taken up.
19.13.18	There is a Svishtakrit offering after it.
19.13.19	One should touch water with the formula, "Thou art lightning, thou art lightning, thou removest my sin."
19.13.20	Then one offers with the formula, "Thou art death, thou art hunger."
19.13.21	Then having offered, he should touch (the fire) with the formula, "Thou art the rain, thou hast sprinkled my sin."
19.13.22	The eating of the cake follows that.
19.13.23	He eats with the formula, "This is the eating, the eating of immortality."
19.13.24	Having eaten, he establishes the life-taking breaths in himself with the formula, "The subduing of the slow ones." The remaining part of the Anuvaka is to be recited.
19.13.25	From here onwards the ritual is common.
19.13.26	The Savitrī rite is concluded.
19.14.1	This (rite) explains the Naciketā.
19.14.2	There are no lines here.
19.14.3	Twenty-one golden bricks or sugar lumps anointed with ghee are placed on the navel at the time of placing (the bricks). "One says, 'You are the world, you are heaven' according to the Anuvāka, for each mantra."
19.14.4	Now some people perform this sacrifice at the animal-sacrifice itself, on the northern altar. The variations are explained in the Brāhmaṇa.
19.14.5	We shall now discuss them.
19.14.6	At the animal-sacrifice, at the Soma-sacrifice, at a Sattra, at a thousand-fold sacrifice, or at any sacrifice where the most oblations are offered, one should perform this sacrifice.
19.14.7	One who desires to establish himself in the sacrifice, fame, progeny, cattle, heaven, and prosperity, should perform the sacrifice according to the available space and as prescribed.
19.14.8	In all cases, the beginning is in the east, the circumambulation is clockwise, and the conclusion is in the north.
19.14.9	One who desires cattle should perform the sacrifice in the form of a five-fold altar, with five in each direction and one in the center.
19.14.10	One who desires to be the eldest, or fame, or progeny, should make the altar with three rows in front, three rows on the right, seven rows behind, three rows on left, and one row in the middle.
19.14.11	One who desires to be eldest should proceed from the middle and reach the upward direction.
19.14.12	One who wishes for heaven should proceed from the rear and reach the eastern direction.
19.14.13	If he desires, "May I be brilliant, glorious, and lustrous," he should offer to the east of the Hotr's seat, to the east of those who are to the south. The one that is to the east is glorious. May it cover me with brilliance, glory, and lustre.
19.14.14	Now if he wishes, 'May they have more faith in me, may they give more Dakṣiṇā', then when the Dakṣiṇās are being given, he should say, 'Come east, come east.'
19.14.15	Having offered with the ladle with the formula, 'May the eastern one accept the ghee, svāhā', one should offer in the Āhavanīya.
19.14.16	From 'self-spread' onwards, the subsequent procedure is similar.
19.14.17	The Nāciketa rite is concluded.
19.14.18	By this the Catuhotr is explained.
19.14.19	As far as the word 'padas' (is concerned), the bricks are made of gold or sugar, smeared with ghee.
19.14.20	At the time of placing, he places the Dashotr in front of the Darbha stalk, facing east, with each mantra, towards the north, the heart, the Graha, four places for the offerings, two for the wives.
19.14.21	Similarly, on the right side, the Catuhota facing east,
19.14.22	Then the five-hotar towards the west.
19.14.23	Towards the north the six-hotar towards east.
19.14.24	Above the seven-hotar towards north.
19.14.25	Here there are five places for the materials and the remaining ones for the wives.
19.14.26	The subsequent procedure is similar to that of the Svayamātr̥ṇṇa.
19.14.27	The Cāturhotra comes to an end.
19.15.1	By this the Viśvasṛj is explained.
19.15.2	As long as the mantra is recited, the golden bricks or sugar-coated bricks are placed.
19.15.3	At the time of placing the bricks, one encloses the fire with the three verses beginning with "Whatever is immortal and whatever is mortal" from the east to the north.
19.15.4	There are three layers of bricks, enclosed with three verses.
19.15.5	The same as before, with the exception of the self-sprinkling.
19.15.6	The eastern direction is called the great direction of the verses. This is what is praised by this chapter.
19.15.7	In the three Sārasvata sacrifices, in the three great sacrifices, in the six-day sacrifice of the Visve Devas, in the six months of Prajapati, in the thousand years of Prajapati and in the six months, the fire of the Visve Devās is controlled.
19.15.8	If they were to go forth, he should touch the place of the Uttaravedi with these mantras.
