1.1.1	We shall explain the (Vedic) sacrifice.
15.2.1	The marutvatīya-śastra begins with (a triplet) in aticchandas metre: "On the trikadruka the bull, the high-spirited, drank the barley-mixed Soma".
15.2.2-4	The aticchandas metre is of Prajāpati's nature; the vājapeya is (equal to) Prajāpati. Thereby he provides him with his own characteriṣṭic feature.
15.2.5	It may (rather) begin with (the triplet): "We make turn thee hither like a car, for aid".
15.2.6-8	The anuṣṭubh metre is of Prajāpati's nature, the vājapeya is (equal to) Prajāpati. Thereby he provides him with his own characteriṣṭic feature.
15.2.9	(The hymn) for the marutvatīya-(śastra) is: "With what array the comrade, the kindred".
15.2.10-11	The 'with what-array' hymn contains the word ka ('what, who'). Ka is Prajāpati, the vājapeya. Thereby he provides him with his own characteriṣṭic feature.
15.2.12	There is a (mess) of wild rice, of seventeen śarāvas, for Bṛhaspati.
15.2.13-14	Prajāpati, the vājapeya, is seventeen-fold: thereby he provides him with his own characteriṣṭic feature.
15.2.15	It falls between the marutvatīya- and the niṣkevalya-śastras; likewise at the bṛhaspatisava.
15.2.16	At this moment then he becomes consecrated (lit.: besprinkled) before the Sviṣṭakṛt (of the barhaspatya mess).
15.2.17	Of this (wild-rice mess) (only) the offering (proper, to Bṛhaspati) and the sviṣṭakṛt and the iḍā are performed.
15.2.18	The hymn: "That, forsooth, was the highest among beings" is the hymn for the niṣkevalya-śastra.
15.2.19-21	The highest among beings is the sacrifice; Prajāpati, forsooth, the vājapeya is the sacrifice. Thereby he provides him with his own characteriṣṭic feature.
15.2.22	The third service (as far as regards the hotṛ), from the corresponding triplet on, is that of the sixth (day of the prsthya six-day-period).
15.2.23-25	The sixth day is of Prajāpati's nature. The vājapeya is Prajāpati. Thereby he provides him with his own characteriṣṭic feature.
15.2.26	Or it is taken for the viṣuvat day.
15.2.27-29	The vișuvat day, forsooth, is an ascent. The vājapeya is an ascent. Thereby he provides him with his own characteriṣṭic feature.
15.2.30	Or it is that of the one-day-rite.
15.2.31-32	The one-day-rite is a firm standing, so (he makes it so) in order to get a firm standing.
15.3.1	In this case before the 'nay-to-us-come-favourable' hymn he should, according to the rite commended by Paiṅgya, intertwine the two 'honeycomb-cell' (hymns).
15.3.2	Verse by verse (the two hymns beginning): "The strength for the great solemnity"; and "Before the dawn".
15.3.3-4	In case they (the chanters) apply the agniṣṭoma-saman on verses containing the word 'wondrous', the laud- and corresponding-triplets (for the āgnimāruta-śastra) are the pragāthas: "Do thou, the wondrous one, to us with help"; and "O Agni, convey the matutinal":
15.3.4	After the soḍaśin(-stotra and corresponding śastra) follows the extra uktha(-stotra and corresponding śastra for the hotṛ).
15.3.5	Its laud- and corresponding (triplets) are: "This I praise today for thee, O Śipiviṣṭa"; and "Herefore Viṣṇu is being praised".
15.3.6	(Then follow the single verses:) the two: "The brahman, first born, hath of old".
15.3.7	(The one): "They who by meditation led the beginning of speech, or they who by mind spoke truths, they, united with the third brahman, peṚceived with the fourth the name of the milch-cow".
15.3.8	The five: "Vena saw that".
15.3.9	Or (the five): "This Vena".
15.3.10	Of the fourteen verses beginning: "Him of old" leaving over the last one, he utters the call and inserts the difficult ascent as at the viṣuvat rite.
15.3.11	Then he adjoins in his recitation the last verse, closes with the verse: "The sacrifice came to be" and applies as offering-verse: "Prajāpati".
15.3.12-14	He gives (as sacrificial fee) 1700 cows, seventeen clothes, seventeen yoked carriages, seventeen chariots, seventeen elephants, seventeen golden ornaments (niṣkas), seventeen drums.
15.3.15	This makes seven seventeens.
15.3.16	That is the full (āpta) vājapeya.
15.3.17	At the vājapeya as practised by the Kurus (are given as sacrificial fee) seventeen of each kind of cows.
15.4.1	After the performance of a vājapeya, the bṛhaspatisava (must be performed).
15.4.2	It is destined for one who is desirous of brightness or of priestly lustre.
15.4.3	The vājapeya is an ascent, the bṛhaspatisava is brightness, priestly lustre.
15.4.4	Thereby he is firmly established in (the possession of) brightness, of priestly lustre.
15.4.5	It is of nine-versed stoma.
15.4.6	The (first) prsthya-(laud) is the rathantara.
15.4.7	The śastra is arranged in triplets.
15.4.8	The sacrifice is an agniṣṭoma.
15.4.9	At the niṣkevalya and the following śastras the four verses: "He who propped" are put in, each of them in their sequence, before the hymns.
15.4.10	The sacrificial fee consists of thirty-three (cows).
15.4.11	At each service eleven (are given).
15.4.12	After the sacrifice of the omentum of the anubandhyā cow (he should give) to the brahman a mare together with its foal.
15.5.1	Prajāpati, having created the Gods, emitted for them as food and drink these sacrifices: first the agniṣṭoma, this did not satisfy them; then the atyagniṣṭoma, this did not satisfy them; then the ukthya, this did not satisfy them; then the ṣoḍaśin, this did not satisfy them; then the vājapeya, this did not satisfy them; then the overnight-rite, this did not satisfy them; then the aptoryāman, this satisfied them.
15.5.2-4	This comprises thirty-three lauds, thirty-three recitations, thirty-three libations accompanied by praise.
15.5.5-6	Thirty-three in number, forsooth, are all the Gods; all these he thereby gratifies singly by lauds, by recitations, by libations accompanied by praise.
15.5.7-9	It encompasses nine (different) stomas, nine pṛṣṭhas, six different kinds of soma-sacrifices.
15.5.10	These make, by summing up, twenty-four.
15.5.11-12	The year has twenty-four half-months; (he does so) in order to reach the year.
15.5.13	'Reached (or full, āpta) now, forsooth, is that end (yama) which satisfies the Gods and the year', hence the name aptoryama.
15.6.1-5	The three pavamāna-lauds are (as regards their stoma) those of the chandoma days; the ājya-lauds are nine-, fifteen-, seventeen- and twentyone-versed; the pṛṣṭha-lauds are twenty-seven-versed; the agniṣṭoma-saman is thirtythree-versed; the stomas of the ājyas prevail for the extra stotras.
15.6.6-7	Prajāpati, having on both sides encompassed all desires by these stomas of the agniṣṭoma (sacrifice of Somas) at both sides, put them into himself. And in the same manner does the sacrificer encompass all desires by these stomas of the agniṣṭoma at both sides, and puts them into himself.
15.6.8	The morning-service with the functions of the hotṛ is taken over from (is the same as that of) the viśvajit with all the pṛṣṭha-(sāmans).
15.7.1	The (hymn of the) marutvatīya is that of the one-day-rite preceded by the 'with-what-array' hymn and the two (hymns in the marutvatīya-śastra) of the fourth day of the prsthya six-day-period.
15.7.2	The pṛṣṭha of the hotṛ (i.e. the recitation corresponding with the first pṛṣṭha-laud; so here and in sūtras 3-5 the stotriya of the niṣkevalya-śastras is meant) is either the bṛhat or the rathantara with the vairāja at the inside of it.
15.7.3	Of the maitrāvaruṇa it is the vāmadevya with the śākvara at the inside.
15.7.4	Of the brāhmaṇacchamsin it is the śyaita with the vairūpa at the inside.
15.7.5	Of the acchāvāka the kāleya with the raivata at the inside.
15.7.6	Some say that first the inclosed part should be recited and then the body (the inclosing part).
15.7.7	But he should rather recite at the first place the 'body'.
15.7.8	(Because we can say:) "The garbha, forsooth, comes after the body' first the body of the mother comes into existence and then the foetus.
15.7.9	Having recited the laud-verses according to the one-day-rite they recite the laud-verses of the viśvajit with all the pṛṣṭhas.
15.7.10-11	In the same manner the corresponding triplets and the sama-pragāthas.
15.8.1	The (hymn of the) niṣkevalya is that of the one-day-rite preceded by the 'that-who-the-highest' hymn and the two (hymns) of the fourth day (of the prsthya six-day-period).
15.8.2	The three (hymns) of the fifth day (of the prsthya six-day-period) in the middle (inserted) before those of the two one-day-rites (are the) maitrāvaruṇa's (niṣkevalya).
15.8.3	The two of the third day are brāhmaṇacchamsin's (niṣkevalya).
15.8.4	The two of the sixth day are the acchāvāka's (niṣkevalya).
15.8.5	The (rite of the) third service is, from the corresponding triplets on, that of the sixth day (of the prsthya six-day-period).
15.8.6	After the āśvina-śastra follow the extra(-lauds and) recitations.
15.8.7	The laud- and corresponding-triplets for the hotṛ are: "O thou, who awakest to praise"; and "Approaching".
15.8.8	For the maitrāvaruṇa (they are): "Him of you, ever enduring".
15.8.9	For the brāhmaṇācchaṃsin (they are): "Whom followed thy gifts"; and "All whatsoever, that, O slayer of Vṛtra".
15.8.10	Or "Sing thou here"; and "Sing ye a praise for Indra".
15.8.11	For the acchāvāka (the laud-triplet is): "Here Vişnu strode".
15.8.12	The corresponding triplet consists of the last two verses and the first one (of the same triplet).
15.8.13	The complexes of nine verses (for the ukthamukhā) are successively: "There shines forth the dawn"; "From afar here"; "Fetch ye out"; and "Hither on my call".
15.8.14	(The hymn for the hotṛ is): "Agni shineth".
15.8.15	For the maitrāvaruṇa the next following one.
15.8.16	For the brāhmaṇacchamsin: "Hither with a chariot rich in cows".
15.8.17	For the adhvaryu the next following one.
15.8.18	The closing-verses for the three (adhvaryu, maitrāvaruṇa and brāhmaṇacchamsin) are the three (one for each śastra): "By the lord of the field".
15.8.19	For the acchāvāka it is: "May the God Savitṛ the helping one be good to us".
15.8.20	The offering-verses are (successively): "These soma-(draught)s belong to the over-night service", "These lovely"; "Do ye both pass over the depths", "Come ye on our call".
15.8.21	Or they are successively the four verses: "Your ancient home, your dear friendship".
15.9.1	The sacrifice of Yama.
15.9.2	Yama, forsooth, being desirous of (reaching) heaven, performed asceticism and beheld that sacrifice: the yama-stoma. This he brought near, and performed it. Having performed it he reached heaven. One who is desirous of (reaching) heaven should perform this (rite).
