1.1.1	Now we shall explain the sacraments beginning with conception.
3.22.5	"At each yoga, he gives the water for rinsing the mouth, saying, 'This is your level in yoga.'
3.22.6	Then, returning from a journey:
3.22.7	Taking the offerings of flowers, sweets, and gifts, and holding the child, one should go to the abode of Guha, accompanied by the sound of drums, etc.
3.22.8	Circumambulation, worship, and prostration are for Guha.
3.22.9	Then, with the remaining flowers, etc., having made the remaining child of Guha, having adorned it with the name of that, having recited the Shanti, one should return.
3.22.10	Having sprinkled the arrived one with "Thou art Soma's", having placed the limb, the father smells on the head with "For life, for radiance".
3.19.6	From the Agni-adhana onwards, the rites of the Agnihotra and other rites are performed in the open.
3.19.7	With water from the Akshata pot, flowers, food, juice and incense, the groom should place the bride on his lap, starting from her feet and ending at her head, saying "She is like the daughter of Shakra" and "She brings joy to Nanda".
3.19.8	The auspicious verses are recited.
3.20.1	Then the increasing of the year.
3.20.2	The constellation under which a boy is born becomes his principal deity.
3.20.3	Therefore, having offered a libation, one should offer oblations to the presiding deity and the constellations.
3.22.11	Having saluted the bull, and having taken the fingers of the right hand, beginning with the little finger, and having released them with the words "Agni is long-lived," etc.,
3.22.12	He should recite the words "May your life be established from all directions" in the right and left ears, and make salutations to Brahma and other gods and the teachers, facing north.
3.22.13	Having given the water for washing the feet, as before, one should eat with the Brahmins who have eaten the food with jaggery and balls, and offer blessings.
3.22.14	This is known as the "increasing of the balls".
3.23.1	Then, in the first or third year, there is the "Coudaka" ceremony.
3.23.2	In the northern solstice, when the moon is waxing, there is the offering of the "Pumnaman" rite.
3.23.3	After the root-homa, having seated the boy in the fire on the other side, along with auspicious rites, and having taken the rice and cow-dung in a pot, the mother or a celibate should hold it.
3.23.4	"The taking of the razor is done with the words, "May Shiva be present."
3.23.5	"The sharpening of the stone is done with the word, "May you be auspicious to us."
3.23.6	"The giving of the cow is done with the formula, "May the cow be anointed."
3.23.7	"May you sprinkle him" - sprinkling water on the head.
3.23.8	"O herb, protect him" - placing the darbha grass with a knot and pointing towards the east, at the head.
3.20.4	To Agni, to Krittikā, to Prajāpati, to Rohini, to Soma, to Mrigashirsha, to Rudra, to Ardra, to Aditi, to Punarvasu, to Brihaspati, to Tisya, to the serpents, to Ashādha, to the Fathers, to Magha, to Aryaman, to the Phalguni, to Bhaga, to the Phālguni, to Savitar, to Hasta, to Tvashtri, to Chitra, to Vāyu, to Nistā, to Indra and Agni, to Vishakha, to Mitra, to Anurādha, to Indra, to Jyeshtha, to Prajāpatī, to Mula, to the waters, to the Ashadha, to the All-gods, to the Ashada, to Brahman, to Abhijit, to Vishnu, to Shroņa, to the Vasus, to the Shravishtas, to Varuna, to Shatabhisha, to the Goat, to the Ekapat, to the Prishthapadas, to the Horse, to the Revati, to the Ashvins, to the Ashvinis, to Yama, to the Apamārgas, to Svaha. This is the Vyāhṛti.
3.23.9	"Having placed the razor with its edge upwards, saying, 'May it not injure him,' and having cut the grass in the clockwise direction, starting from the east, saying, 'By whom,' 'By whom Pūṣan,' 'For long life,' one should divide the tuft, saying, 'And may I see the sun.'
3.21.1	The rite of offering to the fire, beginning with the offering to the fire of the Rishbha, the Vairavana, the Agnisomiya, the Vaishnava, the Dhātaādi, the Kūshmāṇḍa, and the Savitri Vrata-bandha.
3.21.2	And the respective Vrata-sūktas for the Upanīta.
3.23.10	In the order of the sages, he should divide his hair into one, two, three, five, seven, and eight parts, and should cut off one part of the uncut hair.
3.23.11	"Here is this, for so-and-so," he should cover the roots of the Udumbara and Darbha grass in the cowpen.
3.21.3	On the day of the marriage of a Vedic scholar, the women say that he should do what is customary, handed down from generation to generation.
3.21.4	Similarly, at the end of the year, he performs the Agniṣṭoma and other sacrifices on the asterism prescribed for the kindling of the sacrificial fire.
3.21.5	Thus, if one were to attain the eighty-four thousand years of the present age by the solar year, then one would see a thousand moons.
3.21.6	They call him who is endowed with such activity and is the most meritorious, the body of Brahma.
3.23.12-13	Having bathed and adorned him with clothes etc., having seated him on the right side, having offered the five expiations etc., the five Varuna etc., having performed the original Homa, having performed the auspicious ceremony, having given food to the barber, having given cows etc. as Dakshina to the Guru, having worshipped the gods, having performed Tarpaṇa, the Brahmanas perform with food.
3.21.7	Therefore, having made the beginning with Nandi, on a pure day in the bright fortnight, having offered oblations in the morning as before, and reciting "Just like the tawny-colored one," the teacher should sprinkle the head of the elder or senior person with water from the Akshata vessel.
3.21.8	He should satisfy the thousand deities and Brahmins with offerings and food.
3.21.9	Having circumambulated the village, in the evening, he makes a thousand images of Soma with flour on the ground.
3.21.10	The worship of Soma is done with a silver vessel and lotus leaves.
3.21.11	He worships the Rohini group to the right and the Anavarisha group to the left.
3.21.12	He should give gold, silver, pearls, etc. in thousands, as much as he can afford, along with clothes, rice, and cakes.
3.21.13	It is known that this is done to obtain the fruits of the horse sacrifice and to increase the lifespan.
3.22.1	Then, in the sixth month, there is the feeding of solid food.
3.22.2	On a pure day in the bright fortnight, there is an offering of ghee.
3.22.3	The root Homa beginning with Dhata is done as before, and the Trivrit feeding.
3.22.4	Having placed the auspicious boy facing east on a mat, one should feed him rice pudding with the words "Bhuvah Apam."
3.22.5	"At each yoga, he gives the water for rinsing the mouth, saying, 'This is your level in yoga.'
3.22.6	Then, returning from a journey:
3.22.7	Taking the offerings of flowers, sweets, and gifts, and holding the child, one should go to the abode of Guha, accompanied by the sound of drums, etc.
3.22.8	Circumambulation, worship, and prostration are for Guha.
3.22.9	Then, with the remaining flowers, etc., having made the remaining child of Guha, having adorned it with the name of that, having recited the Shanti, one should return.
3.22.10	Having sprinkled the arrived one with "Thou art Soma's", having placed the limb, the father smells on the head with "For life, for radiance".
3.22.11	Having saluted the bull, and having taken the fingers of the right hand, beginning with the little finger, and having released them with the words "Agni is long-lived," etc.,
3.22.12	He should recite the words "May your life be established from all directions" in the right and left ears, and make salutations to Brahma and other gods and the teachers, facing north.
3.22.13	Having given the water for washing the feet, as before, one should eat with the Brahmins who have eaten the food with jaggery and balls, and offer blessings.
3.22.14	This is known as the "increasing of the balls".
3.23.1	Then, in the first or third year, there is the "Coudaka" ceremony.
3.23.2	In the northern solstice, when the moon is waxing, there is the offering of the "Pumnaman" rite.
3.23.3	After the root-homa, having seated the boy in the fire on the other side, along with auspicious rites, and having taken the rice and cow-dung in a pot, the mother or a celibate should hold it.
3.23.4	"The taking of the razor is done with the words, "May Shiva be present."
3.23.5	"The sharpening of the stone is done with the word, "May you be auspicious to us."
3.23.6	"The giving of the cow is done with the formula, "May the cow be anointed."
