1.1.1	Now we shall declare the method.
14.1.3	The two ends of the altar should be stretched a little, and the two ends of the Prāgāyatana should be stretched a bit more.
14.1.4	One should make the altar of equal width.
14.1.5	The altar should be six Śamī-trees long and four Śamī-tree wide.
14.1.6	Three in the middle, half of the fourth in front.
14.1.7	One should place the northern altar in front of three.
14.3.10	Having recited the Savitri verse beginning with "O Agni, the divine messenger..." and the verse "Brahma, the creator..." three times, he should recite the remaining verses.
14.3.11	They recite the remaining verses of the section.
14.3.12	They perform whatever rites are to be performed.
14.3.13	He who is studying the Veda during the waning fortnight should rest on the day of the new moon.
14.1.8	The two Samī-sticks are laid down, pointing eastwards, straight, and half a Samī-stick in length, on the ground.
14.1.9	Having stood up, he says, "The summer is your ground."
14.1.10	While the Adhvaryu is measuring, the Pratiprasthātṛ recites this verse, "Do thou measure the milch one.
14.3.14	When the moon is seen in the two Phālguni constellations, he should offer two kinds of Soma juice.
14.3.15	"All the gods, I with Rudras, in the lion, tiger, fame, and in the place of fame, like Soma at the morning pressing, and the splendor in the dice, by which the great one kills the wicked, Svāhā in the fire." Having offered thus,
14.3.16	Having brought and deposited the potions in the Rasas, he performs the Homa.
14.3.17	Then he makes the disciples eat the Rasas with honey and ghee.
14.3.18	They perform whatever enjoyments are to be done.
14.3.19	One should not accept disciples who have come from elsewhere, because they have been initiated by others.
14.1.11	O Brihaspati, do thou take up the altar. May the paths of the gods be auspicious. May the grass spread on this (altar). May the earth, the goddess, be harmless to us. He takes it up with this verse.
14.1.12	"He digs with the verse, "What is thine on the earth."
14.1.13	"What is thine below the earth," he sows with this verse. "
14.1.14	"Thou art the sow-er of the people," then he should take the earth from another place.
14.1.15	"O Brihaspati, do thou take the altar," (with these words) he takes the Uttaravedi as it is being spread.
14.1.16	"Do not obstruct the men who are binding," (with these) he spreads (the altar).
14.1.17	"The four directions of the earth," (with these he makes) a square altar.
14.3.20	He should teach his disciples for three nights or four months or half of five months.
14.3.21	One who studies in the first part of the night should study in the second part of the night and sleep in the middle of the night.
14.3.22	Some say that one should study without eating in the first part.
14.3.23	The second part is difficult to measure according to one's ability.
14.3.24	One should not study for three nights in the second half of the month of Pauṣa.
14.3.25	Having recited the third verse, he should recite the following verses from the Veda.
14.3.26	From which treasury we have taken the Veda, in that we have placed it. Having learned and desired the Veda, may the gods not deprive me of it by their power.
14.3.27	Whatever enjoyment is to be done, they do it.
14.3.28	Those who desire liberation are liberated.
14.1.18	Taking the writing, he makes the mark where he is going to place the fire, saying, "By the impulse of the divine Savitr, by the arms of the Asvins, by the hands of Pusan, I give."
14.1.19	"May Indra grasp the seat," he writes from the right to the left.
14.1.20	Turning towards the east, he writes from the east to the south.
14.1.21	Three more lines towards the west, in the middle.
14.1.22	In it, he places rice and barley.
14.1.23	Having sprinkled the earth with water, saying, "The earth is covered with water,"
14.1.24	Having paid homage to the earth, saying, "On which food, rice and barley, are produced."
14.4.1	Now we shall explain the ritual of the Indra-Mahas of the kings.
14.4.2	Entry on the eighth day of the bright fortnight of Ashvina or Proshthapada.
14.4.3	Rising with Shravana.
14.4.4	When the supplies are gathered, both the king and Brahma, having bathed and put on new clothes, fragrant, observing vows, and fasting, are seated in the sacrificial hall.
14.1.25	Then he should offer Agni: "O Agni, the Bhrigus lead you, the Angirasas lead you to the abode of the good. Come, O creator of the universe, may you know the path and go to your own place."
14.1.26	"May there be good fortune, welfare, and well-being."
14.1.27	Or "O Agni, may you go."
14.1.28	"May the earth, the support of all, be established." Thus, having established the characteristics,
14.1.29	Then he places the kindling wood.
14.4.5-8	On the next day, having sipped water six times with the verses of the two half-verses of the goddess, having offered clarified butter with the verse "Indra, the protector, the one who is to be praised, the one who has come forward," they raise Indra. "I have brought you, O firm heaven. May all beings desire you." They should hold it everywhere without carelessness.
14.4.9	The miraculous rising of the celestial chariot is seen.
14.4.10	With these three hymns, the king is initiated. One should offer the full oblation.
14.4.11	Now the ritual for animals.
14.4.12	Indra should be the deity.
14.4.13	All the servants of the king should be initiated and observe celibacy.
14.4.14-18	And having approached Indra, they should worship him for three or five nights. They stand at the end of the three seasons and worship with oblations. "Having offered the oblation, they should serve the Brahmins, saying, "Indra is covered." The teachers say that one should not offer oblations at the end of a sacrifice."
14.4.19	Those who go to Indra for the sake of Indra's blessing.
14.4.20	Having bathed with the hymns to the waters, having circumambulated, having touched the water, having looked back, they return.
14.4.21	They seek the Brahmanas with food.
14.1.30-32	Agni is in the earth, in the plants, Agni is in the heaven, shining, Agni is in garments, the earth is in the black-haired one, accepting this kindling wood, supporting the powers of the king, O Agni, with five (verses) he spreads (the grass). From here onwards (the verses) are for the sacrificial grass. Thou art the earth, thou art the sky, thou art the heaven, thou art the sun, thou art the wind, thou art the quarters, thou art the directions, thou art the earth, O Agni, thou art the light, thou art the radiance, thou art the brilliance, thou art the splendour, thou art the lustre, thou art the heat, thou art the fire, thou art the flame, thou art the smoke, thou art the Agni, thou art Agni, thou art in the Agni, thou are the Agni, thou wilt be the Agni, thou shalt be the Agni, O Agni, O Agni. Thou art Agni, thou wilt become Agni, thou shalt become Agni, O Agni.
14.1.33	This is the seat of the sages. He places the seat of the Brahman to the right of the fire.
14.1.34	He spreads it in front of the fire towards the north.
14.1.35	Similarly towards the west.
14.1.36	Placing the roots of the sacrificial grass towards the north of the eastern corner of the altar, they cover them clockwise.
14.4.22	His kingdom grows greater and greater. He becomes the sole king on this earth. He does not die before his time. He who knows this and he who, knowing this, performs the Iṣṭi of Indra,
14.5.1	Now we shall describe the method of studying the Vedas.
14.5.2	Having undertaken the study after the Sravanya or the Pratipadya of the month of Ashvina, one should study for five and a half months.
14.5.3	Thus for the Vedas.
14.1.37	"He (the Brahman) looks at the Brahman's seat, saying, 'Standing here, O Dadhivat, may he who is more worthy of our offerings be seated in his own seat.'
14.1.38	He throws away the grass towards the south, saying, 'The dust and evil have been thrown away, may he who hates us and whom we hate be thrown away.'
14.5.4	And the non-reversal of the hair.
14.5.5	And having taken half a month, and having abandoned three days, the commencement is said in Śrāvaṇa, the abandonment is said in Pauṣa.
14.5.6	Now we shall describe the non-study.
14.5.7	One refrains from eating the flesh of a brahmin.
14.5.8	At a śrāddha.
14.5.9	In the three - the birth of a son, vomiting, and purging - one should walk.
14.1.39	Having touched it, he mutters this: "I am seated in the abode of truth, I am seated in the seat of truth, I sit in the abode of the desirable, I sit in abundance, I sit in what is to be accomplished. May the grass be agreeable to me, may I sit on the soft and unsoiled one.
