#Text:Bhāradvājaśrautasūtra
#Edition:Kashikar
#Data entry:F. Voegeli
#Notes:Sandhis around Mantras restored. 13.13ff. digitized and proofread by O. Hellwig.



1.1.1	darśapūrṇamāsau vyākhyāsyāmaḥ
12.20.18	nātrānūyājānte svaruṃ juhoti / na savanīye / anūbandhyāyām eva juhoti
12.20.19	taṃ divopākṛtya naktaṃ saṃsthāpayati
12.20.20	patnīsaṃyājāntaḥ saṃtiṣṭhate
12.20.21	hṛdayaśūlena caritvā na yūpam upatiṣṭhate
12.20.22	nāgnīṣomīye na savanīye hṛdayaśūlena caranti / anūbandhyāyām eva carantīty ekeṣām
12.21.1	niśāyām antarvedy āsīnau yajamānaṃ patnīṃ ca vasatīvarībhir abhipariharanti
12.21.2	nādīkṣitaṃ vasatīvarībhir abhiparihareyuḥ
12.21.3	ādāya kumbhaṃ savye 'ṃse nidhāya dakṣiṇayā dvāropaniṣkramya dakṣiṇaṃ vedyantam anuparītya dakṣiṇasyām uttaravediśroṇyāṃ sādayatīndrāgniyor bhāgadheyī stheti
12.21.4	ādāya kumbhaṃ dakṣiṇe 'ṃse nidhāya yathetaṃ pratiparītyottarayā dvāropaniṣkramyottaraṃ vedyantam anuparītyottarasyām uttaravediśroṇyāṃ sādayati mitrāvaruṇayor bhāgadheyī stheti
12.21.5	ādāya kumbhaṃ savye 'ṃse nidhāya yathetaṃ pratiparītya pūrvayā dvāropaniṣkramyāgnīdhre sādayati viśveṣāṃ devānāṃ bhāgadheyī stha yajñe jāgṛteti
12.21.6	atra etā upavāsayati
12.21.7	āhvayati subrahmaṇyaḥ subrahmaṇyaṃ pitāputrīyām
12.21.8	tataḥ payāṃsi viśāsti / yā yajamānasya vratadhuk tasyā āśiraṃ kuruta yā patniyai tasyai dadhigrahāya yā gharmadhuk tasyai dadhigharmāya taptam anātaktaṃ maitrāvaruṇāya śṛtātaṅkyaṃ kurutādityagrahāyeti
12.21.9	yathācoditaṃ kurvanti
12.21.10	atrāmikṣāyāḥ sāyaṃdohaṃ dohayati
12.21.11	havirdhāne yajamānaṃ jāgarayanti / prāgvaṃśe patnīm
12.21.12	āgnīdhra ṛtvijo vasanti / na sadasi kaścana vasati
12.21.13	yajamāna evaitāṃ rātriṃ rājānaṃ gopāyatīti vijñāyate
13.1.1	mahārātre budhyante
13.1.2	āgneyyarcāgnīdhram abhimṛśet / vaiṣṇavyā havirdhānam / āgneyyā srucaḥ / vāyavyayā vāyavyāni / aindryā sadaḥ
13.1.3	atraivābhimṛśed ity ekam / karmāgame karmāṅgam ity aparam
13.1.4	āgnīdhre yajñatanūr juhoti prajāpatir manasāndho 'ccheta ity etās trayastriṃśatam / yajñārtiṃ ca pratijuhoti / pūrvām anudrutyottarayā juhotīti vijñāyate
13.1.5	ekayā tu prathamam
13.1.6	khare pātrāṇi prayunakty agnir devatā gāyatrī chanda upāṃśoḥ pātram asīty etair mantrair yathārūpam
13.1.7	dakṣiṇe 'ṃsa upāṃśvantaryāmayoḥ pātre prayunakti / pūrvam upāṃśor aparam antaryāmasya
13.1.8	api vā dakṣiṇam upāṃśor uttaram antaryāmasya
13.1.9	te antareṇopāṃśusavanaṃ saṃspṛṣṭaṃ sādayati
13.1.10	pratyañci dvidevatyapātrāṇi / parisrug aindravāyavasyājagāvaṃ maitrāvaruṇasya dvisraktyāśvinasya
13.1.11	tato 'pare śukrāmanthinoḥ pātre / dakṣiṇaṃ bailvaṃ śukrapātram uttaraṃ vaikaṅkataṃ manthipātram
13.1.12	tato 'pare āśvatthe aśvaśaphabudhne ubhayatomukhe ṛtupātre / dakṣiṇam adhvaryor uttaraṃ pratiprasthātuḥ
13.1.13	dakṣiṇasyāṃ śroṇyām āgrayaṇasthālīṃ prayunakti / uttarasyām ukthyasthālīṃ cokthyapātraṃ cāśvaśaphabudhnam
13.1.14	te antareṇa
13.2.1	trīṇy atigrāhyapātrāṇi prayunakti
13.2.2	dakṣiṇasya havirdhānasyāgreṇopastambhanam ādityasthālīṃ cādityapātraṃ ca / uttarasyāgreṇopastambhanam anupopte dhruvasthālīm
13.2.3	uttare 'ṃse audumbaraṃ catuḥsrakti dadhigrahapātram
13.2.4	madhye pariplavāṃ yathā srug adaṇḍā
13.2.5	yathāvakāśaṃ khādiraṃ catuḥsrakti ṣoḍaśipātraṃ yadi ṣoḍaśī bhavati
13.2.6	prādeśamātrāṇy ūrdhvasānūni madhye saṃnatāni vāyavyāny āsecanavanti bhavanti
13.2.7	yāny anādiṣṭavṛkṣāṇi yaḥ kaśca yajñiyo vṛkṣas tasya syur ity āśmarathyaḥ / vaikaṅkatānīty ālekhanaḥ
13.2.8	etena camasānāṃ vṛkṣaniyogo vyākhyātaḥ / naiyagrodhā eva syur ity aparam
13.2.9	tsarumanto 'tsarukā vā daśa camasā bhavanti
13.2.10	daśa camasādhvaryavaḥ
13.2.11	hotur brahmaṇa udgātur yajamānasya maitrāvaruṇasya brāhmaṇācchaṃsinaḥ potur neṣṭur acchāvākasyāgnīdhrasyety eteṣām ete camasāḥ / tān khare yathāvakāśaṃ prayunakti
13.2.12	dakṣiṇasya havirdhānasyādhastāt paścād akṣaṃ droṇakalaśaṃ sadaśāpavitraṃ prayunakti yunajmi te pṛthivīṃ jyotiṣā saheti
13.2.13	uttarasya nīḍa ādhavanīyaṃ yunajmi vāyum antarikṣeṇa te saheti
13.2.14	prauge pūtabhṛtaṃ yunajmi vācaṃ saha sūryeṇa ta iti
13.2.15	atraike 'dhiṣavaṇacarmaṇo grāvṇām iti prayojanaṃ samāmananti
13.2.16	uparam abhi saṃmukhā bhavanti
13.3.1	athainān saṃmṛśaty apāṃ kṣayā ṛtasya garbhāḥ / bhuvanasya gopāḥ śyenā atithayaḥ / parvatānāṃ kakubhaḥ na pātāraḥ / vagnunendraṃ hvayata / ghoṣeṇāmīvāṃś cātayata / yuktāḥ stha vahata / svargaṃ lokam abhivahata yajamānam iti
13.3.2	savanīyasya tantraṃ prakramayati
13.3.3	samānam ājyānāṃ grahaṇāt
13.3.4	laukikād ājyāt pracaraṇyām agre gṛhṇāti
13.3.5	sahedhmenaidhān prokṣati yān etad ahar abhyādhāsyan bhavati
13.3.6	yat kiṃcābhi tayor āghārasamidhor ādadhyāt prokṣitam evādadhyāt
13.3.7	samānam ā srucāṃ sādanāt
13.3.8	srucaḥ sannā abhimṛśati yunajmi tisro vipṛcaḥ sūryasya ta iti
13.3.9	atraike pātraprayojanaṃ samāmananti
13.3.10	āsanyān mā mantrāt pāhi kasyāścid abhiśastyā ity āgnīdhre hutvāntareṣe rājānaṃ grāvasūpāvaharati hṛde tvā // soma rājann ehy avaroheti dvābhyām
13.3.11	athāgnīdhre pañcahotāraṃ hutvā hotre prātaranuvākāya saṃpreṣyati devebhyaḥ prātaryāvabhyo 'nubrūhi brahman vācaṃ yaccha subrahmaṇya subrahmaṇyām āhvaya pratiprasthātaḥ savanīyān nirvapāmikṣāṃ dohayeti
13.3.12	yaṃ dviṣyāt tasya pravaditāsu vāksūpākuryāt
13.3.13	āhvayati subrahmaṇyaḥ subrahmaṇyāṃ pitāputrīyām
13.3.14	atra savanīyān nirvaped āmikṣāṃ dohayed ity ekam / uparitarām ity aparam
13.4.1	yatrābhijānāty abhūd uṣā ruśatpaśur iti tat pracaraṇyā juhoti śṛṇotv agniḥ samidhā havaṃ ma iti
13.4.2	aparaṃ caturgṛhītaṃ gṛhītvā darbhān ādāyopaniṣkramya saṃpreṣyaty apa iṣya hotar maitrāvaruṇasya camasādhvaryav ādravaikadhanina ādravata neṣṭaḥ patnīm udānayonnetar hotṛcamasena vasatīvarībhiś cātvālaṃ pratyupāsveti
13.4.3	tryavarārdhyā ayuja ekadhanā bhavanti
13.4.4	yathācoditaṃ kurvanti
13.4.5	prehy udehīti neṣṭā patnīm udānayati
13.4.6	yatra hotuḥ prātaranuvākam anubruvata upaśṛṇuyāt tad apo 'dhvaryur gṛhṇīyāt / yadi na śṛṇuyād badhiraḥ syāt / vācopachidyeta
13.4.7	yadi dūre syuḥ pratyudūhya gṛhṇīyāt
13.4.8	vahantīṣu tṛṇaṃ prāsyaitac caturgṛhītaṃ juhoti devīr āpo apāṃ napād iti
13.4.9	yadi vā purā tṛṇaṃ bhavati tasminn eva juhoti
13.4.10	kārṣir asīti darbhair āhutim apaplāvya ghṛtaliptānāṃ maitrāvaruṇacamasenonnayati samudrasya vo 'kṣityā unnaya iti
13.4.11	evam evaikadhanā unnayati / somasya vo mūjavato rasaṃ gṛhṇāmīti vā
13.4.12	patnī pannejanīr gṛhṇāti vasubhyo rudrebhya ādityebhyo viśvebhyo vo devebhyaḥ pannejanīr gṛhṇāmi yajñāya vaḥ pannejanīr gṛhṇāmīti
13.4.13	āharanty apaḥ
13.4.14	prehy udehīty eva neṣṭā patnīm udānayati
13.5.1	apareṇa neṣṭur dhiṣṇiyaṃ patnī pannejanīḥ sādayati vasubhyo rudrebhya ādityebhyo viśvebhyo vo devebhyaḥ pannejanīḥ sādayāmi yajñāya vaḥ pannejanīḥ sādayāmīti
13.5.2	upari cātvāle 'dhvaryur hotṛcamasaṃ ca maitrāvaruṇacamasaṃ ca saṃspṛśya vasatīvarīr vyānayati sam āpo adbhir agmata sam oṣadhībhir oṣadhayaḥ saṃ vratair vratacāriṇa iti
13.5.3	hotṛcamasa ānīya maitrāvaruṇacamasaṃ pūrayati / maitrāvaruṇacamasāddhotṛcamasam / hotṛcamasān maitrāvaruṇacamasam
13.5.4	athaināḥ pracaraṇyā samanakti saṃ vo 'naktu varuṇaḥ sam indraḥ saṃ bṛhaspatiḥ / tvaṣṭā viṣṇuḥ prajayā saṃrarāṇo yajamānāya draviṇaṃ dadhātu // iti / yathāyathaṃ dhuro dhūrbhiḥ kalpantām iti ca
13.5.5	pṛcchati hotādhvaryum adhvaryo 'ver apa iti
13.5.6	utem anannamur iti pratyāha
13.5.7	tataḥ kratukaraṇaṃ juhoti yam agne pṛtsu martyam ity etayā yady agniṣṭomaḥ
13.5.8	yady ukthyo hutvā paridhau lepaṃ nimārṣṭi
13.5.9	yadi ṣoḍaśī hutvā paridhau lepaṃ nimṛjya droṇakalaśam upaspṛśati rarāṭīṃ vā
13.5.10	na juhoti na nimārṣṭi nopaspṛśati vājapeye 'tirātre vā / etad yajur vadan prapadyate
13.5.11	dakṣiṇasya havirdhānasya pradhure pracaraṇīṃ sādayati
13.5.12	yaṃ dviṣyāt tam upaspṛśet
13.6.1	aparayā dvārā havirdhāne 'paḥ prapādayati pūrvayā vā / pūrvayā tu yajamānaḥ prapadyate
13.6.2	uttarasya havirdhānasyādhastād vasatīvarīr ekadhanā maitrāvaruṇacamasīyā iti sādayati
13.6.3	dakṣiṇasya havirdhānasyādhastāt puro 'kṣaṃ hotṛcamasaṃ sādayitvā dadhigrahaṇe carati
13.6.4	audumbareṇa pātreṇa catuḥsraktinā dadhi gṛhṇāty upayāmagṛhīto 'si prajāpate tvā jyotiṣmate jyotiṣmantaṃ gṛhṇāmīti
13.6.5	haraty upendra dviṣato mana iti
13.6.6	juhoti prāṇāya tvety anuvākaśeṣeṇa
13.6.7	ājyagrahaṃ gṛhṇīyāt tejaskāmasya / somagrahaṃ gṛhṇīyād brahmavarcasakāmasya / dadhigrahaṃ gṛhṇīyāt paśukāmasya
13.6.8	ājyagrahasyaiṣa eva kalpaḥ
13.6.9	somagrahaṃ grahīṣyann adhiṣavaṇacarmaṇi rājānaṃ nivapati yāvantam ekagrahāyāptaṃ manyate
13.6.10	pratyupanahyetaraṃ vasatīvarībhir hotṛcamasaṃ pūrayitvā nigrābhyāsu yajamānaṃ vācayati nigrābhyā stha devaśruta iti pratipadya gaṇā me mā vi tṛṣann ity antena
13.6.11	vasatīvarībhir upasṛjyābhiṣoṣyann abhimantrayate 'vīvṛdhaṃ vo manasā sujātā iti
13.6.12	yatra kva cābhiṣuṇuyād evam evābhimantrayate
13.6.13	athainam upare grāvṇābhiṣunoti
13.7.1	tisro yahvasya samidhaḥ parijmano devā akṛṇvann uśijo amartyave / tāsām enām adadhur martye bhujaṃ lokam id dve upa jāmī īyatur iti
13.7.2	yatra kva cābhiṣuṇuyād upara eva grāvṇābhiṣuṇuyāt
13.7.3	etasyaivaiṣo 'bhiṣavamantraḥ
13.7.4	yo 'bhiṣūyamāṇasya prathamo 'ṃśuḥ skandati tam abhimantrayetā mā skān saha prajayā saha rāyaspoṣeṇeti
13.7.5	abhiṣave 'bhiṣave 'bhimantrayetety ekam / ya eva sarvaprathama ity aparam
13.7.6	drapsaś caskandeti vipruṣo 'bhimantrayeta
13.7.7	abhiṣave 'bhiṣave 'bhimantrayetety ekam / ya eva sarvāntata ity aparam
13.7.8	atra yajamāno daśāpavitrasya nābhiṃ kurute
13.7.9	athainaṃ sahiraṇyena pāṇinā tiraḥ pavitram acchinnāṃ dhārāṃ srāvayan dadhigrahapātreṇa gṛhṇāti / vāyavyenaiva gṛhṇīyād ity aparam
13.7.10	athainaṃ khare sādayaty eṣa te yonir iti
13.7.11	athainaṃ sahiraṇyena pāṇinā prāṅmukho juhoti / tasya dadhigraheṇa mantrā vyākhyātāḥ
13.7.12	anadhikṛto vā somadharmair dadhigrahavikāratvāt
13.7.13	tatrārthagrahaṇo 'bhiṣavaḥ paratrasaṃyogāt / somakaraṇī cāsyābhiṣavamantraḥ
13.7.14	tatraiṣo 'tyantapradeśaḥ
13.8.1	sarvān somān sahiraṇyena pāṇinā gṛhṇāti ca juhoti ca
13.8.2	sarvāḥ somāhutīḥ prāṅmukho juhoti
13.8.3	hutvā sadasi śeṣaṃ bhakṣayati
13.8.4	mārjālīye pātraṃ prakṣālayati
13.8.5	sadasy evāta ūrdhvaṃ somabhakṣān bhakṣayanti / āgnīdhre havirbhakṣān
13.8.6	mārjālīya ucchiṣṭapātrāṇi prakṣālayati
13.8.7	tato 'dābhyaṃ gṛhṇāti
13.8.8	upanaddhasya rājñas trīn aṃśūn pravṛhati vasavas tvā pra vṛhantu gāyatreṇa chandasety etair mantraiḥ
13.8.9	nigrābhyāṇāṃ dadhnaḥ payaso vā camase niḥṣicyāṃśūn ādhūnoti māndāsu te śukra śukram ā dhūnomītyetair mantraiḥ
13.8.10	tribhir ādhūnotīty ekeṣām / pañcabhir ity ekeṣām / saptabhir ity ekeṣām
13.8.11	athainaṃ dadhigrahapātreṇa gṛhṇāti śukraṃ te śukreṇa gṛhṇāmi // agniḥ prātaḥsavane pātv asmān iti caitābhis tisṛbhiḥ
13.8.12	haraty āsminn ugrā acucyavur iti
13.8.13	juhoti somaḥ somasya purogā iti
13.8.14	tato 'ṃśuṣv aṃśūn apisṛjaty uśik tvaṃ deva soma gāyatreṇa chandasety etaiḥ pratimantram
13.8.15	anusavanam apisṛjed ity ekam / tadānīm ekaikam apisṛjed ity aparam
13.8.16	dvādaśa paṣṭhauhīr dakṣiṇā dadāti kṛttyadhīvāsaṃ ca
13.8.17	tato 'ṃśuṃ gṛhṇāti
13.8.18	adhiṣavaṇacarmaṇi rājānaṃ nivapati yāvantam ekagrahāyāptaṃ manyate
13.9.1	athainam anavānaṃ sakṛdabhiṣutya tiraḥ pavitram acchinnāṃ dhārāṃ srāvayann adābhyapātreṇānavānaṃ sakṛd gṛhṇāti
13.9.2	vāmadevyaṃ manasā gāyamāno gṛhṇātīti vijñāyate
13.9.3	vāmadevyasyarcā gṛhṇīyād ity ekeṣāṃ kayā naś citra ā bhuvad ity etayā
13.9.4	prāṇatā grāhyo 'pānatā grāhyaḥ prāṇyāpānya vyanatā gṛhītavya iti vijñāyate
13.9.5	gṛhītvā śatamānaṃ hiraṇyam abhivyanity ā naḥ prāṇa etu parāvata iti
13.9.6	hiraṇyena graham apidhāyāpa upaspṛśatīndrāgnī me varcaḥ kṛṇutām iti
13.9.7	athainam anavānaṃ sakṛj juhoti dadhanve vā yadīm iti
13.9.8	yady anavānaṃ na śaknuyāddhotuṃ gṛhītuṃ vā vare datte juhuyāt
13.9.9	hutvā sadasi śeṣaṃ bhakṣayati yathā purastāt
13.9.10	dvādaśa paṣṭhauhīr dakṣiṇā dadāti kṛttyadhīvāsaṃ ca
13.9.11	tata upāṃśusavanaṃ grāvāṇam ādatte devasya tvā savituḥ prasava iti pratipadya vṛṣṭivanim ity antena
13.9.12	tam ādāya vācaṃ yacchaty āgrayaṇāt
13.9.13	athainad ūrdhvasānuṃ sahiraṇyena pāṇinā rājño 'bhimimīta indrāya tvā vṛtraghna ity etair mantraiḥ
13.9.14	tatra sa eva mānakalpo yaḥ kraye 'nyatropasamūhanāt
13.9.15	tata upāṃśuṃ gṛhṇāti
13.9.16	adhiṣavaṇacarmaṇi rājānaṃ nivapati yāvantam ekagrahāyāptaṃ manyate
13.10.1	śvātrā stha vṛtratura ity āpyāyyābhimantrayate yat te soma divi jyotir iti
13.10.2	adhiṣavaṇaphalake abhimantrayate dhiṣaṇe vīḍū satī vīḍayethām iti
13.10.3	upariṣṭād grāvā bhavaty adhastād aṃśavaḥ
13.10.4	atha hotṛcamase pradakṣiṇaṃ pariplāvayan nigrābham upaiti prāg apāg udag adharāktās tvā diśa ādhāvantv amba ni ṣvareti
13.10.5	ṣaḍ aṃśūn upayacchati / ārdrāḥ santo 'ṃsaśliṣṭā bhavanti
13.10.6	mā bher mā saṃ vikthā iti grāvāṇam udyamya vadanti
13.10.7	yatra tṛṇaṃ mūlaṃ vā paśyati tat pratyabhiṣunoty anāgasas tvā vayam indreṇa preṣitā upa vāyuṣ ṭe astv aṃśabhūr mitras te astv aṃśabhūr varuṇas te astv aṃśabhūr ahataḥ somo rājā mayeti
13.10.8	etayaivāta ūrdhvam abhiṣuṇuyāt
13.10.9	aṣṭau kṛtvo 'gre 'bhiṣutya punar eva nigrābham upaiti
13.10.10	dvir ādito 'ntato vā / catur nigrābham upaiti
13.10.11	trir udacanena saṃbhṛtyodañcatīti vijñāyate
13.10.12	apāttānām aṃśūnāṃ dvābhyāṃ pratiprasthātopāṃśupātram apidhāyottarata upayacchati
13.10.13	añjalinā rājānam ādāyādhvaryur upāṃśupātraṃ nayati vācaspataye pavasva vājinn iti
13.10.14	evaṃvihitāv aparau dvāv abhiṣavau bhavataḥ
13.10.15	api vaikādaśakṛtvo dvitīyam abhiṣuṇuyād dvādaśakṛtvas tṛtīyam
13.11.1	anyābhyām anyābhyām aṃśubhyāṃ pratiprasthātā pātram apidadhāti
13.11.2	asādayitvā graham ādāyādhvaryur uttiṣṭhati svāṅkṛto 'si madhumatīr na iṣas kṛdhīti
13.11.3	uttareṇa hotāraṃ haraty urv antarikṣam anvihīti
13.11.4	manas tvāṣṭv ity uttaraṃ paridhisaṃdhim anvavatiṣṭhataḥ
13.11.5	ṛjus tiṣṭhan dakṣiṇāprāñcaṃ saṃtataṃ juhoti svāhā tvā subhavaḥ sūryāyeti
13.11.6	devebhyas tvā marīcipebhya iti hutvā paridhau lepaṃ nimārṣṭi
13.11.7	yadi kāmayeta varṣukaḥ parjanyaḥ syād iti nīcā hastena nimṛjyāt
13.11.8	yadi kāmayetāvarṣukaḥ syād ity uttānena nimṛjyāt
13.11.9	āgrayaṇasthālyāṃ saṃpātam avanīyāyatane pātraṃ sādayaty eṣa te yoniḥ prāṇāya tveti
13.11.10	anabhiṣutānām aṃśūnām ekam ādāyādhvaryur upāṃśupātre 'pāsyati / sa ā tṛtīyasavanāt pariśere
13.11.11	tato 'ṃśuṣvaṃśūn apisṛjati yat te somādābhyaṃ nāma jāgṛvīti / dvaudvāv anusavanaṃ vā
13.11.12	yady abhicared amuṣya tvā prāṇe sādayāmīty upāṃśuṃ gṛhītvā sādayet
13.11.13	athainaṃ sāvitreṇādāya harati
13.11.14	samānam ā homāt
13.11.15	hoṣyann abhimantrayate 'muṃ jahy atha tvā hoṣyāmīti
13.11.16	yadi dūre syād ā tamitos tiṣṭhet
13.11.17	samanya juhoti praharṣiṇo madirasya made mṛṣāsāv astu svāheti
13.11.18	samānam itarat
13.12.1	tato grāvṇa ādāyādhvaryavo mahābhiṣavāyopaviśanti / purastād adhvaryur dakṣiṇataḥ pratiprasthātā paścān neṣṭottarata unnetā
13.12.2	adhiṣavaṇacarmaṇi bhūyiṣṭhaṃ rājānaṃ nivapati / alpīyāṃsaṃ mādhyaṃdināya savanāyāvaśinaṣṭi
13.12.3	vasatīvarībhir upasṛjya nigrābham upetyāparimitam abhiṣuṇvanti
13.12.4	nigrābham upayanti / abhiṣuṇvanti / nigrābham upayanti / abhiṣuṇvanti
13.12.5	trir abhiṣutaṃ rājānaṃ camase saṃsicyādhavanīya ānayati
13.12.6	evaṃvihitāv aparau bhavataḥ
13.12.7	uttame 'bhiṣave prapīḍyarjīṣam
13.12.8	susaṃbhṛtaṃ rājānaṃ kurvanti
13.12.9	pavitreṇa nirmṛjya prapīḍayati
13.12.10	adhiṣavaṇacarmaṇi saṃmukhān grāvṇaḥ kṛtvā grāvabhya ṛjīṣaṃ vyapohati / ṛjīṣamukhān karoti
13.12.11	prāñcam udgātāro droṇakalaśaṃ grāvasv adhyūhanti
13.12.12	samayākṣaṃ prakarṣanti
13.12.13	droṇakalaśa udīcīnadaśaṃ pavitraṃ vitanvanti
13.12.14	pavitraṃ te vitataṃ brahmaṇaspate prabhur gātrāṇi paryeṣi viśvataḥ / ataptatanūr na tad āmo aśnute śṛtāsa id vahantas tat samāśateti rājānam abhimantrya hotṛcamasād yajamānaḥ pavitre saṃtatāṃ dhārāṃ srāvayati / yaṃ dviṣyāt tasya vicchindyāt
13.13.1	udacanenonnetādhavanīyāddhotṛcamasa ānayati
13.13.2	tiraḥ pavitraṃ sravantyā dhārāyā antaryāmaṃ gṛhṇāti upayāmagṛhīto 'sy antar yaccha maghavann iti
13.13.3	tasyopāṃśunā kalpo vyākhyātaḥ
13.13.4	etāvan nānā / dakṣiṇena hotāraṃ haraty uttareṇa vā
13.13.5	manas tvāṣṭv iti dakṣiṇaṃ paridhisaṃdhim anvavatiṣṭhataḥ
13.13.6	ṛjus tiṣṭhan prāñcam udañcaṃ saṃtataṃ juhoti svāhā tvā subhavaḥ sūryāyeti
13.13.7	vyākhyātaṃ lepanimārjanaṃ saṃpātāvanayanam iti
13.13.8	sūdavad antaryāmapātram āyatane sādayaty eṣa te yonir apānāya tveti
13.13.9	yady abhicaret amuṣya tvāpāne sādayāmīty antaryāmapātraṃ gṛhītvā sādayet
13.13.10	samānam itarat
13.13.11	te antareṇopāṃśusavanaṃ saṃspṛṣṭaṃ sādayati vyānāya tveti
13.13.12	yady abhicaret amuṣya tvā vyāne sādayāmīty upāṃśusavanaṃ sādayet
13.13.13	evaṃ sannāny eva bhavanty ā tṛtīyasavanāt
13.13.14	tāv ubhāv udite juhuyād yadi na tvareta
13.13.15	atha yadi tvaretānudita upāṃśuṃ juhuyāt / udite'ntaryāmam
13.13.16	viparītam eka upāṃśvantaryāmayor homaṃ samāmananti / ubhāv anudita ity eke
13.14.1	tiraḥ pavitraṃ sravantyā dhārāyā grahān gṛhṇāti
13.14.2	yadi rathantarasāmā somaḥ syād aindravāyavāgrān gṛhṇīyāt / yadi bṛhatsāmā śukrāgrān / yadi jagatsāmāgrayaṇāgrān / ubhayasāmaindravāyavāgrān gṛhṇīyāt
13.14.3	aindravāyavāgrān gṛhṇīyād āmayāvina iti kāmyāni grahāgrāṇi brāhmaṇavyākhyātāni bhavanti / aindravāyavāgrān ity eva bhavanti
13.14.4	yady anyam aindravāyavāt kāmyaṃ pūrvaṃ grahaṃ gṛhṇīyāddhārayed evam aindravāyavasya sādanāt
13.14.5	athainam aindravāyavaṃ sādayitvā sādayet
13.14.6	yān prācīnam āgrayaṇād grahān gṛhṇīyāt tān upāṃśu gṛhṇīyāt / yān ūrdhvāṃs tān upabdimata iti
13.14.7	āgrayaṇāgrān gṛhṇan manthinam eva gṛhītvā vācaṃ visṛjeta / ukthyāgrān gṛhṇann upāṃśūkthyaṃ gṛhṇīyāt
13.14.8	aindravāyavaṃ gṛhṇāti ā vāyo bhūṣa śucipā iti pratipadya upayāmagṛhīto 'si vāyave tvety antena
13.14.9	apayamya pātraṃ punar eva gṛhṇātīndravāyū ime sutā iti pratipadya upayāmagṛhīto 'sīndravāyubhyāṃ tvety antena
13.14.10	athainaṃ pavitreṇa parimṛjyāyatane sādayaty eṣa te yoniḥ sajoṣābhyāṃ tveti
13.14.11	evam evetarān grahān yathādevataṃ gṛhītvā yathāyatanaṃ svena svena sādanena sādayati
13.14.12	yarhy anāmnātaṃ sādanaṃ syād eṣa te yonir ity evainaṃ sādayet
13.15.1	maitrāvaruṇaṃ gṛhṇāty ayaṃ vāṃ mitrāvaruṇā iti
13.15.2	athainaṃ śṛtaśītena payasā śrīṇāti / rāyā vayaṃ sasṛvāṃso madema havyena devā yavasena gāvaḥ / tāṃ dhenuṃ mitrāvaruṇā yuvaṃ no viśvāhā dhattam anapasphurantīm / iti
13.15.3	atītyāśvinaṃ śukraṃ gṛhṇāty ayaṃ venaś codayat pṛśnigarbhā iti
13.15.4	athainaṃ hiraṇyena śrīṇāti śukraṃ te śukreṇa śrīṇāmīti
13.15.5	tato manthinaṃ taṃ pratnathā pūrvatheti
13.15.6	athainaṃ saktubhiḥ śrīṇāti / mano na yeṣu havaneṣu tigmaṃ vipaḥ śacyā vanutho dravantā / ā yaḥ śaryābhis tuvinṛmṇo asyāḥ śrīṇītād imaṃ gabhastāt / ity anabhidhvaṃsayann ātmānaṃ cetarāṃś ca grahān
