#Text:Vaikhānasaśrautasūtra
#Edition:Caland
#Data entry:F. Voegeli; sections 8-9, 11ff by O. Hellwig



1.1.1	athāgnyādheyaṃ vyākhyāsyāmaḥ
13.17.4	upariṣṭāt sāgraṃ vedaṃ prāñcaṃ nidadhāti
13.17.5	sā śikhā
13.17.6	śiro 'bhito dogdhre karṇau
13.17.7	prokṣaṇīdhānau mukham
13.17.8	sruvau nāsike
13.17.9	abhitaḥ sruvau hiraṇyaśakalāv akṣiṇī
13.17.10	ājyasthālī grīvā
13.17.11	dhṛṣṭī jatrūṇi
13.17.12	abhitaḥ śaphāv aṃsau
13.17.13	rauhiṇahavanyau bāhū
13.17.14	prācī methī pṛṣṭayaḥ
13.17.15	abhito dve dhavitre pārśve
13.17.16	tṛtīyadhavitram uraḥ
13.17.17	madhya upayamanam udaraḥ
13.17.18	abhito 'bhriḥ śroṇī
13.17.19	abhitaḥ śaṅkū sakthinī
13.17.20	madhye tṛtīyaṃ meḍhram
13.17.21	abhito rauhiṇakapāle pārṣṇī
13.17.22	tasmin sarvaṃ rajjumayaṃ dadhāti tāny antrāṇi
13.17.23	rauhiṇapiṣṭāni sarvataḥ pradhvaṃsayati tāni majjā
13.17.24	vedaṃ visṛjyānuprakirati sa snāyavaḥ
13.17.25	avakābhis tṛṇaiḥ pracchādayati sirāḥ
13.17.26	gharmaitat te 'nnam etat purīṣam ity atiśiṣṭaṃ dadhnā madhumiśreṇa saṃmṛjyāntareṇa sakthinī nivapati tanmāṃsam
13.17.27	dadhnā madhumiśreṇa sarvato 'vokṣati tal lohitam
13.17.28	prācīnagrīveṇottaralomnā kṛṣṇājinena prorṇute tvaglomāni ca
13.17.29	samrāḍāsandīṃ visrasyopariṣṭān nidadhāti
13.17.30	sāmrājyaṃ bhavati
13.18.1	uttaravedyāṃ nityaṃ kalpaṃ bruvate
13.18.2	uttaravedyām udvāsayet tejaskāmasyeti brāhmaṇoktāni yathākāmam
13.18.3	nainam udvāsitaṃ vayāṃsi paryāsīran nāgnipraṇayanāt
13.18.4	atrodakumbhapariṣecanam eke samāmananti
13.18.5	rantir nāmāsi divyo gandharva ity enam upatiṣṭhate
13.18.6	acikradad vṛṣā harir iti yajamānaḥ
13.18.7	adhvaryur etat tvaṃ deva gharmety abhimantryedam ahaṃ manuṣyo manuṣyān iti pradakṣiṇam āvṛtyocchiṣṭakhare mārjayitvānavekṣamāṇaḥ pratyetyod ayaṃ tamasa ity ādityam upasthāyod u tyaṃ citram iti dvābhyāṃ gārhapatye juhoti
13.18.8	upatiṣṭhata ity eke
13.18.9	imam ū ṣu tyam ity āhavanīyam upatiṣṭhate gārhapatyaṃ vā
13.18.10	śaṃ no vātaḥ pavatām ity uttarāṃ śāntim upayanty upayanti
14.1.1	athopasatkalpaḥ
14.1.2	upāṃśuyājavat
14.1.3	yad ātithyāyā barhiḥ paridhayaḥ prastaraś copasadām agnīṣomīyasya ca bhavanti
14.1.4	upasatsu tad barhiḥ stīrṇaṃ prastaraś ca parihitāḥ paridhayaḥ
14.1.5	ṣoḍaśadārum imaṃ saṃnahya sphyam agnihotrahavaṇīṃ sruvaṃ juhūm upabhṛtaṃ dhruvāṃ vedam ājyasthālīm iti dvandvaṃ prayujya yajamānaṃ vācaṃ yaccheti saṃpreṣya praṇītāḥ kṛtvā vācaṃyamaḥ pātrāṇi saṃmṛśya madantīḥ saṃskṛtya brahmāṇam āmantrya pātrāṇi prokṣya vācaṃ visṛjyājyaṃ nirupyādhiśritya sphyam ādāya vedeḥ stīrṇāyā upari stambayajur harati
14.1.6	uttaraṃ parigrāhaṃ parigṛhya madantīr āsādayedhmam upasādaya sruvaṃ ca srucaś ca saṃmṛḍḍhy ājyenodehīti saṃpreṣyati
14.2.1	niruptam ājyaṃ dhruvāyām eva gṛhītvā madantīr abhimantrya brahmāṇam idhmaṃ vediṃ ca prokṣya madantyavaśeṣaṃ ninīya prastare pavitre apisṛjya sūryas tvety agnim abhimantrya pūrvāghārasamidham ādhāya vidhṛtyor āśvavālaṃ prastaraṃ nidhāya tasmin barhiṣi vā dhruvāṃ sruvaṃ ca sādayati
14.2.2	etāv asadatām iti mantraṃ saṃnamya viṣṇav asi vaiṣṇavaṃ dhāmāsi prājāpatyam ity ājyam abhimantrya sāmidhenīṣu navadhedhmaṃ prativibhajya sarvam ādadhāti
14.2.3	vyūḍhāsu devatāsv agnim upavājya nānyām āhutiṃ purastāj juhuyāt
14.2.4	sruveṇāghāram āghārayati
14.2.5	saṃmṛṣṭeṣu mahāpitṛyajñavat pravaraṃ pravṛṇīte
14.2.6	dhruvāyā aṣṭagṛhītaṃ juhvāṃ kṛtvā caturgṛhītam upabhṛti kuryāt
14.2.7	ājyasthālyā ityeke
14.3.1	ghṛtavatīm iti hotur abhijñāya juhūpabhṛtāv ādāya dakṣiṇā sakṛd atikrānta upāṃśuyājavat tisro devatā yajati
14.3.2	uttarataḥ prathamāyāḥ puronuvākyāṃ saṃpreṣyati dakṣiṇata itarayoḥ
14.3.3	yaj juhvām ājyaṃ tasyārdhenāgniṃ pūrvārdhe yajaty ardhena madhye somaṃ yad upabhṛti taj juhvāmānīya tena paścārdhe viṣṇuṃ yajati
14.3.4	udaṅṅ āvṛtya yathāyatanaṃ srucau sādayitvā prastaram aktvā savye pāṇau kṛtvājyasthālyāḥ sruveṇopahatya yā te agne 'yāśayā tanūr iti prathamam aupasadam āhavanīye juhuyād yā te agne rajāśayeti dvitīyaṃ yā te agne harāśayeti tṛtīyam
14.3.5	ye yudhyeyur ayajñasaṃyuktān etān homān juhuyād ayo 'vadhāya prathamaṃ rajatam avadhāya dvitīyaṃ haritam avadhāya tṛtīyam
14.3.6	agnīn madaty āpā3 ity etadādi nihnavāntaṃ vyākhyātam
14.3.7	dakṣiṇottānaiḥ pūrvāhṇe savyottānair aparāhṇe nihnuvate
14.3.8	agnīd devapatnīr vyācakṣva subrahmaṇya subrahmaṇyām āhvayeti saṃpreṣyati
14.3.9	apareṇa gārhapatyam āgnīdhra upaviśya senendrasyeti devapatnīr vyācaṣṭe
14.3.10	subrahmaṇyaḥ subrahmaṇyām āhvayati
14.3.11	sāsi subrahmaṇya iti tāṃ yajamāno 'numantrayate yathā purastāt
14.3.12	anūpasadam etāni kriyante
14.3.13	evaṃ sāyaṃ prātas trirātraṃ pravargyopasadau kārye
14.3.14	yāḥ prātaryājyāḥ syus tāḥ sāyaṃ puronuvākyāḥ kuryād yāḥ prātaranuvākyās tā yājyāḥ
14.3.15	tisra eva sāhnasyopasado dvādaśāhīnasyety uktam
14.3.16	madhyame 'hani paurvāhṇikābhyāṃ pracaryāgreṇa prāgvaṃśaṃ triṣu prakrameṣu śaṅkuṃ nihatya darśavat saṃnamanavarjaṃ sphyena paraśunā vā vediṃ vimimīte
14.4.1	sa pāścātyo veder madhyamaḥ śaṅkus tasmāt purastāt prakrameṣu ṣaṭtriṃśati śaṅkuḥ paurastyaḥ
14.4.2	pāścātyād dakṣiṇottarau pañcadaśasu pañcadaśasu śaṅkū tau śroṇyau paurastyād dvādaśasu dvādaśasu śaṅkū tāv aṃsau
14.4.3	akṣṇayāmānaṃ vidhāya sarvaṃ spandyayā śaktiviṣaye dakṣiṇāvṛttayā pradakṣiṇaṃ vimime tvā payasvatīm iti vediṃ parimimīte
14.4.4	madhye prāgagrāṃ pṛṣṭhyāṃ karoti
14.4.5	idaṃ tasmai vedena vedim ity abhimarśanasaṃmārgau
14.4.6	paurastyāt paścātprakrama uttaravedeḥ paurastyāt paścād daśame pade śaṅkur uttaravedeḥ pāścātyaḥ
14.4.7	tataḥ ṣaṣṭhāt padād dakṣiṇataḥ saptama uparavadeśaḥ
14.4.8	tasmāt stambayajur harati
14.4.9	uttarād aṃsāt paścime dvādaśād uttarataḥ prakrama utkaradeśe namo diva ity āgnīdhro 'ñjaliṃ kṛtvopaviśati
14.4.10	tadañjalau stambayajur vyākhyātam
14.4.11	sa utkaraḥ
14.4.12	tadaṃsasyottareṇa prakrame cātvālaḥ
14.4.13	imāṃ narāḥ kṛṇuta vedim ety eti saṃpreṣyati
14.4.14	vyākhyātaṃ khananam
14.4.15	catuḥśikhaṇḍā yuvatiḥ supeśā ghṛtapratīkā bhuvanasya madhye
14.4.16	tasyāṃ suparṇāv adhi yau niviṣṭau tayor devānām adhi bhāgadheyam iti vedim abhimantryottaravedyāvṛtā daśapadām uttaravediṃ purastād aṃhīyasīṃ karoti
14.4.17	udumbaraśākhābhiḥ śataśākhābhir vā pracchannāṃ kṛtvāparāhṇikyau śvobhūte carame pūrvāhṇikyau
14.4.18	vratārdhaṃ prayacchati sarvaṃ vā
14.4.19	tathaivāparāhṇikyau samasya pravargyam udvāsyopasadaṃ kuryād yadi pūrvaḥ pravargyaḥ
14.4.20	paśubandhe 'gnipraṇayanaṃ vyākhyātam
14.5.1	eṣa eva saumika āhavanīyaḥ
14.5.2	agnimatyām uttaravedyām uttaraṃ parigrāhaṃ parigṛhyāprokṣitāyāṃ na vicaranty ā staraṇāt
14.5.3	pratiprasthātā payasyāyai maitrāvaruṇyai sāyaṃdohāya vatsān apākaroti gharmadughaś ca vatsaṃ dadhigharmāya
14.5.4	sautyaṃ kāṣṭhaṃ vedyarthaṃ barhiś ca saṃbhriyate
14.5.5	kāṣṭhaṃ vediṃ barhiś ca tris triḥ prokṣyā ghā ye agnim indhata iti bahulaṃ vediṃ prācīnaṃ barhiḥ stṛṇāti
14.5.6	pūrvaṃ prayukte prakṣālite anasī yugmakṛte śālām agreṇābhitaḥ pṛṣṭhyāṃ pariśrite sacchadiṣī prācī sthāpayato dakṣiṇam adhvaryur uttaraṃ pratiprasthātā
14.5.7	evaṃ kurutaḥ karmāṇy uttaratra
14.5.8	tayor dakṣiṇaṃ varṣīya uddhṛtaphalakaṃ tathottaram
14.5.9	tayor akṣabandhān prasaktān visrasya punas tān surakṣitān badhnāti
14.5.10	vaiṣṇavī viṣṇave śundhethām iti havirdhāne prokṣati
14.5.11	śālāmukhīya ājyaṃ vilāpyotpūya sruci caturgṛhītaṃ gṛhītvā yuñjate mana iti sāvitreṇauttaravedike juhoti
14.5.12	devaśrutāv iti patnī padatṛtīyasyaikadeśam ādāya sājyena tena dakṣiṇasya havirdhānasya dakṣiṇām akṣadhuraṃ dakṣiṇena hastenottānena triḥ pradakṣiṇam upānakti
14.5.13	evam uttarasya
14.5.14	padanāśa ājyenopānakti
14.5.15	adhvaryur havirdhānābhyāṃ pravartyamānābhyām anubrūhīti saṃpreṣyati
14.5.16	yuje vāṃ brahma pūrvyam ity etāṃ trir uktām abhijñāya prācī pretam iti havirdhāne prācī pravartayeyuḥ
14.5.17	yady akṣaghoṣaḥ suvāg iti japati
14.5.18	yadā havirdhāne vedim avakrāmatas tadā dakṣiṇasya havirdhānasyottarasyāṃ vartanyām antarvedi hiraṇyaṃ nidhāya paristīryedaṃ viṣṇur vicakrama iti juhoti
14.5.19	evam uttarasya pratiprasthāterāvatī dhenumatī iti
14.5.20	apa janyaṃ bhayaṃ nudeti vedeḥ paścārdhe vitṛtīyadeśe manasāpa janyaṃ bhayaṃ nudeti brahmā hotādhvaryur vā pādena pāṃsūn loṣṭaṃ vā bahirvedi nirasyati
14.6.1	apareṇāhavanīyaṃ triṣu prakrameṣv atra ramethām iti nabhyasthe havirdhāne sthāpayitvābhimantrayataḥ
14.6.2	yāvadartham etayor antarālam
14.6.3	vaiṣṇavam asi viṣṇus tvottabhnātv iti tayoś cubuke uttambhayataḥ
14.6.4	divo vā viṣṇav ity āśīrpadayarcā dakṣiṇasya havirdhānasya methīṃ nihanti dakṣiṇaṃ tūṣṇīm uttaraṃ ca
14.6.5	viṣṇor nu kam iti tathottarasya
14.6.6	viṣṇor dhruvam asīti spandyayā methiṣv ete nibadhnīto viṣṇor dhruvo 'sīti granthiṃ kurutaḥ
14.6.7	tau surakṣitau baddhvordhvāḥ śamyāḥ samutkṛṣyopari dhārayataḥ
14.6.8	dakṣiṇasya havirdhānasya prāñcam aratniṃ mītvā maho vā viṣṇav iti prācīnakarṇās tisra udagapavargāḥ sthūṇāḥ sthāpayati
14.6.9	evam uttarasya pratiprasthātā
14.6.10	evam aparāḥ ṣaṭ sthūṇāḥ sthāpayataḥ
14.6.11	tāsūdañcau vaṃśau prohataḥ prācaś ca
14.6.12	viṣṇo rarāṭam asīti purastād rarāṭaṃ vaṃśe badhnītaḥ
14.6.13	tathā paritaḥ
14.6.14	viṣṇoḥ pṛṣṭham asīti tryaratnivistāraṃ navāyāmaṃ madhyamaṃ chadiḥ prāñcam udañcaṃ vā nidhāya viṣṇo śnaptre stha iti tad abhitaś chadiṣī ca
14.6.15	pari tvā girvaṇa iti sarvataḥ pariśrayati
14.6.16	pṛṣṭhyām abhitaḥ pūrvam aparaṃ ca dvāre kurutaḥ
14.6.17	viṣṇoḥ syūr asīti darbhair dvārasthūṇe veṣṭayataḥ
14.6.18	viṣṇor dhruvo 'sīti granthī kurutaḥ
14.6.19	tau surakṣitau
14.6.20	evam apare dvārasthūṇe
14.6.21	prāgunnataṃ paścādavanatam etad vaiṣṇavam asi viṣṇave tvety abhimṛśataḥ
14.7.1	pra tad viṣṇur iti pūrveṇa dvāreṇa niṣkrāmataḥ
14.7.2	ūrdhvam anyayā vaiṣṇavyā vā
14.7.3	dakṣiṇasya puro'kṣam uktam uparavakarma
14.7.4	devasya tvety abhrim ādāyāvir asīty abhimantrya vyāghāravad akṣṇayā caturaḥ prādeśamukhān prādeśamadhyān uparavān parilikhitam iti triḥ parilikhya rakṣohaṇo valagahana iti bāhumātram uparavān adhastāt saṃtṛṇṇān uparyasaṃbhinnān khātvā bṛhann asīty abhriṃ nidadhāti
14.7.5	eṣāṃ purīṣam udupya dakṣiṇasyānasaḥ pūrveṇopastambhanaṃ tena kharaṃ caturaśraṃ karoti yāvad alaṃ somapātrebhyaḥ
14.7.6	purastāt saṃcaraṃ śinaṣṭi
14.7.7	rakṣohaṇo valagahano vaiṣṇavān khanāmīti punar abhriyā khātvā virāḍ asi sapatnaheti pūrvayor dakṣiṇasminn uparave bāhum upāvahṛtyedam ahaṃ taṃ valagam udvapāmīti pāṃsūn ādāyedam enam adharaṃ karomi yo naḥ samāno yo 'samāno 'rātīyatīti tadbile 'vabādhya nirasto valaga iti hṛtvā gāyatreṇa chandasāvabāḍho valaga iti yajamānasyādhaspadaṃ tān pāṃsūn nivapati
14.7.8	samrāḍ asi bhrātṛvyahety aparayor uttarasmin bāhum upāvahṛtya pūrvavad ādānabādhanaharaṇāni
14.7.9	traiṣṭubhena chandasāvabāḍho valaga iti tathā nivapati
14.7.10	aparayor dakṣiṇasmin svarāḍ asy abhimātiheti bāhum upāvahṛtya tathādānāvabādhanaharaṇāni
14.7.11	jāgatena chandasāvabāḍho valaga iti tathā nivapati
14.8.1	viśvārāḍ asi viśvāsāṃ nāṣṭrāṇāṃ hanteti pūrvayor uttarasmin bāhum upāvahṛtya tathādānāvabādhanaharaṇāni
14.8.2	ānuṣṭubhena chandasāvabāḍho valaga iti tathā nivapati
14.8.3	tāṃś ca padapāṃsūn yaṃ dveṣṭi tasya saṃcare parāvapati
14.8.4	apa upaspṛśati
14.8.5	pūrvadakṣiṇasmin yajamāno 'parottarasminn adhvaryus tat tad yajuṣāvamṛśya saṃmṛśa imān āyuṣa ity adhastād bāhubhyāṃ saṃmṛśete
14.8.6	kim atrety adhvaryur yajamānaṃ pṛcchati
14.8.7	bhadram iti sa pratyāha
14.8.8	tan nau sahety āhādhvaryuḥ
14.8.9	yajamāno 'paradakṣiṇasmin pūrvottarasminn adhvaryus tathāvamṛśya saṃmṛśete
14.8.10	kim atreti yajamāno 'dhvaryuṃ pṛcchati
14.8.11	bhadramiti sa pratyāha
14.8.12	tan ma ity āha yajamānaḥ
14.8.13	adhvaryur uparavān yathākhātaṃ rakṣohaṇo valagahanaḥ prokṣāmi vaiṣṇavān iti yavamatībhir adbhis triḥ prokṣati
14.8.14	uttarair yajurbhir yathāliṅgaṃ prokṣaṇyavanayanayavaprāsanabarhiravastaraṇasruvābhihomān hiraṇyam antardhāya juhuyāt
14.9.1	adhiṣavaṇaphalake asaṃtṛṇṇe audumbare pālāśe kārṣmaryamaye vā dīrghasome saṃtṛdye tūṣṇīṃ prokṣya rakṣohaṇau valagahanāv upadadhāmi vaiṣṇavī iti tābhyām uparavān apidadhāti
14.9.2	dvau dakṣiṇena dvāv antareṇa
14.9.3	abhito mayūkhān nihanti
14.9.4	rakṣohaṇau valagahanau paryūhāmi vaiṣṇavī iti pradakṣiṇaṃ purīṣeṇa paryūhati
14.9.5	rakṣohaṇau valagahanau paristṛṇāmi vaiṣṇavī iti barhiṣā paristṛṇāti
14.9.6	rakṣohaṇau valagahanau vaiṣṇavī ity anenābhimṛśaty abhimantrayate vā
14.9.7	lohitam ānaḍuham adhiṣavaṇacarmopariṣṭād yathāsecanavad abhiṣavāyālaṃ tūṣṇīṃ prokṣya phalakayor yajña pratitiṣṭheti prācīnagrīvam uttaralomopastṛṇāti
14.9.8	pañca grāvṇas tasmin pratidiśaṃ madhye ca bṛhann asīti pratyekaṃ saṃmukhān sādayati
14.9.9	prathiṣṭhaṃ madhyamam
14.9.10	rakṣaghno vo valaghnaḥ prokṣāmi vaiṣṇavān iti tān prokṣati
14.10.1	apareṇotkaraṃ ṣaṭ prakramān apareṇārdhaṃ bahirvedy ardham antarvedi catusthūṇaṃ sarvataḥ ṣaṭprakramaṃ dakṣiṇadvāraṃ prācīnavaṃśaṃ pariśritam āgnīdhraṃ minoti
14.10.2	vaiśvadevam asi viśvebhyo devebhyas tveti saṃmitam abhimṛśati
14.10.3	pūrveṇāparavedyantaṃ trīn prakramān pūrveṇāparimitān vā prāk pratyaṅ navāratnyaṣṭādaśodagāyatam udagvaṃśaṃ dakṣiṇena pṛṣṭhyāṃ pratikṛṣṭataraṃ yathartvigbhyaḥ prasarpakebhyo dhiṣṇiyebhyaś cālaṃ bhavati tathā sado minuyāt
14.10.4	tanmadhye dakṣiṇena pṛṣṭhyāṃ prakrama uparātparaṃ yajamānasaṃmitāṃ sunāhāṃ yathā yūpasya prakṣālitām audumbarīṃ prācīnāgrām avaṭe saṃdhāya dive tveti pratimantraṃ parastād arvācīṃ prokṣati
14.10.5	śundhantāṃ loko yavo 'si pitṝṇāṁ sadanam asīty avaṭe 'pām ānayanādīny uktāni
14.10.6	ud divaṃ stabhāneti prācīnakarṇām audumbarīṃ sthūṇām udgātrā sahocchrayati dyutānas tvā māruto minotv iti
14.10.7	yathā prāgvaṃśasya sadohavirdhānayoś ca samānaḥ saṃkāśas tathāvaṭe minoti
14.11.1	brahmavaniṃ tvā brahma dṛṃhonnambhaya pṛthivīm ity etair audumbaryāḥ paryūhaṇādīny uktāni
14.11.2	tasyā viśākhe hiraṇyaṃ nidhāya ghṛtena dyāvāpṛthivau āpṛṇethām iti sruveṇābhijuhoti
14.11.3	āntam anvavasrāvayati
14.11.4	yadā bhūmiṃ prāpnuyāt tadā svāheti brūyāt
14.11.5	tāṃ sarvataḥ parimṛjyaudumbarīm anvagrāḥ sadasaḥ sthūṇā havirdhānavad avaṭe 'vadhāya tāsūdagvaṃśān prohya prāgvaṃśān adhyasyaindram asīti trīṇy udakchadīṃṣi madhyamāni prohyendrasya sado 'sīti trīṇi dakṣiṇāni viśvajanasya chāyeti trīṇy uttarāṇy audumbarīm abhyagrāṇi
14.11.6	dakṣiṇāny uttaraṇi karoti
14.11.7	ekādaśacchadiḥ prabhṛtīni brāhmaṇoktāni kāmyāni yathākāmam
14.11.8	havirdhānavat pariśritya dvāre kṛtvendrasya syūr asīti pariśrityendrasya dhruvo 'sīti granthī surakṣitau kurute
14.11.9	aindram asīndrāya tveti saṃmitam abhimṛśataḥ
14.11.10	somasya purā saṃsthānād adhvaryuḥ pūrveṇa dvāreṇa havirdhāne praviśya pratyaṅ nātīyāt
14.11.11	yady atīyād idaṃ viṣṇur vicakrama iti japet
14.11.12	apareṇa sadaḥ praviśya prāṅ nātīyāt
14.12.1	yady atīyād uttiṣṭhann ojasā saheti japet
14.12.2	sadohavirdhānayor viparītaṃ ca nātīyāt
14.12.3	dhiṣṇyān hotāraṃ ca pratyaṅ nātisarpet
14.12.4	yadi sarped aindrīṃ japet
14.12.5	nādhvaryur upagāyed ity uktam
14.12.6	atra voparavakarma
14.12.7	cātvālāt sphyenoddhatya purīṣam āhṛtya caturaśrān parimaṇḍalān vā dhiṣṇiyān upavapati
14.12.8	āgnīdhrāgāre vibhūr asi pravāhaṇo raudreṇānīkena pāhi māgne pipṛhi mā mā mā hiṃsīr ity āgnīdhrīyam upavapati yathottareṇāntarvedi saṃcaraḥ syāt
14.12.9	sadasi ṣaḍ dhiṣṇiyān pratyaṅmukhaḥ sadodvāram apareṇa pṛṣṭhyāyāṃ prakrame vahnir asi havyavāhano raudreṇānaukeneti hotuḥ
14.12.10	śvātro 'si pracetā raudreṇeti dakṣiṇena hotrīyaṃ pūrveṇaudumbarīṃ maitrāvaruṇasya
14.12.11	uttareṇa hotrīyaṃ caturo dhiṣṇiyān samāntarālān udagantān tutho 'si viśvavedā raudreṇośig asi kavī raudreṇāṅghārir asi bambhārī raudreṇāvasyur asi duvasvān raudreṇety etair brāhmaṇācchaṃsipotṛneṣṭracchāvākānaṃ pratimantram upavapati
14.12.12	śundhayar asi mārjālīyo raudreṇeti sadaso bahir dakṣiṇe vedyante samam āgnīdhrīyeṇa mārjālīyaṃ dakṣiṇāmukha upavapati yathā dakṣiṇenāntarvedi saṃcaraḥ syāt
14.13.1	yathopadiṣṭaṃ yajamāno yajurbhis tais tair eva dhiṣṇiyān upatiṣṭhate
14.13.2	adhvanām adhvapate namas te astu mā mā hiṃsīr iti taṃ tam abhikramya japati
14.13.3	samrāḍ asi kṛśānū raudreṇety āhavanīyam
14.13.4	pariṣadyo 'si pavamāno raudreṇeti bahiṣpavamānadeśam
14.13.5	pratakvāsi nabhasvān raudreṇeti cātvālam
14.13.6	asaṃsṛṣṭo 'si havyasūdo raudreṇeti śāmitram
14.13.7	samūhyo 'si viśvabharā raudreṇety utkaram
14.13.8	ṛtadhāmāsi suvarjyotī raudreṇety odumbarīm
14.13.9	brahmajyotir asi suvardhāmā raudreṇeti brahmasadanam
14.13.10	sadasyo 'si malimluco raudreṇeti sadasyam
14.13.11	ajo 'sy ekapād raudreṇeti śālāmukhīyam
14.13.12	ahir asi budhnyo raudreṇeti prājahitam
14.13.13	kavyo 'si kavyavāhano raudreṇety anvāhāryapacanam
14.13.14	atra vā vediṃ stṛṇāti
14.13.15	dhiṣṇiyān uparavān kharam uttaravediṃ ca na stṛṇāti
14.14.1	dīkṣitasyāgnīṣomīyaḥ paśur ālabhyaḥ
14.14.2	tasya nirūḍhapaśubandhavat kalpaḥ
14.14.3	na ṣaḍḍhoteṣṭiś cāṅgabhūteṣu vidyate
14.14.4	tūṣṇīm ātithyābarhiḥ saṃnahya tān paridhīn idhme saṃnahyati
14.14.5	vedikaraṇaparistaraṇapāṇiprakṣālanāstaraṇāni kṛtvā pāśukāni pātrāṇi srugādīni pracaraṇīm adhikāṃ prayujya yāvad ājyagrahaṇaṃ kṛtvā gārhapatye pracaraṇyām ājyaṃ caturgṛhītvātraiva pāśukān yājyāni gṛhṇāti maitu brahmaṇaspatnīti neṣṭā patnīm udānayati
14.14.6	athāham anukāminīti patnī japitvāpareṇa śālāmukhīyam upaviśya suprajasas tvā vayam ityādi japati
14.14.7	evā vandasvety upasthe brahmā rājānaṃ pratipādayati
14.14.8	samapivratān hvayadhvam iti saṃpreṣyati
14.14.9	yajamānasyāmātyān saṃhvayante
14.14.10	yajamāno 'dhvaryum anvārabhate yajamānaṃ patnī tām amātyāḥ
14.14.11	vāsasāhatenaitān saṃpracchādya tasya daśāsu hiraṇyaṃ baddhvājye 'vadhāya pracaraṇīdaṇḍe daśāntaṃ nibadhya tvaṃ soma tanukṛdbhyo juṣāṇo aptur iti dvābhyāṃ pracaraṇyā vaisarjane śālāmukhīye juhoti
14.14.12	ājyārdhaṃ viśinaṣṭi
14.15.1	somaṃ grāvṇo vāyavyāni prāśitrākṛti bṛhad droṇakalaśaṃ camasānidhmābarhir gṛhītvājyāny ādadate yāni cātra śastāni
14.15.2	agnīṣomīyapaśuṃ cānayanti
14.15.3	śālāmukhīye 'gnipraṇayanīyān ādīpyopayamanībhiḥ sikatābhir agnipraṇayanīyaṃ satam upayamya tasmin agnim udyamya nidhāya dhāryamāṇe 'nīṣomābhyāṃ praṇīyamānābhyām anubrūhīti saṃpreṣyati
