#Text:Mānavaśrautasūtra
#Data entry:M. Fushimi



1.1.1.1	uttarata upacāro vihāraḥ
10.2.4.3	caturthyām ekaikāṃ navamenavame 'bhitaḥ purastāduttarasya vaṃśasya madhye prathamāṃ vyatyāsam itarā evam eva spṛtaḥ purastāddakṣiṇasya vaṃśasya madhye prathamāṃ vyatyāsam itarāḥ / ṣaṭsaptāṣṭameṣu dakṣiṇato yugmāyugmā uttaratas trivargān kuryāt saptadaśa dakṣiṇataḥ pañcadaśottarataḥ
10.2.4.4	pañcamyām ekaikāṃ prāṇabhṛdādhiṣu śeṣaṃ chandasāṃ virājaś ca yathātimātrāḥ ṣaṭsaptāṣṭameṣv abhito yathāsaṃkhyam
10.2.4.5	ardheṣṭakābhiḥ pūrayitvā dakṣiṇataḥ prācīḥ stomabhāgāḥ paścimāś ca yugmā uttaratas trivargān kuryād ekatriṃśataṃ paścāt pratyañcaṃ trivargeṇa nākasadaṃ ca paścāt purīṣavatyā yavādinā sanāmnīr upaśīvarīr ghṛtaplutā iti yathāsaṃkhyaṃ turīyāṇi madhye yathā prāṇabhṛto 'timātrā madhyamāṃ svayamātṛṇṇāsaṃhitām uttaratas tu vikarṇīm
10.2.4.6	iti suparṇasya
10.2.5.1a	yāvatī śoṣapākābhyām iṣṭakā hrasate kṛtā
10.2.5.1c	tāvat samadhikaṃ kāryaṃ karaṇaṃ samam ichatā
10.2.5.2a	sadā ca triṃśakaṃ bhāgam iṣṭakā hrasate kṛtā
10.2.5.2c	tāvat samadhikaṃ kāryaṃ karaṇaṃ samam ichatā
10.2.5.3a	ekaikaṃ śatam adhyardhaṃ tad ūtaṃ ṣaḍbhir aṅgulaiḥ
10.2.5.3c	iṣṭakānāṃ parimāṇaṃ vaikṛtaṃ yadato 'nyathā
10.2.5.4a	navāṅgulasahasrāṇi dve śate ṣoḍaśottare
10.2.5.4c	aṅgulānāṃ parimāṇaṃ vyāyāmasya tu nirdiśet
10.2.5.5a	itareṣāṃ tu dhiṣṇyānāṃ sarveṣām eva niścayaḥ
10.2.5.5c	ekaikasya sahasraṃ syācchate ṣaṇṇavatiḥ parā
10.2.5.6a	ekādaśa sahasrāṇi aṅgulānāṃ śatāni ṣaṭ
10.2.5.6c	śataṃ caiva sahasrāṇāṃ kṣetram agner vidhīyate
10.2.5.7a	prākṛtaṃ vaikṛtaṃ vāpi kṣetram ardhāṣṭamāntare
10.2.5.7c	pañcaviṃśaṃ śiraḥ kṛtvā tataḥ kṣetre samāvapet
10.2.5.8a	śatāny aṣṭau padonāni padānām iha kīrtyante
10.2.5.8c	sāṅgasya saśiraskasya kṣetraṃ kṣetravido viduḥ
10.2.5.9a	ātmā catuḥśataḥ kāryaḥ pakṣau triṃśacchatau smṛtau
10.2.5.9c	daśa puche śataṃ caiva śiraḥ syāt pañcaviṃśakam
10.2.5.10a	ekatriṃśas trayastriṃśair vargaiḥ pañcāśakairapi
10.2.5.10c	asaṃbhavatsu vargeṣu dvidhā bhidyeta iṣṭakā
10.2.5.11a	iṣṭakāhrasavṛddhibhyāṃ dṛdhāsu śatakeṣu ca
10.2.5.11c	matimān iṣṭakā bhāgair mantrāt saṃnāśayed iti
10.2.5.12a	caturasre pṛṣṭau vāpi pakṣapuchaśireṣṭakāḥ
10.2.5.12c	dikto 'padhānaṃ lokāc ca tathā lokas tu lupyate
10.2.5.13a	adhyātmani ha vijñeyam upadhānaṃ vijānatā
10.2.5.13c	rathaṃtarabṛhallokair anyaṃ gāyatrayājñiyaiḥ
10.2.5.14a	yajuṣmatīnāṃ saṃkhyā tu sarvāsāṃ caiva niścitā
10.2.5.14c	ekaikasyāṃ citau vāpi tāṃ me nigadataḥ śṛṇu
10.2.5.15a	ṣaḍaśītiḥ śataṃ tv ādyā dvitīyā daśa saptatiḥ
10.2.5.15c	trayodaśa tṛtīyā syācchataṃ cāhur manīṣiṇaḥ
10.2.5.15a	caturthī śatam ekā syāt tisraś caiveṣṭakāḥ smṛtāḥ
10.2.5.15c	śatāni trīṇi pañcāśat ṣaṭ caiva citir uttamā
10.2.5.16a	etāḥ sarvā yajuṣmatyo yābhir agniḥ prasūyate
10.2.5.16c	śeṣaṃ lokaṃpṛṇābhis tu citīnām abhipūrayet
10.2.5.17a	etāḥ sarvā samāmnātāḥ yajur yāvat pravartate
10.2.5.17c	tad etad dhi sahasraṃ syāccharkarābhiḥ sahocyate
10.2.5.18a	etā upahitāḥ samyag dhenavas tu prajāyante
10.2.5.18c	amuṣmin yajamānāya kāmān duhyati sarvaśaḥ
10.2.5.19a	ṣaṣṭiṃ prajāpatiṃ veda yo hi saṃvatsaraḥ smṛtaḥ
10.2.5.19c	gachati brahmaṇo lokaṃ nākaṃ bradhnasya viṣṭapam
10.2.5.19	iti
10.3.1.1a	vaiṣṇave yā prameyāya śulbavidbhiś ca sarvaśaḥ
10.3.1.1c	saṃkhyātṛbhyaḥ pravaktṛbhyo namo bharanto ye mase
10.3.1.1a	idaṃ bhūbhyā bhajāmahe yā no mānakṛtām iva
10.3.1.1c	yajñiyaṃ mānam uttamaṃ vardhamānaṃ sve dame
10.3.1.2a	spaṣṭā bhūmir ṛjuḥ śaṅkur mauñjaṃ śulbam abandhuram
10.3.1.2c	citrādau nākṛtiḥ kāryā tithyṛkṣaṃ varuṇaśubham
10.3.1.3a	sarvāḥ prāgāyatā vedyaḥ karaṇaṃ yaskadehikam
10.3.1.3c	ardhenārvasamaṃ sarvam uchedo jānu pañcakam
10.3.1.4a	madhyame 'rdham ṛtavyānāṃ nākasat pañcacūḍayoḥ
10.3.1.4c	karaṇādyartham uddiśya kṣetram ardhāṣṭamān naraḥ
10.3.1.5a	anaḥsiddhaṃ havirdhānaṃ pātrasiddhāḥ kharāḥkharāḥ
10.3.1.5c	cātvālaḥ paśubhiḥ siddho havirbhiḥ sāgnikāḥ kharāḥ
10.3.1.6a	maṇḍalārdhaṃ catuḥsrakti ratnināṃ vihitāḥ kharāḥ
10.3.1.6c	aratnir ghana eteṣāṃ bhūyas tve bhūyasīvidhau
10.3.1.7	pūrvaś caturviṃśatibhāge lekhyaś caturviṃśair ālikhitas tu paścimaḥ syād dakṣiṇe 'ṣṭadviguṇena lekhyas triṃśadbhir āyamya haret tu rāyam
10.3.1.8	udakprakramya cātvālaṃ śāmitraṃ prakrame tataḥ
10.3.1.8	bhūyas tat paśubhūyastve vṛddhir uttarato bhavet
10.3.1.9	āyāmabāhuṃ nikṣipya vistaras tu tathā pṛthak
10.3.1.9	so 'dhyardhaṃ guṇayed rāśiṃ sa sarvaguṇito ghanaḥ
10.3.1.10	āyāmam āyāmaguṇaṃ vistāraṃ vistareṇa tu
10.3.1.10	samasya vargamūlaṃ yat tatkarṇaṃ tadvido viduḥ
10.3.1.11	śravaṇābhijitor bahulātiṣyayor vā citrāsvātyor antare 'psv agninā vā
10.3.1.12	naktaṃ prācībhāskaraśrāyamāhuḥ / śaṅkulipte maṇḍale prāk parāk ceti
10.3.2.1a	janmanā rogahīno vā yajamāno bhaved yadi
10.3.2.1c	kathaṃ tatra pramāṇāni prayoktavyāni kartṛbhiḥ
10.3.2.2	yady urutantuḥ keśo vāstṛtaḥ sarṣapo yavaś caiva ṣaḍguṇitaḥṣaḍguṇito bhavati narasyāṅgulaṃ māne taddvādaśakaṃ prādeśam ity āhuḥ
10.3.2.3	taddvayaṃ smṛto 'ratniḥ prakramo 'ratnisamaḥ sa dviḥprādeśo bhavec citiṣu
10.3.2.4	adhyardhāṅgulahīnāś catvāraḥ prakramā bhaven niyatāḥ
10.3.2.5	tatraikādaśa yūpāś catvāraś caturuttarāḥ sattresattre
10.3.2.6	ekasyāṃ vedyām agnidvayam iṣṭakāriktaṃ bhavati / pṛthag ato vediḥ cet pṛthag agniḥ kl̥ptaḥ
10.3.2.7	viṃśatyaṅgulaḥ śataṃ niyataḥ pañcāratnir naro daśapado vā / hīnātiriktayuktyā dehedehe pramāṇaṃ tu
10.3.2.8	ṣaḍaśītir yugam uktaṃ sāṣṭādaśa ucyate tvakṣas tantrasamasamastaṃ dvyujaṃ ratham īṣāṃ vyavāsyanti
10.3.2.9	maṇḍalam atha caturasraṃ maṇḍalaṃ ca yaḥ kuryāt tasyemaṃ karaṇavidhiṃ tadvidām udāhṛtaṃ śṛṇuta
10.3.2.10	maṇḍalaviṣkambhasamas tribhujād avalambakaś catuḥsraktiḥ prāgāyatāt tribhāgāt karṇāt sa maṇḍalaṃ bhavati
10.3.2.11	puruṣaḥ puruṣaṃ kuryāt tasyākṣṇayā dvipuruṣaṃ bhavec caturastasyāpyakṣṇayā dvābhyāṃ vā syāś catuḥpuruṣam
10.3.2.12	dvipuruṣaḥ karaṇī śroṇī bāhus tu dviguṇo bhavet triṃkuṣṭhavat tryavalambakas tato yaś caturasre dvāṣṭamāḥ puruṣāḥ
10.3.2.13a	viṣkambhaḥ pañcabhāgaś ca viṣkambhas triguṇaś ca yaḥ
10.3.2.13c	sa maṇḍalaparikṣepo na vālam atiricyate
10.3.2.14a	daśadhā chidya viṣkambhaṃ tribhāgān uddharet tataḥ
10.3.2.14c	tena yac caturasraṃ syān maṇḍale tadapaprathiḥ
10.3.2.15a	caturasraṃ navadhā kuryād dhanuḥkoṭyas tridhātridhā
10.3.2.15c	utsedhāt pañcamaṃ lumpet purīṣeṇeha tāvat samam
10.3.2.16	caturaratnir vā naraḥ sikatākaraṇe tv ardhaṃ bhujaḥ pradiśyate
10.3.2.17	karaṇāni tato 'syāḥ kārayet tricatuḥpañca trir abhiparyasya yac chubhaṃ cayaneṣu vidhiḥ purātanair ṛṣibhir yo 'bhihitaś ca nityaśaḥ
10.3.2.18	parilekhanamānasaṃcayair vyatyāsaiḥ parimāṇasaṃpadā vedyaḥ sarvāḥ pramāṇair āyāmena ca vistareṇa ca mimīyāt
10.3.2.19	caturasrasaṃpadā dvayāyām asamāpanāḥ smṛtā pañcāṅgyātha vā purātanair yāḥ pūrvair ṛṣibhiḥ pradarśitāḥ
10.3.2.20a	yaś caiṣa vidhir maryākṛtas tatraiṣā mithunāt samam
10.3.2.20c	pañcāṅgī tāvatī rajjur yayā sarvaṃ mimīmahe
10.3.2.20e	ṛte kaṅkālajaśyenāṃs teṣāṃ vakṣyāmi lakṣaṇam
10.3.2.21	iyaṃ mitā yā samayārdhalakṣaṇā tataś caturthe bhaven nirāñchanaṃ tato 'rdhaśiṣṭā vistārasamā cayasya / yat tataś catuḥkuṣṭham ihānayā caret
10.3.2.22	prācīm athāyāmasamāṃ nidadhyāt pāśau nikhanyād atha madhyamaṃ ca
10.3.2.23	unmucya paścād atha madhyame tat prāgdakṣiṇāyamya nirāñchanena vistārato 'rdhe nikhaneta śaṅkuṃ pratyak tathottaramadhyame ca / sa vāsuvedīṣu
10.3.2.24	atha mānam etac chroṇyāṃ tu pāśoddharaṇaṃ kriyeta
10.3.2.25	aṃsaśroṇyor likheta dikṣu lekhāḥ śaṅkū nihanyāt samareṣu teṣu / tebhyaḥ samantāt parilekhayeta
10.3.2.26	yady aiṣṭikā nobhau likheta śiṣṭau
10.3.2.27	pūrve tribhāge tv apare ca siddhopasthitāv utkaradakṣiṇāgnī
10.3.2.28	athānyad asya parilekhanaṃ tu madhye bhaved dikṣu navāṅguleneti
10.3.3.1a	pramāṇārdhaṃ tu ṣaṣṭyūnaṃ viśeṣa iti saṃjñitam
10.3.3.1c	viśeṣaś ca pramāṇaṃ ca pramāṇasyājñayā bhavet
10.3.3.2	pramāṇārdham anyat syāt pāśaṣaṣṭhe sacaturviṃśe lakṣaṇaṃ karoti tan nirāñchanam akṣṇayā tiryaṅmānī śeṣaḥ / pāśād ardhaśaye śroṇī dva...
10.3.3.3	... cāgnīdhram ihopadiśyate
10.3.3.4a	agner yadakṣṇayāmānaṃ tasya caiva tadakṣṇayā
10.3.3.4c	tad āśvamedhikaṃ vidyād ekaviṃśadvidhau 'tha vā
10.3.3.5a	puruṣas tiryag bhaved yad anudaśadhā yo mitaḥ
10.3.3.5c	tasya karṇena yat kṣetraṃ vidyād ekādaśaṃ tu tat
10.3.3.6a	ubhau bāhū naśakṣṇāṃ tu naras tiryak tadakṣṇayā
10.3.3.6c	ekoccatānaikaśatād bāhuvṛddhyā vivardhayet
10.3.3.6	iti
10.3.4.1a	avalambakakuṣṭhe tu yo bhavet ṣoḍaśāṅgule
10.3.4.1c	sautrāmaṇyā bhaved eṣa prakramo mānakarmaṇi
10.3.4.2a	prakramasya tṛtīyena saumikī sārparājñikī
10.3.4.2c	saṃtṛtīyais tribhiś cānyaiḥ siddham auttaravedikam
10.3.4.3a	caturdaśāṅgulo vā syāt prakramas tena saumikī
10.3.4.3c	śatair dvādaśabhir vāpi minuyāt pāśukām iva
10.3.4.4a	sacaturthe vanaṃ ṣaḍbhir navabhir vātha saptabhiḥ
10.3.4.4c	navabhir vāparaṃ cakraṃ karaṇārdhe na lekhayet
10.3.4.5a	caturṣu nivaped eṣāṃ sāvitrādiṣu yo vidhiḥ
10.3.4.5c	aruṇe jānudaghne nikhanyād adbhis tu pūrayet
10.3.4.6	caturasram athāpi maṇḍalaṃ dvividhaṃ gārhapatyalakṣaṇaṃ vyāyāmamitaṃ caturbhujaṃ puruṣārdhena tu maṇḍalaṃ parilikhet
10.3.4.7	vyāyāmatṛtīyamāyāntaṃ caturasraṃ saptamabhāgavistṛtaṃ prāgācitam uttarācitaṃ vyatyāse tad athaikaviṃśakam
10.3.4.8	puruṣasya tṛtīyamāyāntaṃ caturasraṃ ṣaḍbhāgavistṛtaṃ prathikaś ca tadāyato bhaven madhye tena samāyato bhaven madhye tena samāstike ... śeṣau koṇau prathikam itau samau tadvistārakṛtau viśākhaḥ
10.3.4.9	ṣaḍbhāgakṛtāyāmo bhaved dvyardhe tu trikoṇasaṃsthite
10.3.4.10	caturasravipāṇakaḥ prathiko 'rdhaṃ prathikaś ca yo mitaḥ
10.3.4.11	karaṇāni bhavanti maṇḍale catvāri pramitāni bhāgaśaḥ
10.3.4.12	madhye 'sya catasra iṣṭakāḥ tatpūrvāparayor dvayordvayaṃ pratiko 'rdhaviṣāṇikadvayaṃ punar eva punar aiti maṇḍalam ardhaprathikadvaye samaṃ saṃpūrṇaṃ tad athaikaviṃśakam
10.3.4.13	vyatyāsam udaṅmukhena saha vyatyasyed vety uttarottaram
10.3.4.14	adhyardhaṃ padyaṃ ca padyārdhapadyapādavat padyārdhotsedham ity āhur gāyatre karaṇāni ca
10.3.4.15a	caturguṇāṃ dvipuruṣāṃ rajjuṃ kṛtvā samāhitām
10.3.4.15c	saṃbhāgajñātṛtodāntāṃ pañcāṅgīṃ tadvido viduḥ
10.3.4.16a	madhyamāt pāśayos todo gāyatramānam ucyate
10.3.4.16c	sāratnāv ardhapuruṣe / caturasras tayā mitaḥ
10.3.4.16e	pakṣapuchāntayor vṛddhyā gāyatreṇetareṣubhiḥ
10.3.4.17a	iṣṭakā śoṣapākābhyāṃ triṃśanmānāt tu hīyate
10.3.4.18	tataḥ kṣetraṃ tricaturbhāgaṃ niruhyādāpayec chivam
10.3.4.19	aṃsa uttare 'ṃse ca prācyo 'dhyardhās tu viṃśatir daśa puche dvir dvādaśakau pakṣayor abhitaḥ puche tu pañca deyāḥ pañca prācīḥ pañcadaśa dadyāc chirasi / caturaśītī pakṣayoḥ pañcāśataṃ triṃśatam ātmani padyā bhavanti śatam ekonaṃ puche 'ṃsaśroṇyor viṃśatirviṃśatiḥ puche pakṣayor daśadaśāhuḥ
10.3.4.20	adhyardhā daśa śirasi prācyudīcyo bhavanti
10.3.4.21	pūrvopahitā prathamā padayujaḥ sarvā dvitīyāvāgyujo 'śvinī
10.3.4.22	vyatyāsaṃ cinuyād evaṃ jānunāsya vartmasu
10.3.4.23	tripadā alpakṣetrā ekacitikāś catuḥ karaṇayuktāḥ dhiṣṇyā bhavanti sāgnicityamantrāḥ sātiriktāś ca
10.3.4.24	adhyardhās tu catasro dve madhye nakulaś caturbhāgaḥ
10.3.4.25	aśmā navamo 'gnīdhre
10.3.4.26	hotrīyamataḥ saṃvakṣyāmo 'ṃsaśroṇyoḥ padyāśrayā nakulakā bahis tisṛṣu dikṣv antaś caturdaśa padakacaturthāḥ sa...yaḥ pratidiśam aṣṭau padyā dikṣu vidikṣu
10.3.4.27	brāhmaṇāchaṃsye daśa caikā syur madhye dvaudvau caturthyau nakulakaś ca
10.3.4.28	abhitas tisraḥ padyā dve madhye 'dhyardhe śiṣṭeṣv aṣṭau
10.3.4.29	adhyardhāḥ ṣaṇ mārjalīye 'saṃ mārjālīyaṃ syād dakṣiṇapārśvena śāmitraṃ cātvālasya ca paścād avabhṛthakalpe 'py evaṃ padam ekatas tripadas tisro 'tirikteṣv iti
10.3.5.1	saptatriṃśatsārdhāḥ pakṣaḥ savyaś ca śirasi catvāraḥ ṣaḍviṃśakas tathātmā śyene pañcadaśakaṃ puchaṃ saptadaśakaṃ puchaṃ dvayaṃ śirasy ātmapakṣayoḥ kl̥ptam alajasya / bhāgasaṃdhāntayajñaiḥ pratimā naracaturthe
10.3.5.2	aṣṭau bhāgāḥ puchaṃ kaṅkacite bhavati pādayoś caturaḥ śirasi tu sapta jñeyāḥ śyenavad ātmā ca pakṣau ca
10.3.5.3	śyenālajakaṅkānām aṣṭau sārdhā vistṛtaṃ puchaṃ catvāro tmā dvau ca śiraḥ sarveṣāṃ pñcakau pakṣau
10.3.5.4	śyenālajakaṅkānāṃ dvitricatuḥ kuṣṭham ity ucyate puchaṃ pañcākṣṇāḥ pakṣapātrās tvakṣṇābhiḥ pariśritāḥ
10.3.5.5	puche dvau bhāgāv ānayet pucham alajena trikuṣṭhavat trīn śyenapuchāc chirasi kaṅke pādau tu haret
10.3.5.6	prācīr dvādaśa sārdhā viṃśatir udīcīr bhaven mitā bhāgā daśa pañca kaṅkacitāv alaja udīcīs trayodaśa sārdhāś ca
10.3.5.7a	tricaturbhāgamānī syād rajjur ardhatrayodaśī
10.3.5.7c	madhye ca lakṣaṇaṃ tasyāś caturbhāgair nirāñchanam
10.3.5.8a	bhāgikāś catvāras todā ardhaṣaṣṭhe 'paraḥ smṛtaḥ
10.3.5.8c	ardhāś ca me 'ṣṭame caiva navame daśame 'paraḥ
10.3.5.8e	ardhadvādaśo vānyaḥ
10.3.5.9a	tataḥ prācīḥ prasārya tu tasyā nikhānayec chaṅkum
10.3.5.9c	pāśayor madhyame 'ṣṭame / caturthe vāhatya pāśam
10.3.5.9e	āsajya madhyame nirāñchanam
10.3.5.10a	nirāyamya vinudonmucya madhyamāt
10.3.5.10c	abhito daśama āyamya bhāgā dvikacatuṣkāḥ
10.3.5.10a	ardhaṣaṣṭhe 'pi cāhatya pūrvādevaṃ samācaret
10.3.5.10c	tulyaṃ śaṅkuṃ turye
10.3.5.11a	tataḥ prācīḥ prasārya tu ardhaṣaṣṭhakayoḥ pāśau
10.3.5.11c	śaṅkū ardhāṣṭame 'ṣṭame / pragṛhya paścimaśaṅkū
10.3.5.11e	dvikayor votsṛjet tataḥ
10.3.5.12a	caturthanavamau śaṅkū pravṛhed antimāv ubhau
10.3.5.13a	aṣṭame pāśam āsajya aṣṭamenaiva nigrahaḥ
10.3.5.13c	bhāgebhāge tataḥ śaṅkū tayoḥ
10.3.5.14a	aṣṭame pāśam āsajya ādiśaṅkau nigṛhya ca
10.3.5.14c	daśame śaṅkum āhanyāt puchārdhe alajasya tu
10.3.5.15a	...syārdhaṣṭame śaṅkuḥ kaṅkasya darśane smṛtaḥ
10.3.5.16a	trike pāśaṃ samāsajya daśakena nigṛhya ca
10.3.5.16c	etābhyām eva todābhyāṃ śaṅkū deyau tathottarau
10.3.5.17a	ardhadvādaśame pāśas triko nigrahaṇo bhavet
10.3.5.17c	ādipāśe dvike caiva śaṅkū deyau tathottarau
10.3.5.18a	uttare dvikam āsajya dakṣiṇaṃ samayor haret
10.3.5.19a	caturthe śaṅkum āhanyād viparītaṃ samācaret
10.3.5.19c	caturthe tu tadarthena nigṛhya ca ...
10.3.5.20	iti śyenasya rajjur dvādaśalakṣaṇā
10.3.5.21a	catvāri karaṇāny eṣāṃ tricaturthena kārayet
10.3.5.21c	navabhāgā akṣṇārdhākṣṇāḥ pañcakoṇāḥ ca bhāgaśaḥ
10.3.5.22a	prācīne pañcakoṇe dve athārdhākṣṇādvayaṃ nyaset
10.3.5.22c	aṃsāgrayor athaikaikā evaṃ pakṣavipakṣayoḥ
10.3.5.23a	navabhāgaiś citaṃ madhyam akṣṇābhiḥ pariṣiñcate
10.3.5.23c	pakṣāgre pañca patrāṇy evaṃ cākṣṇā vidhīyate
10.3.5.24a	vyatyāsākṣṇādvayaṃ tunde pañcakoṇe pratyaksthite
10.3.5.24c	ardhākṣṇe kaṇṭhasaṃdhyoś ca pūrayed amitaṃ śiraḥ
10.3.5.25a	dve pakṣasaṃdhyor ardhākṣṇe puchasaṃdhyos tathāpare
10.3.5.25c	daśa pañca ca puchāgre pakṣāgra ekaviṃśatim
10.3.5.26a	aupamāne cayane caiṣāṃ vyatyāse karaṇeṣu ca
10.3.5.26c	rajjvāś cāvapanaṃ hrāso śyenasiddhir iti sthitaḥ
10.3.5.27a	avakrapakṣam alajaṃ ca pūrvapakṣe tathāyutam
10.3.5.27c	madhyāt prasiddhaṃ puchaṃ śyene dāmnā prasidhyata iti
10.3.5.28a	navamāt prāgbhāge śaṅkū turīyasya karaṇam
10.3.5.28c	alaje pakṣārdham avakratād dhy evaṃ bhavet
10.3.6.1a	puruṣasya tṛtīyapañcamau bhāgau tatkaraṇaṃ punaściteḥ
10.3.6.1c	tasyārdham athāparaṃ bhavet tricitikam agnicitiś cet
10.3.6.2a	aṣṭāvaṣṭau saṃmitā citir aṣṭaikādaśikā ca madhyamā
10.3.6.2c	vyatyāsavatīr upanyased aṣṭau dvādaśa cottamā citiḥ
10.3.6.3a	pañcadaśanaraṃ kṣetraṃ praugacit tatas tv ardham
10.3.6.3c	madhyād daśake trikuṣṭham etat tathā karaṇam
10.3.6.4a	bāhvor ekaviṃśa ubhakaraṇe tathārdho 'nyaś ca
10.3.6.4c	aṃsaśroṇyoś chedas tasyobhayato bhavet praugaḥ
10.3.6.5a	cātvālebhyaś caturbhyas tu samūhyo 'gnir aniṣṭakaḥ
10.3.6.5c	digbhyaḥ purīṣaiḥ samūhyo bhāgaśo yuktito vidhiḥ
10.3.6.6a	maṇḍalacaturasro 'dya parivāryaḥ śmaśānacit
10.3.6.6c	droṇacit tsarumāneṣāṃ daśabhāgo bhavet tsaruḥ
10.3.6.7a	maṇḍale caturasraṃ tu kuryād gārhapatyavat
10.3.6.7c	bāhvor viṃśatibhāgena vāruṇaṃ sārdham eva tu
10.3.6.8a	prasiddhaṃ daśadhā kuryād bahir antaś ca yuktitaḥ
10.3.6.8c	trikuṣṭhaś ca viṣāṇaḥ syāt saṃdhau vyatyāsa eva saḥ
10.3.6.9a	caturasrasya karaṇaṃ bāhvor dvātriṃśadbhāgikam
10.3.6.9c	caturasram athādhyardhaṃ tābhyāṃ gāyatravadvidhiḥ
10.3.6.10a	sāhasrasya karaṇaṃ bāhvoḥ pañcadaśabhāgaṃ caturasram
10.3.6.10c	adhyardhās tu tataḥ syur dviśatāś citayaḥ smṛtāḥ
10.3.6.11a	pañca pañcāśatam adhyardhās tisraḥ pañcāśataṃ caturasrāḥ
10.3.6.11c	sahasrāc chataṃ pakṣāḥ syur uṣā sahasratamī
10.3.6.12a	bāhvor ekatriṃśo bhāgaḥ karaṇaṃ citis tathottarayoḥ
10.3.6.12c	caturasrānāṃ sāhasraṃ savanike vyavāsyanti
10.3.6.13	ardhaikādaśapuruṣaṃ ghanaṃ bhaved bhaven maṇḍalaṃ rathacakraṃ / nābhir arā vivaradhā nemir arebhyo yady atiriktam
10.3.6.14	tadardhāḥ puruṣāyāmāḥ puruṣāṣṭabhāgavistṛtāḥ caturviṃśatis trinaranāyāḥ
10.3.6.15	vivarakaraṇamataḥ saṃpravakṣyāmi / dvisaptamena nemyasrakaraṇaṃ bhaved arasyāṣṭabhāgena vaikṛtaś caturviṃśatibhāgena nābhyām antaram antaro 'ṣṭamabhāgena praugavad bhavet
10.3.6.16a	dvīṣṭakāṃ cinuyān nābhiṃ caturbhiś cinuyād arān
10.3.6.16c	tribhir nemiṃ yathābhāgaṃ / vyatyāsaḥ kūpavat smṛtaḥ
10.3.6.17a	viṣkambhasya caturthena nābhyās tu vivaraṃ likhet
10.3.6.17c	tricatvāriṃśāṅgulāṃ nemiṃ sārdhacaturaṅgulām
10.3.6.18a	siddham anyad yathā yuktiś cayane yāś ca saṃpadaḥ
10.3.6.19	ya idam api yathātathaṃ smṛtiṃ vidhiṃ yad ādhītya mimīte rauravaṃ samavati khalu kṛtsnasaṃmato vrajati ca śulbakṛtāṃ salokatām
10.3.7.1a	rathacakrasya cityasya saṃkṣepoktasya viṣṇunā
10.3.7.1c	atha dhātur niviṣṭhasya triguṇānyaṃ bahirbahiḥ
10.3.7.1e	līyante maṇḍale yasya sapta sārdhā narā budhaiḥ
10.3.7.2a	mucyante vivareṣv anye kṣetrād abhyadhikās trayaḥ
10.3.7.3a	tasya cakravidhānaṃ tu / nemir arebhyo vistaraḥ
10.3.7.3c	maṇḍalānāṃ ca viṣkambhaḥ tribhāgaḥ karaṇāni ca
10.3.7.4a	narārdhenābhilikhen nābhis tataḥ prastāragocarā
10.3.7.4c	arebhyo 'bhyadhikā nemis triṣaṣṭhenākṣarāgāram
10.3.7.4a	triṃśatena saviṃśena adhikaiś cārdhapañcamaiḥ
10.3.7.4c	mimāyāṅgulair vā madhyaṃ kuryād viṃśena parilekhanam
10.3.7.5a	prathame prastare rathacakrasya śṛṇuteṣṭakāḥ
10.3.7.5c	caturbhir adhikaṃ vettha catvāriṃśac chatatrayam
10.3.7.6a	dvitīye 'bhyadhikā yāntu caturviṃśatir iṣṭakāḥ
10.3.7.6c	pañcakoṇās trikoṇāś ca nemyarebhyaḥ ca saṃdhiṣu
10.3.7.7a	iṣṭakānāṃ sahasreṇa śataiḥ saptabhir eva ca
10.3.7.7c	aṣṭaṣaṣṭyā ca cakrasya citayaḥ pañca pūritāḥ
11.1.1.1	athātaḥ pratigrahakalpaṃ vyākhyāsyāmaḥ
11.1.1.2	dakṣiṇāṃ pratigṛhṇīyād nāvedavin nāśucir nāyajñopavītī na muktaśikho nārtaś ca nānudake na cākāle
11.1.1.3	sāvitraḥ purastāt ka idam iti paścāt
11.1.1.4	prajāpataye tveti puruṣīṃ pratigṛhṇīyād dhastinaṃ puruṣaṃ bhūmiṃ prāṇi cānyat sarvaṃ jīvam anūrvarāṃ candrāya tveti śiro yamāya tvety ekaśaphaṃ rudrāya tveti gām agnaye tveti hiraṇyaṃ trapu sīsamayo lohaṃ ca gnās tvākṛntann apaso 'tanvata dhiyo 'vayan bṛhaspataye tveti vāsa uttānāya tvety aprāṇad viśvebhyo devebhyas tveti chattraṃ gṛhaṃ grāmaṃ ca śrīkāmāya tveti śayyām indrāgnibhyāṃ tveti chāgaṃ meṣaṃ mahiṣaṃ ca varuṇāya tvety udakumbhaṃ kūpaṃ taḍāgaṃ ca samudrāya tveti karakaśaṅkhaśuktipravālāni yac cānyat kiṃcit sāmudraṃ tvaṣṭra ity uṣṭrān somāya rasān dravān gandhasrajo vanaspatīṃś ca vaiśvānarāya tveti tveti rathān
11.1.1.5	yady āsaṃbhṛtā nānādakṣiṇās tāṃ dakṣiṇāṃ pratigṛhṇīyāt
11.1.1.5a	pṛthivyāṃ puṇyaṃ ca pāpaṃ ca kas te pratipaśyati
11.1.1.5c	iṣṭapuṇyaṃ ca pāpaṃ ca ādityaḥ pratipaśyati
