#Text:Drāhyāyaṇaśrautasūtra
#Edition:Reuter, Vira
#Data entry:?



1.1.1	atha vidhyavyapadeśe sarvakratvadhikāraḥ
28.5.1	āñjanābhyañjanāsu gārhapatya upasatsu sarpīṃṣi phāṇayeyuḥ / pṛthagdevasurabhīṇi yānyuktāni brāhmaṇena
28.5.2	taiḥ sutyāsūpakaraṇavelāyāṃ savanānāṃ pūrveṇa havirdhāne āsīnā āñjīrannabhyañjīraṃśca
28.5.3	bhuktvāgnīdhrīya eveti gautamaḥ
28.5.4	aharaharetat kuryuriti dhānaṃjayyaśāṇḍilyau
28.5.5	sarvastoma eveti gautamaḥ
28.5.6	pṛṣṭhya eke
28.5.7	abhiplaveṣveke
28.5.8	saṃvatsarasaṃ‚matāsu prathamaṃ dāśarātrikaṃ prāyaṇīyaṃ syādityeke / trivṛdeva kāryamityāha
28.5.9	prāyaṇīyaṃ tu codayitvā tasya stomavikāraṃ gṛhṇāti
28.5.10	dāśarātrikāṇāṃ cāvayavaprayogo na vidyate
28.5.11	āvṛtte 'bhiplave śākvaravarṇaṃ syādityācāryāḥ sāṃvatsarikasya dravyasyānugrahāyeti
28.5.12	caturthastvabhiplavo luptastena sahopeyādyathā pṛṣṭhyena janitram
28.5.13	saṃtani pūrvaprayuktamāvṛttisāmatvāt
28.5.14	apatyaṃ saṃprayogāt
28.5.15	yaṇvaṃ tu syāt
28.5.16	upariṣṭādyadabhiplavānāṃ lopasthānaṃ pūrvasmin pakṣasi tatpurastādāvṛttānām
28.5.17	ekasmiṃścaitadeva dṛṣṭam
28.5.18	etenoktamekaṣaṣṭirātre
28.5.19	śatarātre 'bhiprāyamabhiṣuṇvanti / samānatrabhiṣuṇvantīti savikalpaḥ syāt
28.5.20	yāvantaḥ sunuyuryathā sārasvateṣu yatra tu kva ca samāne deśe vā yathānyeṣām
28.5.21	ayānta eva cakrībhavanti sadohavirdhānāni kārayitvāhaḥsaṃsthāsu cakrāṇi viparivartayeyurityācāryāstadabhiprāyāttadrūpam
28.5.22	aprayāṇāt samānatrābhiṣavaḥ
28.5.23	aharaharetat kuryuriti dhānaṃjayyaśāṇḍilyau
28.5.24	abhiplava eveti gautamaḥ
28.5.25	pṛṣṭhya eke
28.5.26	trikadrukeṣveke
28.5.27	uktakālā dīkṣā brāhmaṇena gavāmayanasya
28.5.28	vaiśākhajyaiṣṭhau tu vikalpete / caitrīpakṣeṇāṣāḍhaśca
28.5.29	ṣaṣṭhyāṃ vā dīkṣitvā saptadaśa dīkṣāḥ kurvīran
28.5.30	etenoktamanādeśe sāṃvatsarikānāṃ sāṃvatsarikānām
29.1.1	pañcasu māḥsu bārhatāḥ pragāthāḥ āpyanta ityabhīvartastotrīyāḥ
29.1.2	brahmasāmabhūtasya tasya hi prakaraṇe śrūyante
29.1.3	anyonyaḥ pragātha iti ca nānāpragāthastaṃ darśayati
29.1.4	catuḥśatamaindrā bārhatāḥ pragāthā daśatayīṣu
29.1.5	teṣāṃ bṛhadrathantarakāleyastotrīyā indrakratuścānyatra sthāne
29.1.6	śatasyaikaṃ caturviṃśe kuryāditarānabhiplaveṣu
29.1.7	ekonatriṃśatsātobārhatāstṛcāsteṣāmekakaṃ tṛtīye tṛtīye 'hani kuryāt
29.1.8	kṛtā hyetasmin sthāna ārṣeyakalpena
29.1.9	pañcamasya māsasyottame 'bhiplave pañcame 'hani satobṛhatīḥ kuryāt / pragāthāprabhavāt
29.1.10	teṣvāpteṣu chandasī saṃyujyaitavyamiti ṣaṣṭhe māse
29.1.11	gāyatrīpādamekakamuṣṇihāmupariṣṭāt kuryāt
29.1.12	viṣṭāvānupapattirhyanyathā
29.1.13	sātobārhataśeṣo 'ṣṭau tān kṛtvā saṃyoga iti gautamaḥ
29.1.14	bṛhatīkṣayāddhyevamāmanatīti
29.1.15	caturuttaraireva chandobhiretavyamiti gāyatrīṃ caturviṃśe kuryāduṣṇihaṃ prathama ābhiplavike 'nuṣṭubhaṃ dvitīye bṛhatītareṣu
29.1.16	uddharettu pañcamādahnaḥ satobṛhatīḥ prabhavanti hi pragāthāḥ
29.1.17	tatra paṅktiḥ kṛtvā ṣaṣṭhe vā triṣṭubhā ṣaṣṭhaṃ māsamīyurjagatī tṛtīye svarasāmni
29.1.18	navasātobārhataśeṣo dvau ca pragāthau tān kṛtvā paṅktimupeyusteṣāṃ vottamasya sthāne taṃ ṣaṣṭhe tata ūrdhvaṃ triṣṭubheti gautamaḥ
29.1.19	bṛhatyā caiva triṣṭubhā caitavyamiti
29.1.20	triṣṭubhaṃ caturviṃśe kuryāt / bṛhatīṃ prathama ābhiplavike
29.2.1	eṣa viparyāsaḥ sarvasminnayane
29.2.2	etāni mahānānātvāni
29.2.3	caturuttaraprayogo bṛhatītriṣṭubhośca viparyāsaḥ ṣaṣṭha eva māse syāditi śaucivṛkṣiḥ
29.2.4	saṃśara iva vā eṣa chandasāmiti hi tasminnupodya vidadhāti
29.2.5	sarvatraivetyācāryāḥ
29.2.6	caturuttarāṇi hyanupūrvaṃ prayuñjāno bṛhatīṃ madhya āmanati
29.2.7	triṣṭubhā ṣaṣṭhaṃ māsamiti cāha
29.2.8	bṛhatīkṣayātpunarviparyāsastasminnopapadyate
29.2.9	sāprāyyeṇa bṛhatīgrahaṇamiti śaucivṛkṣiḥ
29.2.10	pañca māsa iti vā rātrayaḥ
29.2.11	striṣṭubheti yathā bhūyasavādaḥ
29.2.12	akṣīṇāśca bṛhatyaḥ
29.2.13	sātobārhataśeṣo hyaṣṭau bṛhadrathantarakāleyastotrīyāśca
29.2.14	naistriṣṭubho vyatyasyet
29.2.15	taraṇiritsiṣasatīti kāleyaṃ syādyadahastasya stotrīye 'bhīvartaḥ
29.2.16	tvāmiddhīti rathantaraṃ yadahastasya
29.2.17	svarasāmnorvānyatarasmin rathantarasya stotrīyaṃ kuryāt
29.2.18	kṛtā hi tatrānyā rathantarasya
29.2.19	evaṃ vyācakṣata ācāryāḥ
29.2.20	viṃśatiśataṃ tvapi pragāthānadhīyate / tebhya eva prayuñjīta
29.2.21	saṃrodho hi catuḥśate
29.2.22	tatra tathaiva sato bṛhatīḥ kuryāt
29.2.23	uddharettu pañcamādahnaḥ
29.2.24	śaucivṛkṣeḥ punarviparyāso 'nyāyyena
29.2.25	akṛtakriyā hi vidhānam / kṛtāḥ punarbṛhadrathantarakāleyastotrīyāḥ
29.3.1	viṃśatiśatasya tu śeṣo vidyate / teṣāṃ saptabhiḥ sāto bārhataiśca caturbhirvyatyasyet
29.3.2	trayastriṃśatprabhṛtīn saha caturviṃśeṣu kuryāduttame ca svarasāmnītyācāryāḥ
29.3.3	abhīvartaprakaraṇe hi śrūyante / so 'trāpyabhīvarta iti
29.3.4	antareṇa tvetāvārṣeyakalpena kṛtaṃ ṣaṭpragāthamihāpi tathaiva syāt
29.3.5	teṣāṃ yatra samaprayoge tṛtīye tṛtīye 'hani satobṛhatya upapadyeran kuryādetāstatra
29.3.6	anupapadyamānāsu pragāthā eva syuḥ
29.3.7	anācāro hi ṣaḍahe 'nyatra tṛtīyādahnaḥ satobṛhatīnām
29.3.8	sa yathaiva purastādabhīvartastotrīyān kuryyāt tathopariṣṭādindrakratau brahmasāmāni nidhanavanti tacchandasyāni
29.3.9	tacchandasyābhāve 'pyanyāni gītinidhanopetāni
29.3.10	evamupekṣitamindrakratupragāthamanugṛhvannāhatamastūyamānamanuśaṃsayan sā māni pratikalpayet
29.3.11	na vā śaṃsayediti gautamaḥ
29.3.12	janitraṃ viśvajiti
29.3.13	yāni pṛṣṭhye tāni dāśarātrike pṛṣṭhye
29.3.14	catvāryeṣāṃ chandomeṣu yathābhāgaṃ yathāpṛṣṭhaṃ vā
29.3.15	paurumīḍhaṃ vrate śyaitaṃ vā
29.3.16	atirātracaturviṃśābhyāṃ saha ṣaṣṭho māsaḥ pūrvasminpakṣasi
29.3.17	vratātirātrābhyāṃ prathama uttarasmin
29.3.18	yadetāni sāmāni na cyavanta iti gaurīvitasyottarayornihavaśyāvāśve syātāṃ sarvatra gavāmayane
29.3.19	anārabhyācyavanaṃ vidadhātītyeke
29.3.20	anvavetyavidhistvārṣeyakalpena kṛto gaurīvitaśyāvāśvayornihavasya ca
29.3.21	brāhmaṇe na tathā satyacyavanaṃ syāt
29.4.1	sarve sahartvijo mahāvratena stuvīrannityudgātṛvikāra eva syāt
29.4.2	aśrutibhūtā hyanye
29.4.3	avāpyante ca sarvaśabdasteṣveva
29.4.4	saha stuvīranniti karmasamavāyāt
29.4.5	paurvāparyadarśanādanupūrvaṃ stavanaṃ syāt
29.4.6	tisṛbhirudgātātmana udgīyeti cātmanā jaghanyastavanaṃ darśayati
29.4.7	nanādeśastavanaṃ chandogānāmeva syāt
29.4.8	udgātaiva sarveṇodgāyediti hyuktvā tasya deśān vidadhāti
29.4.9	havirdhāne śirasā stutvā saṃrabdhāḥ pratyañcameyuste dakṣiṇena dhiṣṇyān parītya paścānmaitrāvaruṇasya dhiṣṇyasyopaviśyeti ca ye śirasā stuvate teṣāmevetaraiḥ stavanaṃ darśayati
29.4.10	ilāndamagniṣṭomasāma kārya‚matyagne tavaśravovaya ityetāsāṃ pūrvāsu tisṛṣu daśākṣareṣvārcikānyanugānāni
29.4.11	evaṃ tṛce bhavati
29.4.12	ṣaḍṛca ityācāryā ardharceṣvanugānāni
29.4.13	dvādaśarca iti śāṇḍilyaḥ
29.4.14	tatrāparāvāgneyau tṛcāvāharedāte agne 'gniṃ taṃ manya iti
29.4.15	caturthamevānugānaṃ tṛca iti vārṣagaṇyaḥ
29.4.16	atra hi nidhanavādaṃ vadati / vratamiti bhavati / svariti bhavati / śakuna iti bhavatīti
29.4.17	bhaktayaśca kalpānte
29.4.18	nānāsāmavaccainānyeke 'dhīyate 'dhīyate
30.1.1	chandomadaśāhayordaśamasya trayastriṃśamagniṣṭomasāma syādityeke trikaṃ sārparājñaṃ daśamapradeśāt
30.1.2	yathābhūyasavādaścaturviṃśamiti
30.1.3	ṛksāmāni tu pradiśyante daśamātsarvaṃ hyaharadhikṛtya codyate caturviṃśameva
30.1.4	na cāvakṣyat
30.1.5	pratyakṣavidhānācca yathābhūyasavādaḥ
30.1.6	brāhmaṇavihite ca stome kalpapradeśa ṛksāmnāṃ bhavati
30.1.7	triṃśinaḥ sutyāmāsāḥ sarvatra saṃcakṣīran
30.1.8	kauṇḍapāyināmayane ca hāviryajñikān
30.1.9	tāpaśvite ca daikṣopasadān
30.1.10	dṛtivātavatorayane dvāvekonau māsau sunuyuḥ
30.1.11	trivṛtāviti gautamaḥ
30.1.12	trayastriṃśāviti dhānaṃjayyaḥ
30.1.13	ubhau vā triṃśinau syātām / yathaitadbrāhmaṇam
30.1.14	tathā satyaṣṭamyāṃ pūrvapakṣasya dīkṣitvā pañcadaśadīkṣāḥ kurvīran
30.1.15	etenoktaṃ sarpasatre
30.1.16	pañcadaśānāṃ daśamasyāhnaḥ āṣṭādaṃṣṭrāntānyukthāni syurityācāryāḥ / ṣoḍaśāpāyāddhi nivṛttaṃ nārmedham
30.1.17	yathā trivṛtsu maukṣamukthāpāyāditi
30.1.18	avacanāttu nivṛttirna syādyathānyeṣāṃ sāmnām
30.1.19	vacanaṃ ca kāraṇaṃ nārmedhasya na ṣoḍaśī dṛśyate cābhīkṣṇamaṣoḍaśikeṣu
30.1.20	tasyāyanavicāraḥ
30.1.21	pṛṣṭhyenaikako māso vartetetyeke
30.1.22	pṛṣṭhyastomeneti śāṇḍilyaḥ
30.1.23	abhiplavapṛṣṭhyābhyāmiti śaucivṛkṣiḥ
30.1.24	pṛṣṭhyasyāhnaikakeneti śāṇḍilyāyanadhānaṃjayyau
30.1.25	jyotiṣṭomeneti lāmakāyanaḥ
30.1.26	tasya rathantaraṃ pṛṣṭhaṃ bṛhacca vyatyāsam
30.1.27	yathārṣeyakalpasamāmnāya iti kṣairakalā‚mbhaḥ
30.2.1	paurṇamāsīprabhṛtayo dīkṣāḥ kauṇḍapāyinasya
30.2.2	tasyopasadanta upavasathavat karma kṛtvātirātramupeyuriti śāṇḍilyaḥ evaṃ hi gṛhyate vṛttiḥ
30.2.3	hutisaṃsthā ekānnatriṃśatamahānyagnihotraṃ juhuyuḥ
30.2.4	māsameveti gautamaḥ
30.2.5	sutyānāṃ tu purastādupavasathakarma syādatirātraścaivaṃ ca gṛhyate vṛttiḥ
30.2.6	avyavāyaśca haviryajñaiḥ sutyānām
30.2.7	aśravaṇādatirātro na syāditi dhānaṃjayyaḥ
30.2.8	pratyantāddhyanyeṣu codayanneha vidadhātīti
30.2.9	tasyopasadanta evopavasathakarma kuryuraṣṭādaśabhyo vordhvaṃ śaunāsīryebhyo rājānaṃ krīṇīyurevamanantaraṃ sutyābhyo bhavatīti
30.2.10	dīkṣopasadāṃ vyavāyo 'nyāyya iti śāṇḍilyāyanaḥ
30.2.11	te māsi somaṃ krīṇantīti vānantaraṃ dīkṣābhyaḥ darśayati
30.2.12	upavasathakarmaivānantaraṃ sutyābhyaḥ syāditi
30.2.13	āgnīdhrīyādaṅgārānmārjālīyaṃ hṛtvā pṛthak sthālīpākāṃśca śrapayitvā pitṛyajñān kurvīran
30.2.14	tato dakṣiṇātipraṇayeyuḥ paitṛyajñikāyām
30.2.15	āhavanīyāddakṣiṇato varuṇapraghāseṣu
30.2.16	tasmin kuryuryaddakṣiṇata āhavanīye kṛtyam
30.2.17	upavasathakarma cet kṛtaṃ syāt
30.2.18	yathāprakṛtyakṛte
30.2.19	agnihotramāse dīkṣitānnasyādhvaryurjuhuyādanvārabdhā itare syuḥ
30.2.20	havīṃṣyeveṣṭyayaneṣūpālabheran
30.2.21	agnihotropasthānaṃ viṣṇukramāḥ samiṣṭyajūṃṣīti na kriyeran
30.2.22	avabhṛthanyaṅgaṃ ceti śāṇḍilyāyanaḥ
30.2.23	samidhastvādadhyustatra purastāduktāḥ syuḥ
30.2.24	sarvaṃ kriyeteti dhānaṃjayyaḥ
30.2.25	māsaṃ darśapaurṇamāsābhyāmityāmāvāsyena pūrvapakṣamuttaraṃ paurṇamāsyena
30.2.26	āmāvāsye pitṛyajñaḥ sakṛdbhatnatvā na syāditi gautamaḥ
30.2.27	sakṛcca na syāditi śāṇḍilyaḥ
30.2.28	aharahaḥ syāditi dhānaṃjayyaḥ
30.3.1	māsaṃ sākamedhairiti brāhmaṇamanusaṃdhatte māsaṃ sākamedhairiti gṛhamedhīyeneṣṭvā tadaiva śeṣaṃ saṃsthāpayeyuḥ
30.3.2	evaṃ triṃśatkṛtva upetā bhavantīti
30.3.3	dvyahāpavargastveṣāṃ prakṛtau pañcadaśakṛtva evābhyasyeyuḥ sa māsaḥ
30.3.4	agnihotraṃ daśahoteti daśahotāraṃ nāmādhvaryavo 'gnihotropasthānamadhīyata ṛtvija uttarairabhiperatā vaṣaṭkāriṇo 'dhvare
30.3.5	atsarukaścamasairbhakṣayeyuḥ kuṇḍapratirūpaiḥ
30.3.6	hotrā samāsa ukto brāhmaṇena
30.3.7	svādāsanādupasaṃcāraṃ brahmetare hotre kuryāt
30.3.8	tathodgātṛprastotārāvāgnīdhraśca
30.3.9	vyatikramameke śāstrasaṃbhavāt
30.3.10	yo neṣṭā sa udgātetyabhaviṣyat
30.3.11	gṛhapatirgṛhapatiḥ subrahmaṇyaḥ iti asamāsaṃ tayordarśayati
30.3.12	etenoktastāpaścitasya dīkṣādiḥ
30.3.13	tasyāyanavicārāḥ
30.3.14	jyotiṣṭomo 'tirātraḥ ṣoḍaśimānaharahaḥ syāditi dhānaṃjayyaḥ
30.3.15	catvāro jyotiṣṭomā abhijideṣa pañcāhaḥ ṣaṭsu māseṣvabhyasyeta
30.3.16	mahāvrataṃ viṣuvān
30.3.17	athaita evāvṛttāstairāvṛttairuttarān ṣaṇmāsān
30.3.18	viśvajidabhijitsthāne
30.3.19	tatpuruṣasya nārāyaṇasyāyanam
30.3.20	eṣa eva pañcāhaḥ kevalaḥ kṛtsnaṃ saṃvatsaraṃ māsānteṣu viśvajidabhijitsthāne tadyāvajjīvāyanaṃ buravate
30.3.21	stotrīyā hi varṣaśatabhakti samāse
30.3.22	abhijidaharahastadagneḥ
30.3.23	jyotiṣṭomo vā rathantarapṛṣṭhaḥ
30.3.24	bṛhatpṛṣṭha indrasya
30.3.25	vyatyāse bṛhadrathantare ṣaṣṭhe syātāṃ tadindrāgnyoḥ
30.3.26	tadindrāgnyorayanam
30.3.27	ubhayasāma brahmaprajāpatyoḥ
30.3.28	vāyorvairūpapṛṣṭho vrataṃ vā
30.3.29	ādityasya vairājapṛṣṭho viśvajidā
30.3.30	apāṃ śakvarīpṛṣṭhaḥ
30.3.31	gavāṃ revatīpṛṣṭhaḥ
30.3.32	prajāpatervāmadevyapṛṣṭhaḥ
30.3.33	viśveṣāṃ devānāṃ svarapṛṣṭhaḥ
30.3.34	sūryasya mahādivākīrtyapṛṣṭhaḥ
30.3.35	mahendrasya mahāvratapṛṣṭhaḥ
30.4.1	kṣullaka tāpaścitamahātāpaścitayordīkṣopasatsutyāmāsāḥ pṛthakcaturvargāḥ saṃvatsarāḥ parasya
30.4.2	saṃvatsarāḥ parasya
30.4.3	ayanamāsato vṛddhisaṃrodhau gavāmayane klṛptau
30.4.4	uttarasyāyanavicārāḥ
30.4.5	gavāmayanaṃ caturupeyuḥ
30.4.6	pūrvāṇi vā trīṇi dṛtivātavatorayanacaturthānyupeyuḥ
30.4.7	kausurubindaṃ vāyanaṃ syāt
30.4.8	jyotiṣṭomena vā
30.4.9	tena trīṇyuttarāṇi
30.4.10	tasya rathantaraṃ pṛṣṭhaṃ bṛhacca vyatyāsam
30.4.11	dṛtivātavatorayaneneti kṣairakalā‚mbharyathārṣeyakalpasamāmnāya iti
30.4.12	agniṣṭomāstrivṛta ukthyāḥ pare iti
30.4.13	tatrāvacanādatirātrā na syurviṣuvantaśceti śāṇḍilyaḥ
30.4.14	itaraḥ satranyāya iti dhānaṃjayyaḥ
30.4.15	atirātrāvabhitaḥ syātām
30.4.16	madhye viṣuvān bṛhatpṛṣṭho rathantaramadhyaṃdinaḥ pañcadaśasaptadaśaḥ
30.4.17	ekakasminvai tatsaṃvatsaravarge syāt
30.4.18	uttame vā vargāṇām
30.4.19	pṛthagvā saṃvatsareṣu
30.4.20	teṣāṃ yathāstomaṃ viṣuvantaḥ syuḥ
30.4.21	rathantarapṛṣṭho bṛhadbrahmasāmā trivṛtāṃ syāt
30.4.22	bṛhatpṛṣṭho rathantaramadhyaṃdinaḥ pareṣu
30.4.23	yajanīye 'hani prasavaḥ syāt / pūrvvapakṣe samārddhamāsātivartiṣu
30.4.24	aparapakṣe viṣameṣu
30.4.25	sahasrasāvye sahātirātrābhyāṃ sahasramahānyācāryāḥ sahasrasāvyamiti hyāha
30.4.26	antareṇeti śaucivṛkṣiḥ
30.4.27	sahasramahānītyantareṇātirātrāvāha
30.4.28	tasyāyanakalpaḥ
30.4.29	atirātrastrikadrukastrirātrāścatuḥṣaṣṭiśatamabhiplavānāṃ rātro vratamatirātra iti vratamatirātra iti
31.1.1	dakṣiṇe tīre sarasvatyā vinaśanasya dīkṣeran sārasvatāya
31.1.2	ṣaṣṭhyāṃ pūrvapakṣasyeti gautamo 'māvāsyāyāmatirātraḥ syāt
31.1.3	evaṃ svasthānamāmāvāsyaṃ prayujyate
31.1.4	saptamyāṃ vā dīkṣitvāmāvāsyāyāṃ yajanīye 'hani prasavaḥ syāditi dhānaṃjayyaḥ / samādhaya uttarābhyāṃ sutyābhyām
31.1.5	svasthānaṃ caivāmāvāsyaṃ prayujyate
31.1.6	pūrvapakṣo hyāmāvāsyasthānamiti
31.1.7	purā rātreḥ sāyaṃ dohaṃ dohayeran
31.1.8	saṃsthite 'tirātre prātardoham
31.1.9	tena sānnāyyena yajeran
31.1.10	sānnāyyeneṣṭvādhvaryuḥ śamyāṃ parāsyatītyāhavanīyanyantena tiṣṭhan prāṅmukho nityeṣṭisaṃsthānastu prāsyet
31.1.11	taduktaṃ brāhmaṇena
31.1.12	cakrīvattā ca
31.1.13	tathāpi patnīśālā syācchāmitraśca
31.1.14	tāni yathādeśaṃ varteran samaścedbhatnamibhāgaḥ syāt
31.1.15	anupūrvaṃ viṣame
31.1.16	vedeḥ pāṃsūn hareyustathottaravederviṣṇyebhyaśca
31.1.17	tānniviśya yathāyatanaṃ nivapeyuḥ
31.1.18	ulūkhalabudhno yūpaḥ iti pṛthubudhnaḥ syāt
31.1.19	prakṛṣya iti taṃ pūrvaṃ karṣayeyurevānudyacchantaḥ
31.1.20	upopta evetyanikhātastiṣṭhetpāṃśubhiḥ paryuptaḥ
31.1.21	noparavān khanantītyadhiṣavaṇaphalakayoradhastāduparavā nāma śvabhrāsteṣāṃ pratiṣedhaḥ
31.1.22	ālikheyurevainānna khaneyuḥ
31.1.23	teṣāṃ paurṇamāsyāṃ goṣṭomo bhavatīti
31.1.24	yajanīye 'hani syādityācāryāḥ
31.1.25	saṃsthite goṣṭome paurṇamāsamiti saṃsthānāntādvidadhāti
31.1.26	te tamāpūryamāṇaṃ te tamapakṣīyamāṇamiti kṛtsnavatpakṣābhidhānam
31.1.27	parvaṇi tveva syāt
31.1.28	teṣāṃ paurṇamāsyāṃ teṣāmamāvāsyāyāmiti hi pratyakṣeṇa vidadhāti
31.1.29	karmānantarīyamātraṃ ca saṃsthā darśapaurṇamāsayoḥ
31.1.30	te tamāpūryamāṇaṃ te tamapakṣīyamāṇamiti ca yathābhūyasavādaḥ
31.1.31	saṃsthite goṣṭome tad ahar eva paurṇamāsena haviṣeṣṭvodyuñjerann iti dhānaṃjayyaḥ
31.1.32	ayajamānās tatraiva tāṃ rātriṃ vaseyur iti śāṇḍilyaḥ
31.2.1	etenāyur vyākhyātaḥ
31.2.2	tatra dhānaṃjayyenāmāvāsyāyāṃ sāyaṃdohaṃ dohayeran purā prātaranuvākātprātardohamiti
31.2.3	aticiramevaṃ dugdhaṃ sānnāyyaṃ tiṣṭhediti śāṇḍilyāyanaḥ
31.2.4	itarayorevānyatarat kuryuḥ
31.2.5	kauṇḍapāyine bhojanamuktamiṣṭyayaneṣu
31.2.6	darśapūrṇamāsadharmāśca
31.2.7	candrapramāṇāstveva parvasu syuḥ
31.2.8	taddhi pratyekāpyetīti dṛṣadvatyā apyaye aponaptrīyāmiṣṭiṃ nirvaperanyadi sodakā syāt
31.2.9	apyanudakāyāmiti dhānaṃjayyaḥ
31.2.10	śate goṣvṛṣabhamapyṛjantīti vatsatarīśate agarbhiṇīṣu
31.2.11	tā yatra gavyamabhayaṃ syāttatra rakṣeyuḥ
31.2.12	puṅgavaistāsāṃ bhuñjīran sarpiṣā ca
31.2.13	tāsu sahasraṃ saṃpannāsu pūrvapakṣe gāmatirātraṃ kṛtvā datvainā ṅkuttaṣṭheyuḥ
31.2.14	yadā sarvajyāniṃ jīyanta iti tāsāmevādhikāraḥ / prakaraṇa bhūtatvāt
31.2.15	tatra viśvajidatirātraḥ
31.2.16	mṛte gṛhapatāvāyuḥ
31.2.17	prādurbhāvāntādetayorāpadoruttiṣṭheyurapyaparapakṣe
31.2.18	na sakṛcca na sarasvatyāmavabhṛthamabhyaveyurdevayajanabhūtā hyeṣā bhavati
31.2.19	avidyamāne sarasvatyā evoddhāraṃ pārśvatastu
31.2.20	yadā plakṣaṃ prāsravaṇamāgacchantyathotthānamiti
31.2.21	tathā prāsyeyuryathainaṃ pūrvapakṣa āgaccheyuḥ
31.2.22	taṃ prāpya prāyaṇīyamatirātramupetyottiṣṭheyuriti śāṇḍilyaḥ
31.2.23	yadenātkiṃcidutthānamāgacchet prāyaṇīyamevātirātramupetyottiṣṭheyuriti dhānaṃjayyaḥ
31.2.24	plakṣaṃ prāsravaṇaṃ prāpya purastādatirātrasyāgnaye kāmāyeṣṭiḥ syāditi śāṇḍilyaḥ / upariṣṭāditi dhānaṃjayyaḥ
31.2.25	tasyāmaśvāṃ ca puruṣīṃ ca dhenuke yajñopakaraṇaśeṣāṃścābhirūpāyānyasmai dadyuḥ
31.2.26	svāmino hi sarve satreṣu teṣāṃ pratigrahaṇaṃ na vidyate iti
31.2.27	ukto 'vabhṛtho brāhmaṇena
31.2.28	apṛṣṭhaśamanīyametat
31.3.1	etenaivottare vyākhyāte
31.3.2	tatrāgnaye kāmāyeṣṭiraponaptrīyā ca sruvahomau syātām
31.3.3	iṣṭirevāgnaye kāmāyopariṣṭāccedatirātrasyeti śāṇḍilyaḥ
31.3.4	parvaṇorindrakukṣī
31.3.5	paurṇamāsyāmabhijit
31.3.6	pūrvasyāgniṣṭomau trivṛtī rāthantarabārhate pūrvapakṣa ukthye pañcadaśe rāthantarabārhate aparapakṣa iti gautamaḥ
31.3.7	te na pakṣayoḥ saṃcārayet
31.3.8	sarvatra tveva trivṛtpañcadaśau vyatyāsaṃ syātām
31.3.9	tayoryasminnanupete parvāgacchettenottaraṃ pakṣamupakrameta
31.3.10	etenoktamuttarasya trikadrukeṣu
31.3.11	dārṣadvatataurayorvratāni
31.3.12	tiṣṭheddivāsīta naktam
31.3.13	havirucchiṣṭabhojī syāt
31.3.14	amāṃsāśī
31.3.15	alavaṇāśī
31.3.16	na striyamupeyāt
31.3.17	yathā prakṛtyāhitāgnivṛttiṃ vartayet
31.3.18	dārṣadvate saṃvatsaraṃ brāhmaṇasya gā rakṣedṛtvija ācāryasya vā
31.3.19	naitandhavānāmārmmāḥ sarasvatyāṃ teṣāmeko vyarṇastasmin saṃvatsaramagnimindhītathaikāgneḥ paricaryā tayā
31.3.20	agnihotrameva juhvat purastāccedāhitāgniḥ
31.3.21	saṃvatsarādūrdhvaṃ parīṇaṃ nāma sthalī kurukṣetre tasyāmagnīnādhāya yathākālamanvārambhaṇīyeṣṭyeṣṭvā prasṛjyeteti śāṇḍilyaḥ
31.3.22	darśapūrṇamāsābhyāṃ yajeteti dhānaṃjayyaḥ
31.3.23	sāyaṃprātarāhutīreva hutvā purastāccedāhitāgniḥ
31.3.24	sarasvatīdṛṣadvatyoḥ saṃbhedaṃ prāpyāgneyenāṣṭākapālena yaṣṭumupakrameta
31.3.25	atra śamyāprāsanaṃ yathā sārasvateṣu
31.3.26	na tu prakramān prakrāmet
31.3.27	kāmamanekāmiṣṭimekakenāhnā saṃsthāpayet
31.3.28	dṛṣadvatyā dakṣiṇena tīreṇeyāt
31.3.29	tasyāḥ prabhavyamarmaṃ prāpyaitayeṣṭyeṣṭvā triplakṣāpaharaṇaṃ prati yamunāmavabhṛthamabhyaveyāt
31.3.30	yatra kva ca tato dūre yamunātīre syāditi dhānaṃjayyaḥ
31.3.31	tatraitayeṣṭyeṣṭvā svayaṃ sāma gāyannavabhṛthamabhyaveyāt
31.3.32	agāyanvā
31.3.33	pravrajiṣyato 'yanamidaṃ manya iti śāṇḍilyaḥ
31.3.34	tadaiva manuṣyebhyastirobhavatīti svargaṃ lokamākramate
31.3.35	vyāvartate śreyān bhavatīti vā
31.3.36	na grāmaṃ punareyāditi vā
31.3.37	udakāntardhānādvā
31.3.38	yathā sarajasa iti
31.4.1	saṃvatsaramaharahastaureṇa yajeta
31.4.2	ṣaṣṭhyāṃ caitrī pakṣasyetyācāryāḥ
31.4.3	pañcamyāmiti śāṇḍilyāyanaḥ
31.4.4	prātarāhutiṃ hutvā vratopāyanīyamodanamaśitvā keśaśmaśrūṇi vāpayitvāhataṃ vasanaṃ paridhāya parisamuhyāgnīn paristīrya praṇītāḥ praṇīya daṇḍaṃ pāṇau kṛtvā mekhalāmābadhya navanītenāṅgānyabhyañjya paścāt gārhapatyasyopaviśya svayaṃ kṛṣṇājinaṃ pratiṣajyeta tūṣṇīm
