#Text:Āpastambaśrautasūtra
#Data entry:M. Fushimi



1.1.1	athāto darśapūrṇamāsau vyākhyāsyāmaḥ
22.27.15	tiṣṭhā harī kasya vṛṣety aindravāyavasya / tṛtīyā maitrāvaruṇasya / caturthy āśvinasya / pañcamī ṣaṣṭhī ca śukrāmanthinoḥ / saptamy āgrayaṇasya
22.27.16	nityokthyasya
22.27.17	niyunakti dhruvaindrāgnavaiśvadevānām
22.27.18	nityā marutvatīyamāhendrāṇām
22.27.19	ā no viśvābhir ūtibhir iti tisra ādityagrahasya / uttamā sāvitrasya
22.27.20	niyunakti vaiśvadevapātnīvatayoḥ
22.27.21	nityā hāriyojanasya
22.27.22	vyākhyāto 'ptoryāmaḥ
22.28.1	rājābhiṣekṣyamāṇo janapadeṣu samaveteṣu dvayoḥ puṇyāhayoḥ pūrvasmin sthaṇḍilaṃ kalpayitvāgnim upasamādhāya saṃparistīrya vasati
22.28.2	udita āditye ye keśino narte brahmaṇa iti dve āhutī hutvā rāḍ asi virāḍ asīti yajamānāyatana audumbarīm āsandīṃ pratiṣṭhāpayati
22.28.3	tāṃ rājārohati
22.28.4	āroha proṣṭham ity ārohantam abhimantrayate
22.28.5	atra varaṃ dadāti
22.28.6	tasyām āsīnaḥ keśān vāpayate yenāvapat savitā kṣureṇeti
22.28.7	mā te keśān iti keśān prakīryamānān anumantrayate
22.28.8	tān samopya darbhastambe nidadhāti tebhyo nidhānam iti
22.28.9	athainam ājyamiśreṇa payasānakti / balaṃ te bāhuvor iti bāhū / yat sīmantam iti śiraḥ
22.28.10	vyāghro 'yam agnāv iti saptāhutīr hutvā dyaur asi pṛthivy asīti yajamānāyatane śārdūlacarma prācīnagrīvam uttaralomāstṛṇāti
22.28.11	tasmin rājopaviśati
22.28.12	vyāghro vaiyyāghra ity āsīnam abhimantrayate
22.28.13	athainaṃ tokmāvāstābhir dūrvāvāstābhir vādbhir abhiṣiñcati yā divyā āpa iti pratipadyā pāṅktāt
22.28.14	aruṇaṃ tvā vṛkam ity enam abhimantrya pra bāhaveti bāhū prasāryendrasya te vīryakṛta ity upāvaharati
22.28.15	agreṇāgniṃ ratho 'vasthito bhavati
22.28.16	abhi prehīti taṃ rājābhyeti
22.28.17	ātiṣṭha vṛtrahantama ity ārohantam abhimantrayate
22.28.18	aṅkau nyaṅkāv iti rathacakre abhimṛśati / pakṣasī vā
22.28.19	namas ta ṛṣa iti purohitam abhimantrayate
22.28.20	tiṣṭhā ratha iti sārathim
22.28.21	ā raśmīn iti raśmīn ālabhate
22.28.22	ātiṣṭha vṛtrahann iti ṣaḍbhir ārūḍham
22.28.23	pari mā senyā iti dve vācayitvottarābhis tisṛbhir abhimantryod asāv etv ity ādityam udīkṣayati
22.28.24	annavatām iti janapadān anuvīkṣate
22.28.25	saṃtiṣṭhate rājābhiṣekaḥ
22.28.26	vyākhyāto vighanaḥ
22.28.27	saṃtiṣṭhante savāḥ savāḥ
23.1.1	caturviṃśatiparamāḥ sattram āsīran
23.1.2	teṣāṃ dvādaśāhena sattrabhūtena kalpo vyākhyāto yāni purastāt saṃvatsarāt / gavāmayanenetareṣām
23.1.3	ubhayato'tirātrāṇi bhavanti
23.1.4	tṛtīyaṃ pañcadaśarātraṃ parihāpya kuṇḍapāyināṃ ca sattram
23.1.5	ṛtūnām ekādaśarātreṇa prajāṃ sṛjante prajām avarundhate prajāṃ vindante prajāvanto bhavanti
23.1.6	jyotir atirātraḥ pṛṣṭhyaḥ ṣaḍahas trayaś chandomā atirātraḥ
23.1.7	dvau trayodaśarātrau
23.1.8	yaṃ kāmaṃ kāmayante tam abhyaśnuvate
23.1.9	atirātraḥ pṛṣṭhyaḥ ṣaḍahaḥ sarvastomo 'tirātraś catvāraś chandomā atirātraḥ
23.1.10	dvitīyaṃ brahmavarcasakāmā upeyuḥ
23.1.11	atirātro dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.1.12	trayaś caturdaśarātrāḥ
23.1.13	yaṃ kāmaṃ kāmayante tam abhyaśnuvate
23.1.14	atirātraḥ pṛṣṭhyaḥ ṣaḍaha āvṛttaḥ pṛṣṭhyaḥ ṣaḍaho 'tirātraḥ
23.1.15	dvitīyaṃ yāṃs talpa udake vivāhe vā mīmāṃseran
23.1.16	atirātro jyotir gaur āyus tryahaḥ pṛṣṭhyaḥ ṣaḍaha āyur gaur jyotir atirātraḥ
23.1.17	tṛtīyam ṛddhikāmā upeyuḥ
23.1.18	atirātro goāyuṣī dvādaśāhasya daśāhāny atirātraḥ
23.2.1	catvāraḥ pañcadaśarātrāḥ
23.2.2	devatvaṃ gacchati
23.2.3	amāvāsyāyāṃ prāyaṇīyo 'ṣṭamyāṃ mahāvrataṃ paurṇamāsyām udayanīyaḥ / etad vā viparītam
23.2.4	atirātraḥ pṛṣṭhyaḥ ṣaḍaho mahāvratam āvṛttaḥ pṛṣṭhyaḥ ṣaḍaho 'tirātraḥ
23.2.5	dvitīyaṃ brahmavarcasakāmā upeyuḥ
23.2.6	atirātras trivṛd agniṣṭuj jyotir gaur āyus tryahaḥ pṛṣṭhyaḥ ṣaḍaha āyur gaur jyotir atirātraḥ
23.2.7	tṛtīyenobhau kāmāv avarundhate yaḥ sattre yaś cāhīne
23.2.8	trivṛd agniṣṭuj jyotir gaur āyus tryaho dvādaśāhasya daśāhāny atirātraḥ
23.2.9	caturthena praiva jāyante prajayā paśubhiḥ
23.2.10	atirātro jyotir gaur āyus tryaho dvādaśāhasya daśāhāny atirātraḥ
23.2.11	aindraṃ ṣoḍaśarātram ojaskāmā upeyuḥ
23.2.12	etā eva samahāvratāḥ
23.2.13	saptadaśarātram annādyakāmā upeyuḥ
23.2.14	atirātro jyotir gaur āyur gaur āyuḥ pañcāho dvādaśāhasya daśāhāny atirātraḥ
23.2.15	aṣṭādaśarātraṃ paśukāmā upeyuḥ
23.2.16	atirātro 'bhiplavaḥ ṣaḍaho dvādaśāhasya daśāhāny atirātraḥ
23.2.17	ekānnaviṃśatirātreṇa pra prajayā paśubhir jāyante
23.2.18	etā eva samahāvratāḥ
23.2.19	viṃśatirātreṇa brahmavarcasino 'nnādā bhavanti
23.2.20	atirātro 'bhiplavaḥ ṣaḍaho 'bhijidviśvajitau dvādaśāhasya daśāhāny atirātraḥ
23.3.1	dvāv ekaviṃśatirātrau
23.3.2	yaṃ kāmaṃ kāmayante tam abhyaśnuvate
23.3.3	atirātro 'bhiplavaḥ ṣaḍaho 'tirātro dvāv abhiplavāv atirātraḥ
23.3.4	dvitīyaṃ brahmavarcasakāmā upeyuḥ
23.3.5	somāpauṣṇaḥ paśur upālambhyaḥ
23.3.6	manor ṛcaḥ sāmidhenyaḥ
23.3.7	nidāgha upayanti
23.3.8	apa tamo ghnate
23.3.9	atirātraḥ pṛṣṭhyaḥ ṣaḍahas trayaḥ svarasāmāno divākīrtyam ahas trayaḥ svarasāmāna āvṛttaḥ pṛṣṭhyaḥ ṣaḍaho 'tirātraḥ
23.3.10	dvāviṃśatirātreṇa saṃvatsarād ebhyo lokebhyo 'muṣmād ādityād annādyam avarundhate
23.3.11	atirātro jyotir gaur āyus tryaho 'bhiplavaḥ ṣaḍaho dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.3.12	trayoviṃśtirātraṃ paśukāmā upeyuḥ
23.3.13	atirātro jyotir gaur āyur gaur āyuḥ pañcāho 'bhiplavaḥ ṣaḍaho dvādaśāhasya daśāhāny atirātraḥ
23.3.14	dvau caturviṃśtirātrau
23.3.15	yaṃ kāmaṃ kāmayante tam abhyaśnuvate
23.3.16	atirātro dvāv abhiplavau dvādaśāhasya daśāhāny atirātraḥ
23.4.1	saṃsadā caturviṃśatirātreṇa svarge loke sīdanti
23.4.2	atirātraś caturviṃśa ukthya ārambhaṇīyas trivṛd vā pṛṣṭhyastomaḥ ṣaḍahas trayastriṃśam ahar aniruktaṃ trayastriṃśaṃ niruktaṃ triṇavaṃ dve ekaviṃśe triṇavaṃ trayastriṃśam ahar niruktaṃ trayastriṃśam aniruktaṃ pṛṣṭhyastomaḥ ṣaḍahaḥ pratyaṅ trivṛd ahar aniruktaṃ jyotiṣṭomo vaiśvānaro 'tirātraḥ
23.4.3	pañcaviṃśatirātraṃ paśukāmā upeyuḥ
23.4.4	atirātro dvāv abhiplavau dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.4.5	ṣaḍviṃśatirātraṃ svargakāmā upeyuḥ
23.4.6	atirātro goāyuṣī dvāv abhiplavau dvādaśāhasya daśāhāny atirātraḥ
23.4.7	saptaviṃśatirātram annādyakāmā upeyuḥ
23.4.8	atirātro jyotir gaur āyus tryaho dvāv abhiplavau dvādaśāhasya daśāhāny atirātraḥ
23.4.9	aṣṭāviṃśatirātraṃ paśukāmā upeyuḥ
23.4.10	etā eva samahāvratāḥ
23.4.11	ekānnatriṃśadrātreṇāparimitāṃ śriyaṃ jayanti
23.4.12	atirātro jyotir gaur āyur gaur āyuḥ pañcāho dvāv abhiplavau dvādaśāhasya daśāhāny atirātraḥ
23.4.13	triṃśadrātram annādyakāmā upeyuḥ
23.4.14	atirātras trayo 'bhiplavā dvādaśāhasya daśāhāny atirātraḥ
23.5.1	ekatriṃśadrātram annādyakāmā upeyuḥ
23.5.2	etā eva samahāvratāḥ
23.5.3	dvātriṃśadrātraṃ pratiṣṭhākāmā upeyuḥ
23.5.4	atirātro goāyuṣī trayo 'bhiplavā dvādaśāhasya daśāhāny atirātraḥ
23.5.5	trayas trayastriṃśadrātrāḥ
23.5.6	yaṃ kāmaṃ kāmayante tam abhyaśnuvate
23.5.7	atirātras trayaḥ pañcāhā viśvajid atirātra ekaḥ pañcāho dvādaśāhasya daśāhāny atirātraḥ
23.5.8	dvitīyaṃ brahmavarcasakāmā upeyuḥ
23.5.9	atirātro 'bhiplavaḥ ṣaḍaho 'tirātro 'bhiplavaḥ ṣaḍaho 'tirātre 'bhiplavaḥ ṣaḍaho dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.5.10	tṛtīyam ṛddhikāmā upeyuḥ
23.5.11	atirātras trayaḥ pañcāhā atirātras trayaḥ pañcāhā atirātraḥ
23.5.12	catustriṃśadrātram indriyakāmā upeyuḥ
23.5.13	atirātro jyotir gaur āyus tryahas trayo 'bhiplavā dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.6.1	pañcatriṃśadrātraṃ paśukāmā upeyuḥ
23.6.2	atirātro jyotir gaur āyur gaur āyuḥ pañcāhas trayo 'bhiplavā dvādaśāhasya daśāhāny atirātraḥ
23.6.3	ṣaṭtriṃśadrātraṃ svargakāmā upeyuḥ
23.6.4	atirātraś catvāro 'bhiplavā dvādaśāhasya daśāhāny atirātraḥ
23.6.5	saptatriṃśadrātram annādyakāmā upeyuḥ
23.6.6	etā eva samahāvratāḥ
23.6.7	aṣṭātriṃśadrātraṃ paśukāmā upeyuḥ
23.6.8	atirātro goāyuṣī catvāro 'bhiplavā dvādaśāhasya daśāhāny atirātraḥ
23.6.9	ekānnacatvāriṃśadrātreṇānantāṃ śriyaṃ jayanti
23.6.10	atirātro jyotir gaur āyus tryahaś catvāro 'bhiplavā dvādaśāhasya daśāhāny atirātraḥ
23.6.11	catvāriṃśadrātreṇa paramāyāṃ virāji pratitiṣṭhanti
23.6.12	etā eva samahāvratāḥ
23.7.1	saptaikasmānnapañcāśadarātrā vidhṛtayaḥ
23.7.2	prathamena vi pāpmanā bhrātṛvyeṇāvartante
23.7.3	atirātras trayas trivṛto 'gnīṣṭomā atirātro daśa pañcadaśā ukthyāḥ ṣoḍaśimad daśamam ahar atirātro dvādaśa saptadaśā ukthyā atirātraḥ pṛṣṭhyaḥ ṣaḍaho 'tirātro dvādaśaikaviṃśā ukthyā atirātraḥ
23.7.4	yamātirātro dvitīyaḥ
23.7.5	yam evaiṣāṃ śrīr bhavati mitraś ca varuṇaś ca dhātā cāryamā cāṃśaś ca bhagaś cendraś ca vivasvāṃś caitāsāṃ devatānām ṛddhim ṛdhnuvanti
23.7.6	atirātro dvāv abhiplavau goāyuṣī dvāv abhiplavāv abhijid viśvajic cātirātrāv eko 'bhiplavaḥ sarvastomo navasaptadaśaś cātirātrau dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.7.7	āñjanābhyañjanas tṛtīyaḥ
23.7.8	yān na jānīyur yadā cāñjate 'bhi cāñjate jānānty enān / śubham evātman dadhate
23.7.9	gaulgulavena prātaḥsavane saugandhikena mādhyaṃdine pautudraveṇa tṛtīyasavane
23.7.10	atirātraś catvāro 'bhiplavāḥ sarvastomo 'tirātro dvāv abhiplavau dvādaśāhasya daśāhāny atirātraḥ
23.7.11	saṃvatsarasammitaś caturthaḥ
23.7.12	saṃvatsarasyarddhim ṛdhnuvanti
23.7.13	atirātraś caturviṃśa ukthya ārambhaṇīyas trivṛd vā trayo 'bhiplavā abhijit trayaḥ svarasāmāno divākīrtyam ahas trayaḥ svarasāmāno viśvajid eko 'bhiplava āvṛtta āyur gaur dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.8.1	savituḥ kakubhaḥ pañcamaḥ
23.8.2	sarvasyānnādyasya prasavaṃ gacchanti
23.8.3	atirātro nava trivṛnty ahāny agniṣṭomamukhaḥ ṣaḍaho 'tha yāni trīṇy agniṣṭomāv abhita ukthyaṃ madhye tathaiva nava pañcadaśāni tathaiva nava saptadaśāni tathaiva navaikaviṃśāni dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.8.4	ṣaṣṭhaṃ pratiṣṭhākāmā upeyuḥ
23.8.5	atirātraś catvāro 'bhiplavā mahāvrataṃ dvāv abhiplavau dvādaśāhasya daśāhāny atirātraḥ
23.8.6	saptamenātyanyāḥ prajā bhavanty ojiṣṭhā bhavanti
23.8.7	atirātraḥ ṣaḍ abhiplavā dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.8.8	ekaṣaṣṭirātram ṛddhikāmā upeyuḥ
23.8.9	deva varuṇa devayajanaṃ me dehīti devayajanam adhyavasāya juhoti
23.8.10	atirātraś caturviṃśa ukthya ārambhaṇīyas trivṛd vā pṛṣṭhyaḥ ṣaḍahas trayo 'bhiplavā abhijit trayaḥ svarasāmāno divākīrtyam ahas trayaḥ svarasāmāno viśvajid āvṛttaḥ pṛṣṭhyaḥ ṣaḍaha eko 'bhiplava āvṛtta āyur gaur dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.8.11	devānāṃ śatarātreṇa sarvam āyur yanti vasīyāṃso bhavanti
23.8.12	atirātro jyotir gaur āyus tryahaś caturdaśābhiplavā dvādaśāhasya daśāhāni mahāvratam atirātraś ca
23.8.13	abhiprayāyābhiṣuṇvanti samānatra vā
23.9.1	ādityānāmayanena prajātiṃ bhūmānaṃ gacchanty abhi svargaṃ lokaṃ jayanty eṣu lokeṣu pratitiṣṭhanti
23.9.2	gavāmayanena vyākhyātam
23.9.3	sarve 'bhiplavāḥ
23.9.4	māsās trivṛtpañcadaśā madhyepṛṣṭhyā bhavanti
23.9.5	abhijitaḥ sthāne trivṛd bṛhaspatisavaḥ / viśvajitaḥ sthāne pañcadaśa indrastoma ukthyaḥ
23.9.6	tasmād anantaraṃ pṛṣṭhyābhiplavāv upetya dvādaśāhīyasya daśarātrasya vyūḍhā agniṣṭomās trivṛtaḥ
23.9.7	udbhidvalabhidbhyām iti dvyūno māsaḥ pūryate
23.9.8	āyuṣaṃ gāṃ copetya chandomadaśarātraḥ pratyaṅṅ aṣṭācatvāriṃśaṃ catuścatvāriṃśaṃ catvāriṃśaṃ ṣaṭtriṃśaṃ dvātriṃśaṃ triṃśaṃ dve aṣṭāviṃśe pañcaviṃśaṃ caturviṃśam
23.9.9	mahāvratodayanīyābhyām iti dvyūno māsaḥ pūryate
23.9.10	etenāṅgirasāmayanaṃ vyākhyātam
23.9.11	svargakāmā upeyuḥ
23.9.12	trivṛto 'bhiplavāḥ
23.9.13	māsāḥ purastātpṛṣṭhyā bhavanti prāgviṣuvataḥ / ūrdhvaṃ viṣuvata upariṣṭāt pṛṣṭhyāḥ pañcadaśinaḥ
23.9.14	chandomadaśarātra ūrdhvastomaś caturviṃśaṃ pañcaviṃśaṃ dve aṣṭāviṃśe triṃśaṃ dvātriṃśaṃ ṣaṭtriṃśaṃ catvāriṃśaṃ catuścatvāriṃśam aṣṭācatvāriṃśam
23.9.15	mahāvratodayanīyābhyām iti dvyūno māsaḥ pūryate
23.9.16	athaikeṣām / pṛṣṭhyā ākṣyanti cādityānāmayanam abhiplavā ākṣyanti cāṅgirasāmayanam / yad anyat pṛṣṭhyābhiplavebhyas tāny ākṣyantīty ācakṣate
23.10.1	dṛtivātavatorayanena yaṃ kāmaṃ kāmayante tam abhyaśnuvate
23.10.2	atirātrāv abhitaḥ
23.10.3	trivṛtā māsaṃ pñcadaśena māsaṃ saptadaśena māsam ekaviṃśena māsaṃ triṇavena māsaṃ trayastriṃśena māsam
23.10.4	atha viṣuvān mahāvrataṃ vā
23.10.5	eta evottare māsās trayastriṃśārambhaṇās trivṛduttamāḥ
23.10.6	kuṇḍapāyināmayane māsaṃ dīkṣitā bhavanti
23.10.7	prāyaṇīyayā pracarya rājānaṃ krītvopanahya nidadhati
23.10.8	dvādaśabhir upasadbhiś caritvā haviryajñair yajante
23.10.9	māsam agnihotraṃ juhvati / māsaṃ darśapūrṇamāsābhyāṃ yajante māsaṃ vaiśvadevena māsaṃ varuṇapraghāsair māsaṃ sākamedhair māsaṃ śunāsīrīyeṇa // trivṛtā māsaṃ pañcadaśena māsaṃ saptadaśena māsam ekaviṃśena māsaṃ triṇavena māsam / aṣṭādaśa trayastriṃśāny ahāni dvādaśāhasya daśāhāni mahāvratam atirātraś ceti dvādaśa māsāḥ
23.10.10	sarva eva bhavanti sarvām ṛddhim ṛdhnuvanti
23.10.11	atsarukaiś camasair bhakṣayanti
23.10.12	yo hotā so 'dhvaryuḥ sa potā / ya udgātā sa neṣṭā so 'cchāvākaḥ / yo maitrāvaruṇaḥ sa brahmā sa pratihartā / yaḥ prastotā sa brāhmaṇācchaṃsī sa grāvastut / yaḥ pratiprasthātā so 'gnīt sa unnetā / gṛhapatir gṛhapatiḥ / subrahmaṇyaḥ subrahmaṇyaḥ
23.11.1	tapaścitāmayanaṃ svargakāmā upeyuḥ
23.11.2	saṃvatsaraṃ dīkṣāḥ / saṃvatsaram upasadaḥ
23.11.3	caturaścaturo māsān ekaikenopasanmantreṇa juhoti
23.11.4	anūpasadam agniṃ cinoti
23.11.5	dvaudvau māsāv ekaikā citiḥ / catura uttamā
23.11.6	catustanaṃ tristanaṃ dvistanam ekastanam iti trīṃstrīn māsān vratāni
23.11.7	saṃvatsaraṃ prasutāḥ
23.11.8	prajāpater dvādaśasaṃvatsareṇa prajāpater ṛddhim ṛdhnuvanti
23.11.9	trayas trivṛtaḥ saṃvatsarās trayaḥ pañcadaśās trayaḥ saptadaśās traya ekaviṃśāḥ
23.11.10	etad eva naimiṣīyāṇāṃ svargakāmā upeyuḥ
23.11.11	nava trivṛtaḥ saṃvatsarā nava pañcadaśā nava saptadaśā navikaviṃśāḥ śāktyānāṃ ṣaṭtriṃśat saṃvatsaraṃ tarasapuroḍāśaṃ kāpyādhvaryavam āgastyagṛhapatikam
23.11.12	saṃsthitesaṃsthite 'hani gṛhapatir mṛgayāṃ yāti
23.11.13	sa yān mṛgān hanti teṣāṃ tarasāḥ puroḍāśā bhavanti
23.11.14	etena ha vai śāktyo gaurivītis tarasapuroḍāśa ārdhnod devaloke ca manuṣyaloke carddhim ṛdhnuvanti
23.11.15	pañcaviṃśatis trivṛtaḥ saṃvatsarāḥ pañcaviṃśatiḥ pañcadaśāḥ pañcaviṃśatiḥ saptadaśāḥ pañcaviṃśatir ekaviṃśāḥ
23.12.1	sādhyānāṃ śatasaṃvatsareṇa sagavāḥ sapuruṣāḥ svargaṃ lokaṃ yanti
23.12.2	agneḥ sahasrasāvyena sarvasyānnādyasya prasavaṃ gacchanti
23.12.3	atirātraḥ sahasraṃ trivṛnty ahāny atirātraḥ
23.12.4	trīṇi sārasvatāni sattrāṇi / mitrāvaruṇayoḥ prathamam indrāgniyor dvitīyam aryamṇas tṛtīyam
23.12.5	sarasvatyā upamajjane dīkṣante
23.12.6	prāyaṇīyayā pracarya rājānaṃ krītvopanahya nidadhati
23.12.7	dvādaśabhir upasadbhiś caritvā prāyaṇīyam atirātram upetya tad ahar vatsān apākurvanti
23.12.8	saṃsthite prāyaṇīye sāṃnāyyena yajante
23.12.9	tasmin saṃsthite 'dhvaryuḥ śamyāṃ prācaḥ prāsyati
23.12.10	sā yatra nipatati tad gārhapatyaḥ
23.12.11	tasmāt ṣaṭtriṃśataṃ prācaḥ prakramān prakrāmati
23.12.12	tad āhavanīyaḥ
23.12.13	cakrīvanti sadohavirdhānāny āgnīdhraṃ ca
23.12.14	āśvatthi havirdhānam āgnīdhraṃ ca
23.12.15	ulūkhalabudhno yūpaḥ prakṛṣya upopta eva
23.12.16	noparavān khananti
23.12.17	ta etam āpūryamāṇapakṣam āmāvāsyena haviṣā yānti
23.12.18	paurṇamāsyāṃ goṣṭomaṃ bṛhatsāmānam upayanti
23.12.19	tasmin saṃsthite paurṇamāsena yajante
23.12.20	ta etam aparapakṣaṃ paurṇamāsena haviṣā yānti
23.12.21	amāvāsyāyām āyuṣṭomaṃ rathaṃtarasāmānam upayanti
23.12.22	tasmin saṃsthite sāmnāyyena yajante
23.12.23	ta evam eva vyatyāsaṃ sarasvatyā dakṣiṇena kūlena
23.13.1	ākrośantaḥ prāñco yānti
23.13.2	dṛṣadvatyā apyaye 'ponaptrīyaṃ caruṃ nirupyātiyanti
23.13.3	daśasu goṣu śate varṣabham utsṛjanti
23.13.4	yadā daśaśataṃ kurvanty athaikam utthānaṃ yadā vā śataṃ sahasram / yadā vā gṛhapatir mriyeta yadā vā sarvasvaṃ jīyeran yadā vā plākṣaṃ prasravaṇaṃ prāpnuvanti
23.13.5	plākṣaṃ prasravaṇaṃ prāpyāgnaye kāmāyeṣṭiṃ nirvapanti
23.13.6	tasyām aśvāṃ puruṣīṃ ca dhenuke dattvā kārapacavaṃ prati yamunām avabhṛtham abhyavayanti
23.13.7	dvitīye trivṛd bṛhaspatisavo goāyuṣī indrakukṣī
23.13.8	atyanyāḥ prajā bhavanty ojiṣṭhā bhavanti
23.13.9	tṛtīye jyotir gaur āyur ayanaṃ viśvajidabhijitāv indrakukṣī
23.13.10	aryamṇaḥ panthānam ārohanti devalokaṃ yanti
23.13.11	dārṣadvate saṃvatsaraṃ brāhmaṇasya gā rakṣed anaṣṭaguḥ
23.13.12	saṃvatsaraṃ vyarṇe naitandhave 'gnim indhīta
23.13.13	pariṇahy agnim ādhāya dṛṣadvatyā dakṣiṇena kūlenāgneyenāṣṭākapālena śamyāparāsīyāt
23.13.14	triḥplakṣaṃ prati yamunām avabhṛtham abhyavaiti
23.13.15	tadaiva manuṣyebhyas tiro bhavati
23.14.1	turāyaṇena sarvām ṛddhim ṛdhnoti
23.14.2	adīkṣitaḥ kṛṣṇājinaṃ pratimuñcate / manuṣīṃ tenarddhim ṛdhnoti
23.14.3	yat tapas tapyate daivīṃ tena
23.14.4	havirucchiṣṭavrato bhavati
23.14.5	saṃvatsaraṃ savanavidhā iṣṭīr nirvapati / āgneyo 'ṣṭākapāla aindra ekādaśakapālo vaiśvadevo dvādaśakapālaḥ
23.14.6	carur ity eke
23.14.7	prātaḥsavane vā sarvā
23.14.8	sarpāṇāṃ sattreṇāpa jarāṃ ghnate / ādityānām ivaiṣāṃ prakāśaḥ
23.14.9	sarvo daśadaśī saṃvatsaro dvādaśo viṣuvān
23.14.10	triṣaṃvatsaraṃ gavāmayanam ādityānām aṅgirasām
23.14.11	prājātiṃ bhūmānaṃ gacchanty abhi svargaṃ lokaṃ jayanaty eṣu lokeṣu pratitiṣṭhanti
23.14.12	prajāpateḥ sahasrasaṃvatasareṇa prajāpater ṛddhim ṛdhnuvanti
23.14.13	atirātraḥ sahasraṃ trivṛtaḥ saṃvatsarā atirātraḥ
23.14.14	pañca pañcāśatas trivṛtaḥ saṃvatsarāḥ pañca pañcāśataḥ pañcadaśāḥ pañca pañcāśataḥ saptadaśāḥ pañca pañcāśata ekaviṃśā viśvasṛjāṃ sahasrasaṃvatsaram
23.14.15	etena vai viśvasṛja idaṃ viśvam asṛjanta / yad viśvam asṛjanta tasmād viśvasṛjaḥ / viśvam enān anuprajāyate
23.14.16	viśvasṛjaḥ prathamāḥ sattram āsata sahasrasamaṃ prasutena yantaḥ / tato ha jajñe bhuvanasya gopā hiraṇmayaḥ śakunir brahma nāmeti
23.14.17	brahmaṇaḥ sāyujyaṃ salokatāṃ yanti ya etad upayanti ya etad upayanti
24.1.1	yajñaṃ vyākhyāsyāmaḥ
24.1.2	sa trayāṇāṃ varṇānāṃ brāhmaṇarājanyayor vaiśyasya ca
24.1.3	sa tribhir vedair vidhīyate
24.1.4	ṛgvedayajurvedasāmavedaiḥ
24.1.5	ṛgvedayajurvedābhyāṃ darśapūrṇamāsau
24.1.6	yajurvedenāgnihotram
24.1.7	sarvair agniṣṭomaḥ
24.1.8	uccair ṛgvedasāmavedābhyāṃ kriyate
24.1.9	upāṃśu yajurvedena
24.1.10	anyatrāśrutapratyāśrutapravarasaṃvādasaṃpraiṣaiś ca
24.1.11	antarā sāmidhenīṣv anūcyam
24.1.12	mandreṇa prāg ājyabhāgābhyāṃ prātaḥsavane ca
24.1.13	madhyamena prāk sviṣṭākṛto mādhyaṃdine ca
24.1.14	kruṣṭena śeṣe tṛtīyasavane ca
24.1.15	vāksaṃdravaś ca tad vat
24.1.16	ṛgvedena hotā karoti
24.1.17	sāmavedenodgātā
24.1.18	yajurvedenādhvaryuḥ
24.1.19	sarvair brahmā
24.1.20	vacanād vipratiṣedhād vānyaḥ kuryāt
24.1.21	brāhmaṇānām ārtvijyam
24.1.22	sarvakratūnām agnayaḥ sakṛdāhitāḥ
24.1.23	juhotīti codyamāne sarpirājyaṃ pratīyāt
24.1.24	adhvaryuṃ kartāram
24.1.25	juhūṃ pātram
24.1.26	vyāpṛtāyāṃ sruveṇa
24.1.27	āhavanīye pradānam
24.1.28	ādhānaprabhṛti yāvajjīvaṃ pātrāṇi dhāryante
24.1.29	teṣāṃ pratitantraṃ saṃskāraḥ
24.1.30	mantrabrāhmaṇe yajñasya pramāṇam
