1.1.1	The Dharma has been taught in the Vedas.
4.7.2	Brahmanas are upright, and therefore they quickly attain whatever they desire with their minds, being pure through upright deeds.
4.7.3	Thus these instruments should be used by the wise only for as long as the body attains purity.
4.5.13	The share of cow's urine is half, cowdung is three times of milk, two times of curd, one of ghee and one of water from the kusha grass. Thus, the Krichchhra-santinapana cleanses even a dog-cook.
4.5.14	Cow's urine, cowdung, milk, curd, and ghee - one who eats this for five nights is purified by drinking the five products.
4.7.4	Having purified his soul with these mantras and having fasted for three nights, he should then undertake the rite by which he desires to attain prosperity.
4.7.5	The Kṣmāpāvītra, Sahasrāksha, Mṛgāra, Aṃhomuca, the two groups, Pāvamānya, Kūṣmāṇḍya, and the verses of Vaisvānara.
4.7.6	Having offered oblations of ghee and rice for seven days, having observed silence, having eaten sacrificial food, having restrained his senses and activities,
4.7.7	having looked into a vessel filled with water at a crossroad, saying "May there be a lion!" he is freed from all sins, even from great sins.
4.5.15	The twelve-day fast of one who is not negligent of himself is called Parāka. This is a penance that destroys all sins.
4.5.16	The Brahmins say that the great Sāntapana penance is practiced by drinking cow's urine and so on, each one for twenty-one days.
4.5.17	Increasing by one on the white days and decreasing by one on the black days, and fasting on the two days of the fortnight, that is known as Cāndrāyaṇa.
4.7.8	The accumulation of sins committed in old age, youth and childhood in previous births due to ignorance, one is liberated from that.
4.7.9	After feeding the Brahmins with milk pudding and ghee, and giving them cows, land, sesame seeds and gold, one attains the supreme goal.
4.5.18	A brahmin should eat four balls of food in the morning, with concentration. Four at sunset. One should perform the Shishuchandrayana.
4.5.19	Eight at midday, eight at night, for one month. One should perform Yatichandrayana, with controlled mind, eating only sacrificial food.
4.7.10	The Brāhmaṇa becomes pure-souled, like the fire that has burnt the sacrificial wood. He becomes fit for the performance of desirable rites, such as the rites of sowing seeds and so on.
4.8.1	One who performs these rites out of excessive greed or carelessness, and for the sake of another, is afflicted by sin and perishes like a bird caught in a snare.
4.5.20	The Brāhmaṇa, by eating in some way the three hundred and eighty lumps of sacrificial food during a month, attains the world of the moon.
4.5.21	Just as the moon destroys the fear of darkness in the world, so does the Brāhmaṇa who performs the Cāndrāyaṇa rite destroy the fear of sin.
4.8.2	The Brāhmaṇa shines like the sun, performing these rites for his teacher, father, mother and himself. This is the rite to be performed by them.
4.8.3	Who has made the thousand-eyed Indra, Agni, Vāyu, Ravi, Soma, Yama and other lords of gods pure with this purifying rite?
4.5.22	The man who eats only a handful of grains, sesamum, mustard, and curd, and drinks water, is the man who destroys sin.
4.5.23	The man who eats only barley for seven nights destroys the sin of the body. Fasting for seven nights has been seen by the wise.
4.8.4	Whatever meritorious name there is in these three worlds, known to be done by Brahmins and others, by this purifying rite?
4.8.5	This is the secret of Prajapati, the destroyer of sins, the first-born, from which have sprung forth thousands of other purifying rites.
4.5.24	The Brāhmaṇa is freed from the three white (auspicious) days of Pauṣa, Bhādrapada and Jyeṣṭha, except for the Patanīya day, by resorting to the Ardra, Ākāśa and Tapas constellations.
4.5.25	Cow's urine, cow dung, milk, curd, ghee, Kuśa water, and barley water, when combined, form the Brahma-Kūrca, which is extremely purifying.
4.8.6	He who offers oblations to the eight groups of gods, the year, the seasons, the fortnights and the days, purifies his own family, ten generations before and ten generations after.
4.8.7	And he is known by the gods in heaven as a doer of meritorious deeds, and he rejoices like a god, and also in heaven, the doer of meritorious acts.
4.5.26	One who fasts on the new moon day and eats sesame seeds on the full moon day is freed from the sins committed in the bright and dark fortnights of the year.
4.5.27	One who eats alms from those who offer Agnihotra becomes pure in a month, and from those who stay in the forest for wandering ascetics in ten or five days.
4.8.8	If a brahmin is unable to offer these eight oblations, he should offer at least one. By that his sin is destroyed.
4.8.9	If his sons or disciples offer these eight oblatioins, he too is freed from sin.
4.5.28	One who has become rich in a day is purified in a day by food. One who is devoted to the practice of pigeons is purified in three days by drinking water.
4.5.29	One should recite three times the entire text of the Rig Veda, Yajur Veda, or Sama Veda, without eating. That is very purifying.
4.8.10	Even if one is unable to do so, one should be bought with money, with the intention of removing one's own sins. One who holds the body should not be discouraged.
4.8.11	The renunciation of wealth is done, even of well-done deeds. The debt of sin of a man is sometimes redeemed.
4.8.12	Being released by this method from the ocean of all sins, one considers oneself pure and capable of performing deeds.
4.5.30	If the sun moves quickly to perform his day, and is set in water at night, it is equal to Prajapati.
4.5.31	Having recited the Gayatri eight thousand times, and rising when the sun rises, one is freed from all sins, except if one has killed a fetus.
4.8.13	The one whose soul is freed from all sins, undertakes the rites, and those rites, without effort, succeed for the one with a pure body.
4.8.14	This meritorious Prajapati (rite) was recited by the sage. One who teaches this constantly, or retains it, or listens to it, is freed from all (kinds of) sins and is honored in the world of Brahma.
4.8.15	He who desires to accomplish the mantras should recite them for twelve days, eating once a day, cooked rice with ghee, milk, and curd.
4.8.16	The Homa should be performed ten times with ghee in the three Savanas. This is the preliminary service for the accomplishment of the mantras. The accomplishment of the mantrasaṃhitā is thus.
4.6.4	Reciting the Rudra Ekadasini mantra while purifying with sacred substances, offering oblations of ghee with sacred substances, and giving gold, cows, and sesame.
4.6.5	One who eats cooked barley mixed with cow's urine and cow dung, and with curd, milk, and ghee, is freed from sin in an instant.
4.6.6	One who is born from a Śūdra woman and one who has transgressed the forbidden are released in seven nights by this procedure.
4.6.7	This is the remedy for eating semen, urine, and feces, eating what is not to be eaten, wearing the garment of another, and wearing the garment of one who is not to be worn.
4.6.8	Having performed many non-heinous deeds, one is liberated from all sins. This is the statement of the good.
4.6.9	The method of the mantra path has been proclaimed, by which Bharadvaja and others attained the nature of Brahman.
4.6.10	The brahmin, with his heart pleased, obtains all the desires that are in his heart by this rite.
